
Balance de criminalidad. 2020 - 3er Trimestre - CCAA
Indicadores de seguridad 2020 - 3er Trimestre por comunidades  autónomas, tipología penal y periodos.
Unidades: Hechos conocidos

,Enero-septiembre 2019,Enero-septiembre 2020,Variación % 2020/2019,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,369.0,300.0,-18.7,
    6.-Robos con violencia e intimidación,764.0,571.0,-25.3,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,4768.0,3567.0,-25.2,
    7.1.-Robos con fuerza en domicilios,3469.0,2630.0,-24.2,
    8.-Hurtos,10423.0,7034.0,-32.5,
    9.-Sustracciones de vehículos,458.0,407.0,-11.1,
    10.-Tráfico de drogas,342.0,410.0,19.9,
    Resto de infracciones penales,34843.0,32896.0,-5.6,
    TOTAL INFRACCIONES PENALES,52538.0,45701.0,-13.0,
CATALUÑA,
    1.-Homicidios dolosos y asesinatos consumados,41.0,40.0,-2.4,
    2.-Homicidios dolosos y asesinatos en grado tentativa,142.0,142.0,0.0,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,2523.0,1925.0,-23.7,
    4.-Secuestro,6.0,6.0,0.0,
    5.-Delitos contra la libertad e indemnidad sexual,2292.0,1963.0,-14.4,
    5.1.-Agresión sexual con penetración,419.0,369.0,-11.9,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,1873.0,1594.0,-14.9,
    6.-Robos con violencia e intimidación,19372.0,14304.0,-26.2,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,24788.0,16787.0,-32.3,
    7.1.-Robos con fuerza en domicilios,17081.0,11553.0,-32.4,
    8.-Hurtos,147392.0,78633.0,-46.7,
    9.-Sustracciones de vehículos,7119.0,4597.0,-35.4,
    10.-Tráfico de drogas,2007.0,2247.0,12.0,
    Resto de infracciones penales,160777.0,144210.0,-10.3,
    TOTAL INFRACCIONES PENALES,366459.0,264854.0,-27.7,
COMUNITAT VALENCIANA,
    1.-Homicidios dolosos y asesinatos consumados,31.0,29.0,-6.5,
    2.-Homicidios dolosos y asesinatos en grado tentativa,82.0,71.0,-13.4,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,1681.0,1363.0,-18.9,
    4.-Secuestro,4.0,12.0,200.0,
    5.-Delitos contra la libertad e indemnidad sexual,1334.0,1164.0,-12.7,
    5.1.-Agresión sexual con penetración,139.0,138.0,-0.7,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,1195.0,1026.0,-14.1,
    6.-Robos con violencia e intimidación,3679.0,2767.0,-24.8,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,14776.0,11021.0,-25.4,
    7.1.-Robos con fuerza en domicilios,11438.0,8418.0,-26.4,
    8.-Hurtos,52362.0,31803.0,-39.3,
    9.-Sustracciones de vehículos,2433.0,1821.0,-25.2,
    10.-Tráfico de drogas,1510.0,1412.0,-6.5,
    Resto de infracciones penales,98027.0,91887.0,-6.3,
    TOTAL INFRACCIONES PENALES,175919.0,143350.0,-18.5,
EXTREMADURA,
    1.-Homicidios dolosos y asesinatos consumados,3.0,7.0,133.3,
    2.-Homicidios dolosos y asesinatos en grado tentativa,6.0,10.0,66.7,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,228.0,184.0,-19.3,
    4.-Secuestro,0.0,0.0,0.0,
    5.-Delitos contra la libertad e indemnidad sexual,157.0,138.0,-12.1,
    5.1.-Agresión sexual con penetración,14.0,12.0,-14.3,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,143.0,126.0,-11.9,
    6.-Robos con violencia e intimidación,239.0,161.0,-32.6,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,1146.0,1195.0,4.3,
    7.1.-Robos con fuerza en domicilios,705.0,741.0,5.1,
    8.-Hurtos,4797.0,3126.0,-34.8,
    9.-Sustracciones de vehículos,112.0,132.0,17.9,
    10.-Tráfico de drogas,242.0,226.0,-6.6,
    Resto de infracciones penales,13323.0,13386.0,0.5,
    TOTAL INFRACCIONES PENALES,20253.0,18565.0,-8.3,
GALICIA,
    1.-Homicidios dolosos y asesinatos consumados,14.0,9.0,-35.7,
    2.-Homicidios dolosos y asesinatos en grado tentativa,16.0,24.0,50.0,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,738.0,606.0,-17.9,
    4.-Secuestro,1.0,0.0,-100.0,
    5.-Delitos contra la libertad e indemnidad sexual,493.0,407.0,-17.4,
    5.1.-Agresión sexual con penetración,79.0,46.0,-41.8,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,414.0,361.0,-12.8,
    6.-Robos con violencia e intimidación,706.0,581.0,-17.7,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,3583.0,3106.0,-13.3,
    7.1.-Robos con fuerza en domicilios,2091.0,1832.0,-12.4,
    8.-Hurtos,14342.0,9346.0,-34.8,
    9.-Sustracciones de vehículos,442.0,363.0,-17.9,
    10.-Tráfico de drogas,381.0,413.0,8.4,
    Resto de infracciones penales,39421.0,38920.0,-1.3,
    TOTAL INFRACCIONES PENALES,60137.0,53775.0,-10.6,
MADRID (COMUNIDAD DE),
    1.-Homicidios dolosos y asesinatos consumados,21.0,28.0,33.3,
    2.-Homicidios dolosos y asesinatos en grado tentativa,58.0,71.0,22.4,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,1842.0,1708.0,-7.3,
    4.-Secuestro,15.0,6.0,-60.0,
    5.-Delitos contra la libertad e indemnidad sexual,1640.0,1492.0,-9.0,
    5.1.-Agresión sexual con penetración,173.0,170.0,-1.7,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,1467.0,1322.0,-9.9,
    6.-Robos con violencia e intimidación,10995.0,7702.0,-29.9,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,13673.0,9123.0,-33.3,
    7.1.-Robos con fuerza en domicilios,8630.0,5234.0,-39.4,
    8.-Hurtos,112199.0,67754.0,-39.6,
    9.-Sustracciones de vehículos,6018.0,4698.0,-21.9,
    10.-Tráfico de drogas,1999.0,1711.0,-14.4,
    Resto de infracciones penales,151062.0,132260.0,-12.4,
    TOTAL INFRACCIONES PENALES,299522.0,226553.0,-24.4,
MURCIA (REGIÓN DE),
    1.-Homicidios dolosos y asesinatos consumados,9.0,8.0,-11.1,
    2.-Homicidios dolosos y asesinatos en grado tentativa,19.0,34.0,78.9,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,569.0,482.0,-15.3,
    4.-Secuestro,2.0,1.0,-50.0,
    5.-Delitos contra la libertad e indemnidad sexual,405.0,396.0,-2.2,
    5.1.-Agresión sexual con penetración,31.0,51.0,64.5,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,374.0,345.0,-7.8,
    6.-Robos con violencia e intimidación,1149.0,914.0,-20.5,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,4602.0,3600.0,-21.8,
    7.1.-Robos con fuerza en domicilios,3692.0,2903.0,-21.4,
    8.-Hurtos,11525.0,7402.0,-35.8,
    9.-Sustracciones de vehículos,667.0,581.0,-12.9,
    10.-Tráfico de drogas,261.0,296.0,13.4,
    Resto de infracciones penales,23641.0,24286.0,2.7,
    TOTAL INFRACCIONES PENALES,42849.0,38000.0,-11.3,
NAVARRA (COMUNIDAD FORAL DE),
    1.-Homicidios dolosos y asesinatos consumados,4.0,1.0,-75.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,11.0,15.0,36.4,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,317.0,144.0,-54.6,
    4.-Secuestro,0.0,3.0,100.0,
    5.-Delitos contra la libertad e indemnidad sexual,188.0,180.0,-4.3,
    5.1.-Agresión sexual con penetración,22.0,14.0,-36.4,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,166.0,166.0,0.0,
    6.-Robos con violencia e intimidación,242.0,159.0,-34.3,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,1137.0,842.0,-25.9,
    7.1.-Robos con fuerza en domicilios,732.0,493.0,-32.7,
    8.-Hurtos,6764.0,3398.0,-49.8,
    9.-Sustracciones de vehículos,133.0,98.0,-26.3,
    10.-Tráfico de drogas,132.0,109.0,-17.4,
    Resto de infracciones penales,13207.0,12452.0,-5.7,
    TOTAL INFRACCIONES PENALES,22135.0,17401.0,-21.4,
PAÍS VASCO,
    1.-Homicidios dolosos y asesinatos consumados,9.0,12.0,33.3,
    2.-Homicidios dolosos y asesinatos en grado tentativa,20.0,21.0,5.0,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,856.0,687.0,-19.7,
    4.-Secuestro,6.0,2.0,-66.7,
    5.-Delitos contra la libertad e indemnidad sexual,480.0,421.0,-12.3,
    5.1.-Agresión sexual con penetración,87.0,54.0,-37.9,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,393.0,367.0,-6.6,
    6.-Robos con violencia e intimidación,1202.0,777.0,-35.4,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,6056.0,3978.0,-34.3,
    7.1.-Robos con fuerza en domicilios,3767.0,2615.0,-30.6,
    8.-Hurtos,22770.0,13273.0,-41.7,
    9.-Sustracciones de vehículos,690.0,490.0,-29.0,
    10.-Tráfico de drogas,320.0,388.0,21.3,
    Resto de infracciones penales,37913.0,36501.0,-3.7,
    TOTAL INFRACCIONES PENALES,70322.0,56550.0,-19.6,
RIOJA (LA),
    1.-Homicidios dolosos y asesinatos consumados,0.0,4.0,100.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,4.0,2.0,-50.0,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,108.0,100.0,-7.4,
    4.-Secuestro,0.0,0.0,0.0,
    5.-Delitos contra la libertad e indemnidad sexual,67.0,86.0,28.4,
    5.1.-Agresión sexual con penetración,5.0,7.0,40.0,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,62.0,79.0,27.4,
    6.-Robos con violencia e intimidación,69.0,59.0,-14.5,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,412.0,329.0,-20.1,
    7.1.-Robos con fuerza en domicilios,323.0,252.0,-22.0,
    8.-Hurtos,1793.0,1087.0,-39.4,
    9.-Sustracciones de vehículos,47.0,21.0,-55.3,
    10.-Tráfico de drogas,85.0,58.0,-31.8,
    Resto de infracciones penales,3979.0,4048.0,1.7,
    TOTAL INFRACCIONES PENALES,6564.0,5794.0,-11.7,
CIUDAD AUTÓNOMA DE CEUTA,
    1.-Homicidios dolosos y asesinatos consumados,4.0,1.0,-75.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,15.0,3.0,-80.0,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,31.0,68.0,119.4,
    4.-Secuestro,1.0,0.0,-100.0,
    5.-Delitos contra la libertad e indemnidad sexual,17.0,31.0,82.4,
    5.1.-Agresión sexual con penetración,2.0,1.0,-50.0,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,15.0,30.0,100.0,
    6.-Robos con violencia e intimidación,110.0,94.0,-14.5,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,46.0,56.0,21.7,
    7.1.-Robos con fuerza en domicilios,30.0,31.0,3.3,
    8.-Hurtos,648.0,371.0,-42.7,
    9.-Sustracciones de vehículos,113.0,69.0,-38.9,
    10.-Tráfico de drogas,184.0,184.0,0.0,
    Resto de infracciones penales,2350.0,2005.0,-14.7,
    TOTAL INFRACCIONES PENALES,3519.0,2882.0,-18.1,
CIUDAD AUTÓNOMA DE MELILLA,
    1.-Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,5.0,2.0,-60.0,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,111.0,116.0,4.5,
    4.-Secuestro,0.0,0.0,0.0,
    5.-Delitos contra la libertad e indemnidad sexual,26.0,27.0,3.8,
    5.1.-Agresión sexual con penetración,3.0,2.0,-33.3,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,23.0,25.0,8.7,
    6.-Robos con violencia e intimidación,270.0,239.0,-11.5,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,78.0,53.0,-32.1,
    7.1.-Robos con fuerza en domicilios,52.0,35.0,-32.7,
    8.-Hurtos,907.0,576.0,-36.5,
    9.-Sustracciones de vehículos,61.0,29.0,-52.5,
    10.-Tráfico de drogas,59.0,125.0,111.9,
    Resto de infracciones penales,2734.0,2172.0,-20.6,
    TOTAL INFRACCIONES PENALES,4251.0,3339.0,-21.5,
EN EL EXTRANJERO,
    1.-Homicidios dolosos y asesinatos consumados,1.0,1.0,0.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,1.0,0.0,-100.0,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,4.0,6.0,50.0,
    4.-Secuestro,3.0,1.0,-66.7,
    5.-Delitos contra la libertad e indemnidad sexual,52.0,33.0,-36.5,
    5.1.-Agresión sexual con penetración,12.0,7.0,-41.7,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,40.0,26.0,-35.0,
    6.-Robos con violencia e intimidación,208.0,68.0,-67.3,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,15.0,12.0,-20.0,
    7.1.-Robos con fuerza en domicilios,12.0,10.0,-16.7,
    8.-Hurtos,2367.0,803.0,-66.1,
    9.-Sustracciones de vehículos,82.0,67.0,-18.3,
    10.-Tráfico de drogas,5.0,15.0,200.0,
    Resto de infracciones penales,8911.0,6012.0,-32.5,
    TOTAL INFRACCIONES PENALES,11649.0,7018.0,-39.8,
Notas:
NIPO 126-20-005-0     
      
 (*) Se computan datos provenientes de la Policía Nacional, Guardia  Civil, policías autonómicas y policías locales que proporcionan datos  al Sistema Estadístico de Criminalidad.                  
                                      
 (**) Indicadores estadísticos de criminalidad utilizados por la  Oficina Estadística Europea (EUROSTAT).
Fuente: Ministerio del Interior
