
Balance de criminalidad. 2022 - 4º Trimestre - CCAA
Indicadores de seguridad 2022 - 4º Trimestre por comunidades  autónomas, tipología penal y periodos.
Unidades: Hechos conocidos. Variación porcentual

,Enero-diciembre 2019,Enero-diciembre 2021,Enero-diciembre 2022,Variación % 2022/2019,Variación % 2022/2021,
    6. Robos con violencia e intimidación,1314.0,896.0,1287.0,-2.1,43.6,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,3574.0,2659.0,2890.0,-19.1,8.7,
    7.1.-Robos con fuerza en domicilios,2598.0,1921.0,2149.0,-17.3,11.9,
    8. Hurtos,26584.0,16433.0,24462.0,-8.0,48.9,
    9. Sustracciones de vehículos,1429.0,1073.0,1570.0,9.9,46.3,
    10. Tráfico de drogas,656.0,389.0,626.0,-4.6,60.9,
    11. Resto de criminalidad convencional,33986.0,29744.0,34286.0,0.9,15.3,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),8508.0,8294.0,8604.0,1.1,3.7,
    12.-Estafas informáticas,7702.0,7005.0,7377.0,-4.2,5.3,
    13.-Otros ciberdelitos,806.0,1289.0,1227.0,52.2,-4.8,
    III. TOTAL INFRACCIONES PENALES,77662.0,61015.0,75942.0,-2.2,24.5,
CANARIAS,
    I. CRIMINALIDAD CONVENCIONAL,86798.0,70357.0,81803.0,-5.8,16.3,
    1. Homicidios dolosos y asesinatos consumados,20.0,16.0,14.0,-30.0,-12.5,
    2. Homicidios dolosos y asesinatos en grado tentativa,44.0,37.0,47.0,6.8,27.0,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,1148.0,1090.0,1211.0,5.5,11.1,
    4. Secuestro,1.0,0.0,1.0,0.0,100.0,
    5. Delitos contra la libertad sexual,778.0,859.0,1052.0,35.2,22.5,
    5.1.-Agresión sexual con penetración,73.0,91.0,167.0,128.8,83.5,
    5.2.-Resto de delitos contra la libertad sexual,705.0,768.0,885.0,25.5,15.2,
    6. Robos con violencia e intimidación,1535.0,1316.0,1617.0,5.3,22.9,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,4297.0,3423.0,3655.0,-14.9,6.8,
    7.1.-Robos con fuerza en domicilios,2886.0,2428.0,2354.0,-18.4,-3.0,
    8. Hurtos,26122.0,17144.0,23630.0,-9.5,37.8,
    9. Sustracciones de vehículos,1295.0,983.0,1248.0,-3.6,27.0,
    10. Tráfico de drogas,603.0,531.0,734.0,21.7,38.2,
    11. Resto de criminalidad convencional,50955.0,44958.0,48594.0,-4.6,8.1,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),8841.0,10875.0,13839.0,56.5,27.3,
    12.-Estafas informáticas,7286.0,8916.0,11851.0,62.7,32.9,
    13.-Otros ciberdelitos,1555.0,1959.0,1988.0,27.8,1.5,
    III. TOTAL INFRACCIONES PENALES,95639.0,81232.0,95642.0,0.0,17.7,
CANTABRIA,
    I. CRIMINALIDAD CONVENCIONAL,15987.0,16112.0,18896.0,18.2,17.3,
    1. Homicidios dolosos y asesinatos consumados,6.0,4.0,1.0,-83.3,-75.0,
    2. Homicidios dolosos y asesinatos en grado tentativa,9.0,11.0,11.0,22.2,0.0,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,285.0,298.0,374.0,31.2,25.5,
    4. Secuestro,0.0,1.0,0.0,0.0,-100.0,
    5. Delitos contra la libertad sexual,89.0,115.0,140.0,57.3,21.7,
    5.1.-Agresión sexual con penetración,10.0,17.0,25.0,150.0,47.1,
    5.2.-Resto de delitos contra la libertad sexual,79.0,98.0,115.0,45.6,17.3,
    6. Robos con violencia e intimidación,223.0,194.0,246.0,10.3,26.8,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,1625.0,1633.0,1817.0,11.8,11.3,
    7.1.-Robos con fuerza en domicilios,1068.0,1167.0,1348.0,26.2,15.5,
    8. Hurtos,4868.0,3820.0,4881.0,0.3,27.8,
    9. Sustracciones de vehículos,132.0,140.0,90.0,-31.8,-35.7,
    10. Tráfico de drogas,86.0,96.0,82.0,-4.7,-14.6,
    11. Resto de criminalidad convencional,8664.0,9800.0,11254.0,29.9,14.8,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),2086.0,3782.0,4817.0,130.9,27.4,
    12.-Estafas informáticas,1766.0,3243.0,4356.0,146.7,34.3,
    13.-Otros ciberdelitos,320.0,539.0,461.0,44.1,-14.5,
    III. TOTAL INFRACCIONES PENALES,18073.0,19894.0,23713.0,31.2,19.2,
CASTILLA Y LEÓN,
    I. CRIMINALIDAD CONVENCIONAL,65399.0,57328.0,65611.0,0.3,14.4,
    1. Homicidios dolosos y asesinatos consumados,8.0,13.0,16.0,100.0,23.1,
    2. Homicidios dolosos y asesinatos en grado tentativa,30.0,25.0,39.0,30.0,56.0,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,757.0,745.0,1034.0,36.6,38.8,
    4. Secuestro,2.0,2.0,3.0,50.0,50.0,
    5. Delitos contra la libertad sexual,416.0,470.0,535.0,28.6,13.8,
    5.1.-Agresión sexual con penetración,44.0,64.0,72.0,63.6,12.5,
    5.2.-Resto de delitos contra la libertad sexual,372.0,406.0,463.0,24.5,14.0,
    6. Robos con violencia e intimidación,706.0,625.0,721.0,2.1,15.4,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,4765.0,3799.0,4357.0,-8.6,14.7,
    7.1.-Robos con fuerza en domicilios,2965.0,2523.0,2969.0,0.1,17.7,
    8. Hurtos,19206.0,13785.0,17376.0,-9.5,26.1,
    9. Sustracciones de vehículos,573.0,466.0,523.0,-8.7,12.2,
    10. Tráfico de drogas,447.0,492.0,480.0,7.4,-2.4,
    11. Resto de criminalidad convencional,38489.0,36906.0,40527.0,5.3,9.8,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),10964.0,16680.0,21520.0,96.3,29.0,
    12.-Estafas informáticas,9464.0,14457.0,19187.0,102.7,32.7,
    13.-Otros ciberdelitos,1500.0,2223.0,2333.0,55.5,4.9,
    III. TOTAL INFRACCIONES PENALES,76363.0,74008.0,87131.0,14.1,17.7,
CASTILLA - LA MANCHA,
    I. CRIMINALIDAD CONVENCIONAL,62621.0,55755.0,65258.0,4.2,17.0,
    1. Homicidios dolosos y asesinatos consumados,11.0,10.0,18.0,63.6,80.0,
    2. Homicidios dolosos y asesinatos en grado tentativa,30.0,68.0,47.0,56.7,-30.9,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,671.0,773.0,978.0,45.8,26.5,
    4. Secuestro,1.0,2.0,2.0,100.0,0.0,
    5. Delitos contra la libertad sexual,449.0,510.0,549.0,22.3,7.6,
    5.1.-Agresión sexual con penetración,39.0,63.0,83.0,112.8,31.7,
    5.2.-Resto de delitos contra la libertad sexual,410.0,447.0,466.0,13.7,4.3,
    6. Robos con violencia e intimidación,978.0,882.0,903.0,-7.7,2.4,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,6530.0,4417.0,4796.0,-26.6,8.6,
    7.1.-Robos con fuerza en domicilios,4754.0,3086.0,3300.0,-30.6,6.9,
    8. Hurtos,13831.0,10970.0,14407.0,4.2,31.3,
    9. Sustracciones de vehículos,615.0,521.0,658.0,7.0,26.3,
    10. Tráfico de drogas,465.0,570.0,557.0,19.8,-2.3,
    11. Resto de criminalidad convencional,39040.0,37032.0,42343.0,8.5,14.3,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),7687.0,11657.0,15733.0,104.7,35.0,
    12.-Estafas informáticas,6445.0,9797.0,13692.0,112.4,39.8,
    13.-Otros ciberdelitos,1242.0,1860.0,2041.0,64.3,9.7,
    III. TOTAL INFRACCIONES PENALES,70308.0,67412.0,80991.0,15.2,20.1,
CATALUÑA,
    I. CRIMINALIDAD CONVENCIONAL,447688.0,340601.0,411456.0,-8.1,20.8,
    1. Homicidios dolosos y asesinatos consumados,58.0,57.0,62.0,6.9,8.8,
    2. Homicidios dolosos y asesinatos en grado tentativa,190.0,213.0,203.0,6.8,-4.7,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,3359.0,3134.0,4026.0,19.9,28.5,
    4. Secuestro,6.0,11.0,9.0,50.0,-18.2,
    5. Delitos contra la libertad sexual,2816.0,3178.0,3498.0,24.2,10.1,
    5.1.-Agresión sexual con penetración,557.0,608.0,755.0,35.5,24.2,
    5.2.-Resto de delitos contra la libertad sexual,2259.0,2570.0,2743.0,21.4,6.7,
    6. Robos con violencia e intimidación,26448.0,20501.0,25064.0,-5.2,22.3,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,33763.0,22852.0,27985.0,-17.1,22.5,
    7.1.-Robos con fuerza en domicilios,23753.0,16631.0,20026.0,-15.7,20.4,
    8. Hurtos,192053.0,118746.0,162273.0,-15.5,36.7,
    9. Sustracciones de vehículos,9711.0,6168.0,7425.0,-23.5,20.4,
    10. Tráfico de drogas,2615.0,3874.0,3969.0,51.8,2.5,
    11. Resto de criminalidad convencional,176669.0,161867.0,176942.0,0.2,9.3,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),41577.0,49755.0,63563.0,52.9,27.8,
    12.-Estafas informáticas,40016.0,47314.0,61278.0,53.1,29.5,
    13.-Otros ciberdelitos,1561.0,2441.0,2285.0,46.4,-6.4,
    III. TOTAL INFRACCIONES PENALES,489265.0,390356.0,475019.0,-2.9,21.7,
COMUNITAT VALENCIANA,
    I. CRIMINALIDAD CONVENCIONAL,213566.0,195829.0,229047.0,7.2,17.0,
    1. Homicidios dolosos y asesinatos consumados,40.0,35.0,37.0,-7.5,5.7,
    2. Homicidios dolosos y asesinatos en grado tentativa,108.0,117.0,137.0,26.9,17.1,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,2198.0,2406.0,3276.0,49.0,36.2,
    4. Secuestro,4.0,7.0,10.0,150.0,42.9,
    5. Delitos contra la libertad sexual,1511.0,1950.0,2203.0,45.8,13.0,
    5.1.-Agresión sexual con penetración,177.0,236.0,349.0,97.2,47.9,
    5.2.-Resto de delitos contra la libertad sexual,1334.0,1714.0,1854.0,39.0,8.2,
    6. Robos con violencia e intimidación,4950.0,4578.0,5667.0,14.5,23.8,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,19832.0,15920.0,18009.0,-9.2,13.1,
    7.1.-Robos con fuerza en domicilios,15271.0,12853.0,14585.0,-4.5,13.5,
    8. Hurtos,68122.0,57738.0,71317.0,4.7,23.5,
    9. Sustracciones de vehículos,3190.0,2491.0,3205.0,0.5,28.7,
    10. Tráfico de drogas,1979.0,1983.0,2027.0,2.4,2.2,
    11. Resto de criminalidad convencional,111632.0,108604.0,123159.0,10.3,13.4,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),18983.0,29508.0,34178.0,80.0,15.8,
    12.-Estafas informáticas,15758.0,24428.0,29216.0,85.4,19.6,
    13.-Otros ciberdelitos,3225.0,5080.0,4962.0,53.9,-2.3,
    III. TOTAL INFRACCIONES PENALES,232549.0,225337.0,263225.0,13.2,16.8,
EXTREMADURA,
    I. CRIMINALIDAD CONVENCIONAL,24542.0,21728.0,24577.0,0.1,13.1,
    1. Homicidios dolosos y asesinatos consumados,5.0,4.0,3.0,-40.0,-25.0,
    2. Homicidios dolosos y asesinatos en grado tentativa,8.0,21.0,7.0,-12.5,-66.7,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,315.0,302.0,379.0,20.3,25.5,
    4. Secuestro,1.0,0.0,1.0,0.0,100.0,
    5. Delitos contra la libertad sexual,189.0,186.0,255.0,34.9,37.1,
    5.1.-Agresión sexual con penetración,18.0,26.0,37.0,105.6,42.3,
    5.2.-Resto de delitos contra la libertad sexual,171.0,160.0,218.0,27.5,36.3,
    6. Robos con violencia e intimidación,320.0,224.0,296.0,-7.5,32.1,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,1660.0,1461.0,1835.0,10.5,25.6,
    7.1.-Robos con fuerza en domicilios,994.0,962.0,1194.0,20.1,24.1,
    8. Hurtos,6566.0,4820.0,6393.0,-2.6,32.6,
    9. Sustracciones de vehículos,144.0,152.0,164.0,13.9,7.9,
    10. Tráfico de drogas,323.0,324.0,264.0,-18.3,-18.5,
    11. Resto de criminalidad convencional,15011.0,14234.0,14980.0,-0.2,5.2,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),3049.0,5538.0,7533.0,147.1,36.0,
    12.-Estafas informáticas,2410.0,4594.0,6584.0,173.2,43.3,
    13.-Otros ciberdelitos,639.0,944.0,949.0,48.5,0.5,
    III. TOTAL INFRACCIONES PENALES,27591.0,27266.0,32110.0,16.4,17.8,
GALICIA,
    I. CRIMINALIDAD CONVENCIONAL,68393.0,66245.0,74044.0,8.3,11.8,
    1. Homicidios dolosos y asesinatos consumados,16.0,18.0,7.0,-56.3,-61.1,
    2. Homicidios dolosos y asesinatos en grado tentativa,25.0,34.0,44.0,76.0,29.4,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,954.0,945.0,1182.0,23.9,25.1,
    4. Secuestro,1.0,0.0,2.0,100.0,100.0,
    5. Delitos contra la libertad sexual,544.0,619.0,648.0,19.1,4.7,
    5.1.-Agresión sexual con penetración,93.0,81.0,95.0,2.2,17.3,
    5.2.-Resto de delitos contra la libertad sexual,451.0,538.0,553.0,22.6,2.8,
    6. Robos con violencia e intimidación,945.0,853.0,968.0,2.4,13.5,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,5287.0,3760.0,4121.0,-22.1,9.6,
    7.1.-Robos con fuerza en domicilios,3135.0,2593.0,2689.0,-14.2,3.7,
    8. Hurtos,18846.0,15367.0,19567.0,3.8,27.3,
    9. Sustracciones de vehículos,604.0,405.0,534.0,-11.6,31.9,
    10. Tráfico de drogas,517.0,458.0,504.0,-2.5,10.0,
    11. Resto de criminalidad convencional,40654.0,43786.0,46467.0,14.3,6.1,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),11631.0,22010.0,21004.0,80.6,-4.6,
    12.-Estafas informáticas,9999.0,19496.0,18547.0,85.5,-4.9,
    13.-Otros ciberdelitos,1632.0,2514.0,2457.0,50.6,-2.3,
    III. TOTAL INFRACCIONES PENALES,80024.0,88255.0,95048.0,18.8,7.7,
MADRID (COMUNIDAD DE),
    I. CRIMINALIDAD CONVENCIONAL,370720.0,292948.0,338524.0,-8.7,15.6,
    1. Homicidios dolosos y asesinatos consumados,32.0,37.0,47.0,46.9,27.0,
    2. Homicidios dolosos y asesinatos en grado tentativa,78.0,94.0,134.0,71.8,42.6,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,2442.0,2717.0,3164.0,29.6,16.5,
    4. Secuestro,16.0,13.0,14.0,-12.5,7.7,
    5. Delitos contra la libertad sexual,1967.0,2179.0,2467.0,25.4,13.2,
    5.1.-Agresión sexual con penetración,243.0,274.0,388.0,59.7,41.6,
    5.2.-Resto de delitos contra la libertad sexual,1724.0,1905.0,2079.0,20.6,9.1,
    6. Robos con violencia e intimidación,15372.0,12153.0,12856.0,-16.4,5.8,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,18239.0,12381.0,13631.0,-25.3,10.1,
    7.1.-Robos con fuerza en domicilios,11469.0,8243.0,9437.0,-17.7,14.5,
    8. Hurtos,154169.0,108778.0,132876.0,-13.8,22.2,
    9. Sustracciones de vehículos,8030.0,6922.0,7450.0,-7.2,7.6,
    10. Tráfico de drogas,2577.0,2502.0,2978.0,15.6,19.0,
    11. Resto de criminalidad convencional,167798.0,145172.0,162907.0,-2.9,12.2,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),37016.0,53039.0,64437.0,74.1,21.5,
    12.-Estafas informáticas,32841.0,46978.0,58446.0,78.0,24.4,
    13.-Otros ciberdelitos,4175.0,6061.0,5991.0,43.5,-1.2,
    III. TOTAL INFRACCIONES PENALES,407736.0,345987.0,402961.0,-1.2,16.5,
MURCIA (REGIÓN DE),
    I. CRIMINALIDAD CONVENCIONAL,53068.0,49965.0,58741.0,10.7,17.6,
    1. Homicidios dolosos y asesinatos consumados,13.0,14.0,8.0,-38.5,-42.9,
    2. Homicidios dolosos y asesinatos en grado tentativa,26.0,46.0,51.0,96.2,10.9,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,737.0,863.0,1157.0,57.0,34.1,
    4. Secuestro,3.0,3.0,6.0,100.0,100.0,
    5. Delitos contra la libertad sexual,470.0,556.0,574.0,22.1,3.2,
    5.1.-Agresión sexual con penetración,48.0,61.0,72.0,50.0,18.0,
    5.2.-Resto de delitos contra la libertad sexual,422.0,495.0,502.0,19.0,1.4,
    6. Robos con violencia e intimidación,1536.0,1375.0,1995.0,29.9,45.1,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,6187.0,4875.0,5339.0,-13.7,9.5,
    7.1.-Robos con fuerza en domicilios,5017.0,3793.0,3988.0,-20.5,5.1,
    8. Hurtos,15138.0,11925.0,15466.0,2.2,29.7,
    9. Sustracciones de vehículos,909.0,666.0,777.0,-14.5,16.7,
    10. Tráfico de drogas,360.0,506.0,524.0,45.6,3.6,
    11. Resto de criminalidad convencional,27689.0,29136.0,32844.0,18.6,12.7,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),4031.0,8009.0,9937.0,146.5,24.1,
    12.-Estafas informáticas,3358.0,6754.0,8619.0,156.7,27.6,
    13.-Otros ciberdelitos,673.0,1255.0,1318.0,95.8,5.0,
    III. TOTAL INFRACCIONES PENALES,57099.0,57974.0,68678.0,20.3,18.5,
NAVARRA (COMUNIDAD FORAL DE),
    I. CRIMINALIDAD CONVENCIONAL,25959.0,22357.0,27928.0,7.6,24.9,
    1. Homicidios dolosos y asesinatos consumados,5.0,2.0,3.0,-40.0,50.0,
    2. Homicidios dolosos y asesinatos en grado tentativa,13.0,21.0,20.0,53.8,-4.8,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,402.0,272.0,403.0,0.2,48.2,
    4. Secuestro,1.0,5.0,2.0,100.0,-60.0,
    5. Delitos contra la libertad sexual,195.0,240.0,322.0,65.1,34.2,
    5.1.-Agresión sexual con penetración,28.0,40.0,52.0,85.7,30.0,
    5.2.-Resto de delitos contra la libertad sexual,167.0,200.0,270.0,61.7,35.0,
    6. Robos con violencia e intimidación,331.0,298.0,421.0,27.2,41.3,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,1514.0,1265.0,1464.0,-3.3,15.7,
    7.1.-Robos con fuerza en domicilios,1006.0,824.0,985.0,-2.1,19.5,
    8. Hurtos,8538.0,5523.0,8109.0,-5.0,46.8,
    9. Sustracciones de vehículos,183.0,122.0,133.0,-27.3,9.0,
    10. Tráfico de drogas,159.0,147.0,147.0,-7.5,0.0,
    11. Resto de criminalidad convencional,14618.0,14462.0,16904.0,15.6,16.9,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),3211.0,4362.0,5494.0,71.1,26.0,
    12.-Estafas informáticas,2734.0,3673.0,4813.0,76.0,31.0,
    13.-Otros ciberdelitos,477.0,689.0,681.0,42.8,-1.2,
    III. TOTAL INFRACCIONES PENALES,29170.0,26719.0,33422.0,14.6,25.1,
PAÍS VASCO,
    I. CRIMINALIDAD CONVENCIONAL,79699.0,67983.0,80854.0,1.4,18.9,
    1. Homicidios dolosos y asesinatos consumados,10.0,11.0,8.0,-20.0,-27.3,
    2. Homicidios dolosos y asesinatos en grado tentativa,27.0,51.0,63.0,133.3,23.5,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,1157.0,1079.0,1534.0,32.6,42.2,
    4. Secuestro,7.0,4.0,4.0,-42.9,0.0,
    5. Delitos contra la libertad sexual,592.0,645.0,757.0,27.9,17.4,
    5.1.-Agresión sexual con penetración,123.0,122.0,162.0,31.7,32.8,
    5.2.-Resto de delitos contra la libertad sexual,469.0,523.0,595.0,26.9,13.8,
    6. Robos con violencia e intimidación,1643.0,1426.0,2202.0,34.0,54.4,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,8162.0,6573.0,7581.0,-7.1,15.3,
