
Balances trimestrales de criminalidad - 2017. 2º Trimestre
Indicadores de seguridad 2017 - 2º Trimestre por comunidades  autónomas, tipología penal y periodos.
Unidades: Hechos conocidos

,Enero-junio 2016,Enero-junio 2017,Variación % 2017/2016,
    5.-Delitos contra la libertad e indemnidad sexual,228.0,290.0,27.2,
    5.1.-Agresión sexual con penetración,22.0,29.0,31.8,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,206.0,261.0,26.7,
    6.-Robos con violencia e intimidación,761.0,725.0,-4.7,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,2791.0,2829.0,1.4,
    7.1.-Robos con fuerza en domicilios,1719.0,1710.0,-0.5,
    8.-Hurtos,15722.0,15985.0,1.7,
    9.-Sustracciones de vehículos,815.0,935.0,14.7,
    10.-Tráfico de drogas,303.0,323.0,6.6,
    TOTAL INFRACCIONES PENALES,44014.0,46489.0,5.6,
CANTABRIA,
    1.-Homicidios dolosos y asesinatos consumados,0.0,2.0,100.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,5.0,1.0,-80.0,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,111.0,104.0,-6.3,
    4.-Secuestro,0.0,0.0,0.0,
    5.-Delitos contra la libertad e indemnidad sexual,32.0,40.0,25.0,
    5.1.-Agresión sexual con penetración,3.0,2.0,-33.3,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,29.0,38.0,31.0,
    6.-Robos con violencia e intimidación,100.0,99.0,-1.0,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,794.0,766.0,-3.5,
    7.1.-Robos con fuerza en domicilios,468.0,416.0,-11.1,
    8.-Hurtos,2321.0,2291.0,-1.3,
    9.-Sustracciones de vehículos,97.0,128.0,32.0,
    10.-Tráfico de drogas,44.0,23.0,-47.7,
    TOTAL INFRACCIONES PENALES,8038.0,8416.0,4.7,
CASTILLA Y LEÓN,
    1.-Homicidios dolosos y asesinatos consumados,3.0,5.0,66.7,
    2.-Homicidios dolosos y asesinatos en grado tentativa,8.0,9.0,12.5,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,325.0,297.0,-8.6,
    4.-Secuestro,0.0,0.0,0.0,
    5.-Delitos contra la libertad e indemnidad sexual,131.0,171.0,30.5,
    5.1.-Agresión sexual con penetración,13.0,15.0,15.4,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,118.0,156.0,32.2,
    6.-Robos con violencia e intimidación,431.0,382.0,-11.4,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,3060.0,2625.0,-14.2,
    7.1.-Robos con fuerza en domicilios,1916.0,1500.0,-21.7,
    8.-Hurtos,11294.0,10332.0,-8.5,
    9.-Sustracciones de vehículos,445.0,378.0,-15.1,
    10.-Tráfico de drogas,155.0,130.0,-16.1,
    TOTAL INFRACCIONES PENALES,35948.0,35404.0,-1.5,
CASTILLA - LA MANCHA,
    1.-Homicidios dolosos y asesinatos consumados,6.0,11.0,83.3,
    2.-Homicidios dolosos y asesinatos en grado tentativa,5.0,19.0,280.0,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,278.0,268.0,-3.6,
    4.-Secuestro,0.0,0.0,0.0,
    5.-Delitos contra la libertad e indemnidad sexual,187.0,178.0,-4.8,
    5.1.-Agresión sexual con penetración,18.0,17.0,-5.6,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,169.0,161.0,-4.7,
    6.-Robos con violencia e intimidación,518.0,507.0,-2.1,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,4521.0,4110.0,-9.1,
    7.1.-Robos con fuerza en domicilios,3280.0,2881.0,-12.2,
    8.-Hurtos,7817.0,7525.0,-3.7,
    9.-Sustracciones de vehículos,741.0,719.0,-3.0,
    10.-Tráfico de drogas,156.0,179.0,14.7,
    TOTAL INFRACCIONES PENALES,31852.0,32069.0,0.7,
CATALUÑA,
    1.-Homicidios dolosos y asesinatos consumados,28.0,21.0,-25.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,59.0,70.0,18.6,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,1443.0,1483.0,2.8,
    4.-Secuestro,0.0,6.0,100.0,
    5.-Delitos contra la libertad e indemnidad sexual,1112.0,1095.0,-1.5,
    5.1.-Agresión sexual con penetración,157.0,168.0,7.0,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,955.0,927.0,-2.9,
    6.-Robos con violencia e intimidación,9568.0,9953.0,4.0,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,15863.0,14597.0,-8.0,
    7.1.-Robos con fuerza en domicilios,11801.0,10834.0,-8.2,
    8.-Hurtos,77022.0,79967.0,3.8,
    9.-Sustracciones de vehículos,3878.0,4256.0,9.7,
    10.-Tráfico de drogas,1064.0,1232.0,15.8,
    TOTAL INFRACCIONES PENALES,196231.0,200048.0,1.9,
COMUNITAT VALENCIANA,
    1.-Homicidios dolosos y asesinatos consumados,18.0,21.0,16.7,
    2.-Homicidios dolosos y asesinatos en grado tentativa,49.0,36.0,-26.5,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,844.0,837.0,-0.8,
    4.-Secuestro,5.0,2.0,-60.0,
    5.-Delitos contra la libertad e indemnidad sexual,679.0,649.0,-4.4,
    5.1.-Agresión sexual con penetración,62.0,54.0,-12.9,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,617.0,595.0,-3.6,
    6.-Robos con violencia e intimidación,2956.0,2707.0,-8.4,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,12765.0,10988.0,-13.9,
    7.1.-Robos con fuerza en domicilios,10087.0,8455.0,-16.2,
    8.-Hurtos,37419.0,35462.0,-5.2,
    9.-Sustracciones de vehículos,2145.0,2063.0,-3.8,
    10.-Tráfico de drogas,789.0,766.0,-2.9,
    TOTAL INFRACCIONES PENALES,113832.0,110544.0,-2.9,
EXTREMADURA,
    1.-Homicidios dolosos y asesinatos consumados,4.0,5.0,25.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,1.0,6.0,500.0,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,169.0,179.0,5.9,
    4.-Secuestro,1.0,0.0,-100.0,
    5.-Delitos contra la libertad e indemnidad sexual,69.0,67.0,-2.9,
    5.1.-Agresión sexual con penetración,4.0,3.0,-25.0,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,65.0,64.0,-1.5,
    6.-Robos con violencia e intimidación,149.0,141.0,-5.4,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,1174.0,1119.0,-4.7,
    7.1.-Robos con fuerza en domicilios,680.0,660.0,-2.9,
    8.-Hurtos,3785.0,3615.0,-4.5,
    9.-Sustracciones de vehículos,194.0,195.0,0.5,
    10.-Tráfico de drogas,91.0,79.0,-13.2,
    TOTAL INFRACCIONES PENALES,13086.0,13245.0,1.2,
GALICIA,
    1.-Homicidios dolosos y asesinatos consumados,6.0,8.0,33.3,
    2.-Homicidios dolosos y asesinatos en grado tentativa,14.0,16.0,14.3,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,399.0,440.0,10.3,
    4.-Secuestro,2.0,3.0,50.0,
    5.-Delitos contra la libertad e indemnidad sexual,199.0,250.0,25.6,
    5.1.-Agresión sexual con penetración,12.0,26.0,116.7,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,187.0,224.0,19.8,
    6.-Robos con violencia e intimidación,544.0,489.0,-10.1,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,3201.0,2817.0,-12.0,
    7.1.-Robos con fuerza en domicilios,2010.0,1682.0,-16.3,
    8.-Hurtos,10122.0,9658.0,-4.6,
    9.-Sustracciones de vehículos,503.0,468.0,-7.0,
    10.-Tráfico de drogas,169.0,179.0,5.9,
    TOTAL INFRACCIONES PENALES,36119.0,35883.0,-0.7,
MADRID (COMUNIDAD DE),
    1.-Homicidios dolosos y asesinatos consumados,22.0,21.0,-4.5,
    2.-Homicidios dolosos y asesinatos en grado tentativa,41.0,52.0,26.8,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,1045.0,986.0,-5.6,
    4.-Secuestro,7.0,2.0,-71.4,
    5.-Delitos contra la libertad e indemnidad sexual,726.0,892.0,22.9,
    5.1.-Agresión sexual con penetración,104.0,103.0,-1.0,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,622.0,789.0,26.8,
    6.-Robos con violencia e intimidación,8365.0,8366.0,0.0,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,12023.0,9450.0,-21.4,
    7.1.-Robos con fuerza en domicilios,7941.0,5905.0,-25.6,
    8.-Hurtos,77809.0,79809.0,2.6,
    9.-Sustracciones de vehículos,5114.0,5752.0,12.5,
    10.-Tráfico de drogas,764.0,807.0,5.6,
    TOTAL INFRACCIONES PENALES,191057.0,192352.0,0.7,
MURCIA (REGIÓN DE),
    1.-Homicidios dolosos y asesinatos consumados,6.0,9.0,50.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,11.0,19.0,72.7,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,298.0,283.0,-5.0,
    4.-Secuestro,1.0,0.0,-100.0,
    5.-Delitos contra la libertad e indemnidad sexual,185.0,182.0,-1.6,
    5.1.-Agresión sexual con penetración,13.0,15.0,15.4,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,172.0,167.0,-2.9,
    6.-Robos con violencia e intimidación,738.0,701.0,-5.0,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,3218.0,3342.0,3.9,
    7.1.-Robos con fuerza en domicilios,2591.0,2745.0,5.9,
    8.-Hurtos,7956.0,7399.0,-7.0,
    9.-Sustracciones de vehículos,643.0,707.0,10.0,
    10.-Tráfico de drogas,156.0,158.0,1.3,
    TOTAL INFRACCIONES PENALES,25654.0,25780.0,0.5,
NAVARRA (COMUNIDAD FORAL DE),
    1.-Homicidios dolosos y asesinatos consumados,0.0,1.0,100.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,1.0,7.0,600.0,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,158.0,175.0,10.8,
    4.-Secuestro,2.0,1.0,-50.0,
    5.-Delitos contra la libertad e indemnidad sexual,101.0,126.0,24.8,
    5.1.-Agresión sexual con penetración,22.0,20.0,-9.1,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,79.0,106.0,34.2,
    6.-Robos con violencia e intimidación,189.0,189.0,0.0,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,778.0,775.0,-0.4,
    7.1.-Robos con fuerza en domicilios,509.0,478.0,-6.1,
    8.-Hurtos,3453.0,3254.0,-5.8,
    9.-Sustracciones de vehículos,96.0,85.0,-11.5,
    10.-Tráfico de drogas,102.0,60.0,-41.2,
    TOTAL INFRACCIONES PENALES,11882.0,11671.0,-1.8,
PAÍS VASCO,
    1.-Homicidios dolosos y asesinatos consumados,4.0,2.0,-50.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,17.0,25.0,47.1,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,555.0,533.0,-4.0,
    4.-Secuestro,21.0,4.0,-81.0,
    5.-Delitos contra la libertad e indemnidad sexual,186.0,247.0,32.8,
    5.1.-Agresión sexual con penetración,21.0,32.0,52.4,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,165.0,215.0,30.3,
    6.-Robos con violencia e intimidación,885.0,746.0,-15.7,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,4084.0,3246.0,-20.5,
    7.1.-Robos con fuerza en domicilios,2138.0,1735.0,-18.8,
    8.-Hurtos,13668.0,13201.0,-3.4,
    9.-Sustracciones de vehículos,526.0,384.0,-27.0,
    10.-Tráfico de drogas,169.0,163.0,-3.6,
    TOTAL INFRACCIONES PENALES,40638.0,40417.0,-0.5,
RIOJA (LA),
    1.-Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,2.0,4.0,100.0,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,61.0,66.0,8.2,
    4.-Secuestro,0.0,0.0,0.0,
    5.-Delitos contra la libertad e indemnidad sexual,20.0,23.0,15.0,
    5.1.-Agresión sexual con penetración,2.0,2.0,0.0,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,18.0,21.0,16.7,
    6.-Robos con violencia e intimidación,57.0,43.0,-24.6,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,323.0,367.0,13.6,
    7.1.-Robos con fuerza en domicilios,230.0,295.0,28.3,
    8.-Hurtos,1374.0,1249.0,-9.1,
    9.-Sustracciones de vehículos,52.0,47.0,-9.6,
    10.-Tráfico de drogas,34.0,44.0,29.4,
    TOTAL INFRACCIONES PENALES,3885.0,3871.0,-0.4,
CIUDAD AUTÓNOMA DE CEUTA,
    1.-Homicidios dolosos y asesinatos consumados,1.0,1.0,0.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,2.0,2.0,0.0,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,20.0,29.0,45.0,
    4.-Secuestro,0.0,0.0,0.0,
    5.-Delitos contra la libertad e indemnidad sexual,14.0,13.0,-7.1,
    5.1.-Agresión sexual con penetración,1.0,1.0,0.0,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,13.0,12.0,-7.7,
    6.-Robos con violencia e intimidación,82.0,58.0,-29.3,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,58.0,47.0,-19.0,
    7.1.-Robos con fuerza en domicilios,39.0,31.0,-20.5,
    8.-Hurtos,448.0,401.0,-10.5,
    9.-Sustracciones de vehículos,227.0,107.0,-52.9,
    10.-Tráfico de drogas,145.0,164.0,13.1,
    TOTAL INFRACCIONES PENALES,2311.0,2340.0,1.3,
CIUDAD AUTÓNOMA DE MELILLA,
    1.-Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,4.0,3.0,-25.0,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,52.0,42.0,-19.2,
    4.-Secuestro,0.0,0.0,0.0,
    5.-Delitos contra la libertad e indemnidad sexual,14.0,14.0,0.0,
    5.1.-Agresión sexual con penetración,0.0,0.0,0.0,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,14.0,14.0,0.0,
    6.-Robos con violencia e intimidación,179.0,173.0,-3.4,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,93.0,78.0,-16.1,
    7.1.-Robos con fuerza en domicilios,73.0,56.0,-23.3,
    8.-Hurtos,646.0,541.0,-16.3,
    9.-Sustracciones de vehículos,48.0,58.0,20.8,
    10.-Tráfico de drogas,55.0,25.0,-54.5,
    TOTAL INFRACCIONES PENALES,2371.0,2247.0,-5.2,
FUERA DE ESPAÑA,
    1.-Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0,
    2.-Homicidios dolosos y asesinatos en grado tentativa,0.0,0.0,0.0,
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,1.0,2.0,100.0,
    4.-Secuestro,6.0,3.0,-50.0,
    5.-Delitos contra la libertad e indemnidad sexual,19.0,31.0,63.2,
    5.1.-Agresión sexual con penetración,3.0,6.0,100.0,
    5.2.-Resto de delitos contra la libertad e indemnidad sexual,16.0,25.0,56.3,
    6.-Robos con violencia e intimidación,103.0,113.0,9.7,
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones,19.0,11.0,-42.1,
    7.1.-Robos con fuerza en domicilios,13.0,7.0,-46.2,
    8.-Hurtos,1238.0,1339.0,8.2,
    9.-Sustracciones de vehículos,45.0,44.0,-2.2,
    10.-Tráfico de drogas,5.0,5.0,0.0,
    TOTAL INFRACCIONES PENALES,9323.0,9422.0,1.1,
Notas:
(*) Se computan datos provenientes de las Fuerzas y Cuerpos de  Seguridad del Estado, policías autonómicas y policías locales que  proporcionan datos al Sistema Estadístico de Criminalidad.     
    
 (**) Indicadores estadísticos de criminalidad utilizados por la  Oficina Estadística Europea (EUROSTAT).
Fuente: Ministerio del Interior
