
Balance de criminalidad. 2023 - 4º Trimestre - CCAA
Indicadores de seguridad 2023 - 4ºTrimestre por comunidades  autónomas, tipología penal y periodos.
Unidades: Hechos conocidos. Variación porcentual

,enero-diciembre 2022,enero-diciembre 2023,Variación % 2023/2022,
    5.2.-Resto de delitos contra la libertad sexual,209.0,217.0,3.8,
    6. Robos con violencia e intimidación,296.0,315.0,6.4,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,1839.0,1860.0,1.1,
    7.1.-Robos con fuerza en domicilios,1198.0,1263.0,5.4,
    8. Hurtos,6388.0,6796.0,6.4,
    9. Sustracciones de vehículos,163.0,191.0,17.2,
    10. Tráfico de drogas,265.0,313.0,18.1,
    11. Resto de criminalidad convencional,14964.0,16267.0,8.7,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),7528.0,8835.0,17.4,
    12.-Estafas informáticas,6577.0,7472.0,13.6,
    13.-Otros ciberdelitos,951.0,1363.0,43.3,
    III. TOTAL INFRACCIONES PENALES,32093.0,35305.0,10.0,
GALICIA,
    I. CRIMINALIDAD CONVENCIONAL,73990.0,73128.0,-1.2,
    1. Homicidios dolosos y asesinatos consumados,7.0,18.0,157.1,
    2. Homicidios dolosos y asesinatos en grado tentativa,45.0,51.0,13.3,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,1187.0,1132.0,-4.6,
    4. Secuestro,2.0,4.0,100.0,
    5. Delitos contra la libertad sexual,649.0,811.0,25.0,
    5.1.-Agresión sexual con penetración,155.0,201.0,29.7,
    5.2.-Resto de delitos contra la libertad sexual,494.0,610.0,23.5,
    6. Robos con violencia e intimidación,963.0,1056.0,9.7,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,4127.0,4693.0,13.7,
    7.1.-Robos con fuerza en domicilios,2690.0,2676.0,-0.5,
    8. Hurtos,19527.0,20323.0,4.1,
    9. Sustracciones de vehículos,528.0,570.0,8.0,
    10. Tráfico de drogas,505.0,488.0,-3.4,
    11. Resto de criminalidad convencional,46450.0,43982.0,-5.3,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),20914.0,21815.0,4.3,
    12.-Estafas informáticas,18456.0,18821.0,2.0,
    13.-Otros ciberdelitos,2458.0,2994.0,21.8,
    III. TOTAL INFRACCIONES PENALES,94904.0,94943.0,0.0,
MADRID (COMUNIDAD DE),
    I. CRIMINALIDAD CONVENCIONAL,338166.0,333218.0,-1.5,
    1. Homicidios dolosos y asesinatos consumados,46.0,36.0,-21.7,
    2. Homicidios dolosos y asesinatos en grado tentativa,137.0,174.0,27.0,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,3162.0,3347.0,5.9,
    4. Secuestro,14.0,19.0,35.7,
    5. Delitos contra la libertad sexual,2459.0,2830.0,15.1,
    5.1.-Agresión sexual con penetración,613.0,649.0,5.9,
    5.2.-Resto de delitos contra la libertad sexual,1846.0,2181.0,18.1,
    6. Robos con violencia e intimidación,12626.0,12233.0,-3.1,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,13754.0,14544.0,5.7,
    7.1.-Robos con fuerza en domicilios,9518.0,9326.0,-2.0,
    8. Hurtos,132920.0,128268.0,-3.5,
    9. Sustracciones de vehículos,7397.0,7119.0,-3.8,
    10. Tráfico de drogas,2984.0,3384.0,13.4,
    11. Resto de criminalidad convencional,162667.0,161264.0,-0.9,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),63758.0,79624.0,24.9,
    12.-Estafas informáticas,57794.0,72314.0,25.1,
    13.-Otros ciberdelitos,5964.0,7310.0,22.6,
    III. TOTAL INFRACCIONES PENALES,401924.0,412842.0,2.7,
MURCIA (REGIÓN DE),
    I. CRIMINALIDAD CONVENCIONAL,58746.0,60491.0,3.0,
    1. Homicidios dolosos y asesinatos consumados,8.0,15.0,87.5,
    2. Homicidios dolosos y asesinatos en grado tentativa,51.0,64.0,25.5,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,1156.0,1190.0,2.9,
    4. Secuestro,6.0,4.0,-33.3,
    5. Delitos contra la libertad sexual,577.0,661.0,14.6,
    5.1.-Agresión sexual con penetración,93.0,110.0,18.3,
    5.2.-Resto de delitos contra la libertad sexual,484.0,551.0,13.8,
    6. Robos con violencia e intimidación,1999.0,2069.0,3.5,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,5364.0,5319.0,-0.8,
    7.1.-Robos con fuerza en domicilios,4001.0,3907.0,-2.3,
    8. Hurtos,15475.0,16577.0,7.1,
    9. Sustracciones de vehículos,774.0,958.0,23.8,
    10. Tráfico de drogas,527.0,572.0,8.5,
    11. Resto de criminalidad convencional,32809.0,33062.0,0.8,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),9971.0,13696.0,37.4,
    12.-Estafas informáticas,8651.0,12268.0,41.8,
    13.-Otros ciberdelitos,1320.0,1428.0,8.2,
    III. TOTAL INFRACCIONES PENALES,68717.0,74187.0,8.0,
NAVARRA (COMUNIDAD FORAL DE),
    I. CRIMINALIDAD CONVENCIONAL,27910.0,28305.0,1.4,
    1. Homicidios dolosos y asesinatos consumados,3.0,6.0,100.0,
    2. Homicidios dolosos y asesinatos en grado tentativa,21.0,32.0,52.4,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,404.0,378.0,-6.4,
    4. Secuestro,2.0,0.0,-100.0,
    5. Delitos contra la libertad sexual,321.0,418.0,30.2,
    5.1.-Agresión sexual con penetración,76.0,81.0,6.6,
    5.2.-Resto de delitos contra la libertad sexual,245.0,337.0,37.6,
    6. Robos con violencia e intimidación,422.0,467.0,10.7,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,1464.0,1505.0,2.8,
    7.1.-Robos con fuerza en domicilios,985.0,1032.0,4.8,
    8. Hurtos,8108.0,8661.0,6.8,
    9. Sustracciones de vehículos,132.0,152.0,15.2,
    10. Tráfico de drogas,147.0,158.0,7.5,
    11. Resto de criminalidad convencional,16886.0,16528.0,-2.1,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),5499.0,6785.0,23.4,
    12.-Estafas informáticas,4816.0,6061.0,25.9,
    13.-Otros ciberdelitos,683.0,724.0,6.0,
    III. TOTAL INFRACCIONES PENALES,33409.0,35090.0,5.0,
PAÍS VASCO,
    I. CRIMINALIDAD CONVENCIONAL,80849.0,79965.0,-1.1,
    1. Homicidios dolosos y asesinatos consumados,8.0,6.0,-25.0,
    2. Homicidios dolosos y asesinatos en grado tentativa,63.0,44.0,-30.2,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,1534.0,1658.0,8.1,
    4. Secuestro,4.0,9.0,125.0,
    5. Delitos contra la libertad sexual,756.0,831.0,9.9,
    5.1.-Agresión sexual con penetración,235.0,231.0,-1.7,
    5.2.-Resto de delitos contra la libertad sexual,521.0,600.0,15.2,
    6. Robos con violencia e intimidación,2201.0,2105.0,-4.4,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,7581.0,6411.0,-15.4,
    7.1.-Robos con fuerza en domicilios,5113.0,4079.0,-20.2,
    8. Hurtos,29230.0,30125.0,3.1,
    9. Sustracciones de vehículos,718.0,751.0,4.6,
    10. Tráfico de drogas,623.0,596.0,-4.3,
    11. Resto de criminalidad convencional,38131.0,37429.0,-1.8,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),20907.0,27798.0,33.0,
    12.-Estafas informáticas,18861.0,25059.0,32.9,
    13.-Otros ciberdelitos,2046.0,2739.0,33.9,
    III. TOTAL INFRACCIONES PENALES,101756.0,107763.0,5.9,
RIOJA (LA),
    I. CRIMINALIDAD CONVENCIONAL,9321.0,9785.0,5.0,
    1. Homicidios dolosos y asesinatos consumados,1.0,3.0,200.0,
    2. Homicidios dolosos y asesinatos en grado tentativa,8.0,12.0,50.0,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,198.0,238.0,20.2,
    4. Secuestro,0.0,2.0,100.0,
    5. Delitos contra la libertad sexual,101.0,113.0,11.9,
    5.1.-Agresión sexual con penetración,19.0,18.0,-5.3,
    5.2.-Resto de delitos contra la libertad sexual,82.0,95.0,15.9,
    6. Robos con violencia e intimidación,121.0,150.0,24.0,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,713.0,727.0,2.0,
    7.1.-Robos con fuerza en domicilios,527.0,559.0,6.1,
    8. Hurtos,2743.0,2967.0,8.2,
    9. Sustracciones de vehículos,77.0,68.0,-11.7,
    10. Tráfico de drogas,98.0,89.0,-9.2,
    11. Resto de criminalidad convencional,5261.0,5416.0,2.9,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),2433.0,2381.0,-2.1,
    12.-Estafas informáticas,2152.0,2038.0,-5.3,
    13.-Otros ciberdelitos,281.0,343.0,22.1,
    III. TOTAL INFRACCIONES PENALES,11754.0,12166.0,3.5,
CIUDAD AUTÓNOMA DE CEUTA,
    I. CRIMINALIDAD CONVENCIONAL,3068.0,2746.0,-10.5,
    1. Homicidios dolosos y asesinatos consumados,4.0,5.0,25.0,
    2. Homicidios dolosos y asesinatos en grado tentativa,31.0,6.0,-80.6,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,75.0,52.0,-30.7,
    4. Secuestro,1.0,0.0,-100.0,
    5. Delitos contra la libertad sexual,42.0,40.0,-4.8,
    5.1.-Agresión sexual con penetración,5.0,8.0,60.0,
    5.2.-Resto de delitos contra la libertad sexual,37.0,32.0,-13.5,
    6. Robos con violencia e intimidación,107.0,76.0,-29.0,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,45.0,50.0,11.1,
    7.1.-Robos con fuerza en domicilios,31.0,31.0,0.0,
    8. Hurtos,425.0,495.0,16.5,
    9. Sustracciones de vehículos,107.0,104.0,-2.8,
    10. Tráfico de drogas,115.0,93.0,-19.1,
    11. Resto de criminalidad convencional,2116.0,1825.0,-13.8,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),567.0,548.0,-3.4,
    12.-Estafas informáticas,469.0,478.0,1.9,
    13.-Otros ciberdelitos,98.0,70.0,-28.6,
    III. TOTAL INFRACCIONES PENALES,3635.0,3294.0,-9.4,
CIUDAD AUTÓNOMA DE MELILLA,
    I. CRIMINALIDAD CONVENCIONAL,3904.0,3597.0,-7.9,
    1. Homicidios dolosos y asesinatos consumados,2.0,0.0,-100.0,
    2. Homicidios dolosos y asesinatos en grado tentativa,5.0,3.0,-40.0,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,102.0,112.0,9.8,
    4. Secuestro,0.0,0.0,0.0,
    5. Delitos contra la libertad sexual,22.0,33.0,50.0,
    5.1.-Agresión sexual con penetración,4.0,3.0,-25.0,
    5.2.-Resto de delitos contra la libertad sexual,18.0,30.0,66.7,
    6. Robos con violencia e intimidación,121.0,110.0,-9.1,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,87.0,109.0,25.3,
    7.1.-Robos con fuerza en domicilios,46.0,56.0,21.7,
    8. Hurtos,732.0,694.0,-5.2,
    9. Sustracciones de vehículos,78.0,59.0,-24.4,
    10. Tráfico de drogas,69.0,53.0,-23.2,
    11. Resto de criminalidad convencional,2686.0,2424.0,-9.8,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),405.0,447.0,10.4,
    12.-Estafas informáticas,329.0,386.0,17.3,
    13.-Otros ciberdelitos,76.0,61.0,-19.7,
    III. TOTAL INFRACCIONES PENALES,4309.0,4044.0,-6.1,
EN EL EXTRANJERO,
    I. CRIMINALIDAD CONVENCIONAL,4986.0,5112.0,2.5,
    1. Homicidios dolosos y asesinatos consumados,1.0,2.0,100.0,
    2. Homicidios dolosos y asesinatos en grado tentativa,0.0,0.0,0.0,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,5.0,5.0,0.0,
    4. Secuestro,2.0,8.0,300.0,
    5. Delitos contra la libertad sexual,80.0,69.0,-13.8,
    5.1.-Agresión sexual con penetración,22.0,31.0,40.9,
    5.2.-Resto de delitos contra la libertad sexual,58.0,38.0,-34.5,
    6. Robos con violencia e intimidación,164.0,194.0,18.3,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,28.0,19.0,-32.1,
    7.1.-Robos con fuerza en domicilios,17.0,13.0,-23.5,
    8. Hurtos,2078.0,2492.0,19.9,
    9. Sustracciones de vehículos,66.0,101.0,53.0,
    10. Tráfico de drogas,23.0,47.0,104.3,
    11. Resto de criminalidad convencional,2539.0,2175.0,-14.3,
