
Balance de criminalidad. 2023 - 3er Trimestre - CCAA
Indicadores de seguridad 2023 - 3er  Trimestre por comunidades  autónomas, tipología penal y periodos.
Unidades: Hechos conocidos. Variación porcentual

,enero-septiembre 2022,enero-septiembre 2023,Variación % 2023/2022,
    I. CRIMINALIDAD CONVENCIONAL,29012.0,26705.0,-8.0,
    1. Homicidios dolosos y asesinatos consumados,8.0,7.0,-12.5,
    2. Homicidios dolosos y asesinatos en grado tentativa,19.0,29.0,52.6,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,542.0,484.0,-10.7,
    4. Secuestro,0.0,2.0,100.0,
    5. Delitos contra la libertad sexual,303.0,334.0,10.2,
    5.1.-Agresión sexual con penetración,65.0,67.0,3.1,
    5.2.-Resto de delitos contra la libertad sexual,238.0,267.0,12.2,
    6. Robos con violencia e intimidación,914.0,711.0,-22.2,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,1832.0,1899.0,3.7,
    7.1.-Robos con fuerza en domicilios,1118.0,1315.0,17.6,
    8. Hurtos,7881.0,7055.0,-10.5,
    9. Sustracciones de vehículos,204.0,237.0,16.2,
    10. Tráfico de drogas,297.0,358.0,20.5,
    11. Resto de criminalidad convencional,17012.0,15589.0,-8.4,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),6787.0,8127.0,19.7,
    12.-Estafas informáticas,6116.0,7224.0,18.1,
    13.-Otros ciberdelitos,671.0,903.0,34.6,
    III. TOTAL INFRACCIONES PENALES,35799.0,34832.0,-2.7,
ASTURIAS (PRINCIPADO DE),
    I. CRIMINALIDAD CONVENCIONAL,17568.0,18835.0,7.2,
    1. Homicidios dolosos y asesinatos consumados,4.0,5.0,25.0,
    2. Homicidios dolosos y asesinatos en grado tentativa,10.0,13.0,30.0,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,344.0,328.0,-4.7,
    4. Secuestro,0.0,0.0,0.0,
    5. Delitos contra la libertad sexual,171.0,232.0,35.7,
    5.1.-Agresión sexual con penetración,35.0,49.0,40.0,
    5.2.-Resto de delitos contra la libertad sexual,136.0,183.0,34.6,
    6. Robos con violencia e intimidación,293.0,293.0,0.0,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,820.0,1096.0,33.7,
    7.1.-Robos con fuerza en domicilios,564.0,734.0,30.1,
    8. Hurtos,4960.0,5731.0,15.5,
    9. Sustracciones de vehículos,192.0,200.0,4.2,
    10. Tráfico de drogas,136.0,145.0,6.6,
    11. Resto de criminalidad convencional,10638.0,10792.0,1.4,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),6454.0,6223.0,-3.6,
    12.-Estafas informáticas,5751.0,5677.0,-1.3,
    13.-Otros ciberdelitos,703.0,546.0,-22.3,
    III. TOTAL INFRACCIONES PENALES,24022.0,25058.0,4.3,
BALEARS (ILLES),
    I. CRIMINALIDAD CONVENCIONAL,52703.0,52213.0,-0.9,
    1. Homicidios dolosos y asesinatos consumados,3.0,4.0,33.3,
    2. Homicidios dolosos y asesinatos en grado tentativa,30.0,31.0,3.3,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,1023.0,1096.0,7.1,
    4. Secuestro,3.0,3.0,0.0,
    5. Delitos contra la libertad sexual,689.0,791.0,14.8,
    5.1.-Agresión sexual con penetración,124.0,126.0,1.6,
    5.2.-Resto de delitos contra la libertad sexual,565.0,665.0,17.7,
    6. Robos con violencia e intimidación,1010.0,1213.0,20.1,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,2189.0,1968.0,-10.1,
    7.1.-Robos con fuerza en domicilios,1623.0,1439.0,-11.3,
    8. Hurtos,19969.0,18495.0,-7.4,
    9. Sustracciones de vehículos,1152.0,1396.0,21.2,
    10. Tráfico de drogas,487.0,616.0,26.5,
    11. Resto de criminalidad convencional,26148.0,26600.0,1.7,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),6410.0,8017.0,25.1,
    12.-Estafas informáticas,5417.0,7174.0,32.4,
    13.-Otros ciberdelitos,993.0,843.0,-15.1,
    III. TOTAL INFRACCIONES PENALES,59113.0,60230.0,1.9,
CANARIAS,
    I. CRIMINALIDAD CONVENCIONAL,60657.0,64428.0,6.2,
    1. Homicidios dolosos y asesinatos consumados,10.0,15.0,50.0,
    2. Homicidios dolosos y asesinatos en grado tentativa,34.0,38.0,11.8,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,929.0,1047.0,12.7,
    4. Secuestro,1.0,4.0,300.0,
    5. Delitos contra la libertad sexual,799.0,786.0,-1.6,
    5.1.-Agresión sexual con penetración,171.0,164.0,-4.1,
    5.2.-Resto de delitos contra la libertad sexual,628.0,622.0,-1.0,
    6. Robos con violencia e intimidación,1211.0,1395.0,15.2,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,2752.0,2582.0,-6.2,
    7.1.-Robos con fuerza en domicilios,1819.0,1628.0,-10.5,
    8. Hurtos,17457.0,19400.0,11.1,
    9. Sustracciones de vehículos,900.0,1077.0,19.7,
    10. Tráfico de drogas,600.0,599.0,-0.2,
    11. Resto de criminalidad convencional,35964.0,37485.0,4.2,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),10229.0,12762.0,24.8,
    12.-Estafas informáticas,8712.0,11277.0,29.4,
    13.-Otros ciberdelitos,1517.0,1485.0,-2.1,
    III. TOTAL INFRACCIONES PENALES,70886.0,77190.0,8.9,
CANTABRIA,
    I. CRIMINALIDAD CONVENCIONAL,14445.0,13983.0,-3.2,
    1. Homicidios dolosos y asesinatos consumados,1.0,0.0,-100.0,
    2. Homicidios dolosos y asesinatos en grado tentativa,8.0,10.0,25.0,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,293.0,296.0,1.0,
    4. Secuestro,0.0,0.0,0.0,
    5. Delitos contra la libertad sexual,114.0,117.0,2.6,
    5.1.-Agresión sexual con penetración,31.0,25.0,-19.4,
    5.2.-Resto de delitos contra la libertad sexual,83.0,92.0,10.8,
    6. Robos con violencia e intimidación,182.0,179.0,-1.6,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,1224.0,1285.0,5.0,
    7.1.-Robos con fuerza en domicilios,871.0,942.0,8.2,
    8. Hurtos,3782.0,3785.0,0.1,
    9. Sustracciones de vehículos,62.0,93.0,50.0,
    10. Tráfico de drogas,69.0,91.0,31.9,
    11. Resto de criminalidad convencional,8710.0,8127.0,-6.7,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),3660.0,4316.0,17.9,
    12.-Estafas informáticas,3320.0,3947.0,18.9,
    13.-Otros ciberdelitos,340.0,369.0,8.5,
    III. TOTAL INFRACCIONES PENALES,18105.0,18299.0,1.1,
CASTILLA Y LEÓN,
    I. CRIMINALIDAD CONVENCIONAL,49756.0,47374.0,-4.8,
    1. Homicidios dolosos y asesinatos consumados,13.0,9.0,-30.8,
    2. Homicidios dolosos y asesinatos en grado tentativa,27.0,35.0,29.6,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,815.0,727.0,-10.8,
    4. Secuestro,2.0,0.0,-100.0,
    5. Delitos contra la libertad sexual,418.0,472.0,12.9,
    5.1.-Agresión sexual con penetración,78.0,112.0,43.6,
    5.2.-Resto de delitos contra la libertad sexual,340.0,360.0,5.9,
    6. Robos con violencia e intimidación,540.0,573.0,6.1,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,3206.0,2997.0,-6.5,
    7.1.-Robos con fuerza en domicilios,2146.0,1971.0,-8.2,
    8. Hurtos,12914.0,12845.0,-0.5,
    9. Sustracciones de vehículos,396.0,347.0,-12.4,
    10. Tráfico de drogas,361.0,358.0,-0.8,
    11. Resto de criminalidad convencional,31064.0,29011.0,-6.6,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),16194.0,18170.0,12.2,
    12.-Estafas informáticas,14365.0,16105.0,12.1,
    13.-Otros ciberdelitos,1829.0,2065.0,12.9,
    III. TOTAL INFRACCIONES PENALES,65950.0,65544.0,-0.6,
CASTILLA - LA MANCHA,
    I. CRIMINALIDAD CONVENCIONAL,49350.0,47969.0,-2.8,
    1. Homicidios dolosos y asesinatos consumados,15.0,12.0,-20.0,
    2. Homicidios dolosos y asesinatos en grado tentativa,35.0,35.0,0.0,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,756.0,740.0,-2.1,
    4. Secuestro,0.0,1.0,100.0,
    5. Delitos contra la libertad sexual,422.0,494.0,17.1,
    5.1.-Agresión sexual con penetración,92.0,100.0,8.7,
    5.2.-Resto de delitos contra la libertad sexual,330.0,394.0,19.4,
    6. Robos con violencia e intimidación,665.0,657.0,-1.2,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,3631.0,3546.0,-2.3,
    7.1.-Robos con fuerza en domicilios,2475.0,2517.0,1.7,
    8. Hurtos,10712.0,11105.0,3.7,
    9. Sustracciones de vehículos,492.0,456.0,-7.3,
    10. Tráfico de drogas,413.0,445.0,7.7,
    11. Resto de criminalidad convencional,32209.0,30478.0,-5.4,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),11511.0,13923.0,21.0,
    12.-Estafas informáticas,9953.0,12271.0,23.3,
    13.-Otros ciberdelitos,1558.0,1652.0,6.0,
    III. TOTAL INFRACCIONES PENALES,60861.0,61892.0,1.7,
CATALUÑA,
    I. CRIMINALIDAD CONVENCIONAL,307936.0,324228.0,5.3,
    1. Homicidios dolosos y asesinatos consumados,46.0,52.0,13.0,
    2. Homicidios dolosos y asesinatos en grado tentativa,146.0,189.0,29.5,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,3059.0,3071.0,0.4,
    4. Secuestro,7.0,7.0,0.0,
    5. Delitos contra la libertad sexual,2698.0,3178.0,17.8,
    5.1.-Agresión sexual con penetración,925.0,1213.0,31.1,
    5.2.-Resto de delitos contra la libertad sexual,1773.0,1965.0,10.8,
    6. Robos con violencia e intimidación,18499.0,18975.0,2.6,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,20460.0,20413.0,-0.2,
    7.1.-Robos con fuerza en domicilios,14720.0,13939.0,-5.3,
    8. Hurtos,120461.0,128562.0,6.7,
    9. Sustracciones de vehículos,5356.0,6288.0,17.4,
    10. Tráfico de drogas,3011.0,3281.0,9.0,
    11. Resto de criminalidad convencional,134193.0,140212.0,4.5,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),46733.0,53495.0,14.5,
    12.-Estafas informáticas,45021.0,52216.0,16.0,
    13.-Otros ciberdelitos,1712.0,1279.0,-25.3,
    III. TOTAL INFRACCIONES PENALES,354669.0,377723.0,6.5,
COMUNITAT VALENCIANA,
    I. CRIMINALIDAD CONVENCIONAL,173360.0,179581.0,3.6,
    1. Homicidios dolosos y asesinatos consumados,33.0,31.0,-6.1,
    2. Homicidios dolosos y asesinatos en grado tentativa,89.0,128.0,43.8,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,2537.0,2628.0,3.6,
    4. Secuestro,9.0,10.0,11.1,
    5. Delitos contra la libertad sexual,1736.0,1815.0,4.6,
    5.1.-Agresión sexual con penetración,410.0,348.0,-15.1,
    5.2.-Resto de delitos contra la libertad sexual,1326.0,1467.0,10.6,
    6. Robos con violencia e intimidación,4323.0,4515.0,4.4,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,13234.0,13529.0,2.2,
    7.1.-Robos con fuerza en domicilios,10749.0,10431.0,-3.0,
    8. Hurtos,54529.0,58226.0,6.8,
    9. Sustracciones de vehículos,2352.0,2310.0,-1.8,
    10. Tráfico de drogas,1521.0,1897.0,24.7,
    11. Resto de criminalidad convencional,92997.0,94492.0,1.6,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),24591.0,33948.0,38.1,
    12.-Estafas informáticas,20849.0,29471.0,41.4,
    13.-Otros ciberdelitos,3742.0,4477.0,19.6,
    III. TOTAL INFRACCIONES PENALES,197951.0,213529.0,7.9,
EXTREMADURA,
    I. CRIMINALIDAD CONVENCIONAL,18339.0,19630.0,7.0,
    1. Homicidios dolosos y asesinatos consumados,0.0,1.0,100.0,
    2. Homicidios dolosos y asesinatos en grado tentativa,6.0,8.0,33.3,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,287.0,327.0,13.9,
    4. Secuestro,1.0,0.0,-100.0,
    5. Delitos contra la libertad sexual,206.0,191.0,-7.3,
    5.1.-Agresión sexual con penetración,36.0,32.0,-11.1,
    5.2.-Resto de delitos contra la libertad sexual,170.0,159.0,-6.5,
    6. Robos con violencia e intimidación,228.0,227.0,-0.4,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,1318.0,1330.0,0.9,
    7.1.-Robos con fuerza en domicilios,844.0,897.0,6.3,
    8. Hurtos,4727.0,5040.0,6.6,
    9. Sustracciones de vehículos,112.0,127.0,13.4,
    10. Tráfico de drogas,202.0,245.0,21.3,
    11. Resto de criminalidad convencional,11252.0,12134.0,7.8,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),5345.0,6363.0,19.0,
    12.-Estafas informáticas,4619.0,5403.0,17.0,
    13.-Otros ciberdelitos,726.0,960.0,32.2,
    III. TOTAL INFRACCIONES PENALES,23684.0,25993.0,9.7,
GALICIA,
    I. CRIMINALIDAD CONVENCIONAL,56123.0,55725.0,-0.7,
    1. Homicidios dolosos y asesinatos consumados,4.0,12.0,200.0,
    2. Homicidios dolosos y asesinatos en grado tentativa,35.0,42.0,20.0,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,933.0,873.0,-6.4,
    4. Secuestro,1.0,3.0,200.0,
    5. Delitos contra la libertad sexual,505.0,588.0,16.4,
    5.1.-Agresión sexual con penetración,127.0,142.0,11.8,
    5.2.-Resto de delitos contra la libertad sexual,378.0,446.0,18.0,
    6. Robos con violencia e intimidación,727.0,786.0,8.1,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,2889.0,3450.0,19.4,
    7.1.-Robos con fuerza en domicilios,1890.0,1978.0,4.7,
    8. Hurtos,14705.0,15576.0,5.9,
    9. Sustracciones de vehículos,415.0,437.0,5.3,
    10. Tráfico de drogas,379.0,378.0,-0.3,
    11. Resto de criminalidad convencional,35530.0,33580.0,-5.5,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),16980.0,15755.0,-7.2,
    12.-Estafas informáticas,15103.0,13562.0,-10.2,
    13.-Otros ciberdelitos,1877.0,2193.0,16.8,
    III. TOTAL INFRACCIONES PENALES,73103.0,71480.0,-2.2,
MADRID (COMUNIDAD DE),
    I. CRIMINALIDAD CONVENCIONAL,250060.0,246166.0,-1.6,
    1. Homicidios dolosos y asesinatos consumados,30.0,28.0,-6.7,
    2. Homicidios dolosos y asesinatos en grado tentativa,95.0,135.0,42.1,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,2375.0,2486.0,4.7,
    4. Secuestro,8.0,17.0,112.5,
    5. Delitos contra la libertad sexual,1870.0,2096.0,12.1,
    5.1.-Agresión sexual con penetración,457.0,481.0,5.3,
    5.2.-Resto de delitos contra la libertad sexual,1413.0,1615.0,14.3,
    6. Robos con violencia e intimidación,9439.0,9159.0,-3.0,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,10229.0,10655.0,4.2,
    7.1.-Robos con fuerza en domicilios,7230.0,6904.0,-4.5,
    8. Hurtos,96995.0,93996.0,-3.1,
    9. Sustracciones de vehículos,5623.0,5235.0,-6.9,
    10. Tráfico de drogas,2236.0,2570.0,14.9,
    11. Resto de criminalidad convencional,121160.0,119789.0,-1.1,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),48139.0,57299.0,19.0,
    12.-Estafas informáticas,43630.0,51968.0,19.1,
    13.-Otros ciberdelitos,4509.0,5331.0,18.2,
    III. TOTAL INFRACCIONES PENALES,298199.0,303465.0,1.8,
MURCIA (REGIÓN DE),
    I. CRIMINALIDAD CONVENCIONAL,43548.0,45435.0,4.3,
    1. Homicidios dolosos y asesinatos consumados,6.0,13.0,116.7,
    2. Homicidios dolosos y asesinatos en grado tentativa,36.0,50.0,38.9,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,866.0,906.0,4.6,
    4. Secuestro,3.0,4.0,33.3,
    5. Delitos contra la libertad sexual,430.0,486.0,13.0,
    5.1.-Agresión sexual con penetración,69.0,82.0,18.8,
    5.2.-Resto de delitos contra la libertad sexual,361.0,404.0,11.9,
    6. Robos con violencia e intimidación,1438.0,1558.0,8.3,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,3913.0,3963.0,1.3,
    7.1.-Robos con fuerza en domicilios,2926.0,2873.0,-1.8,
    8. Hurtos,11304.0,12579.0,11.3,
    9. Sustracciones de vehículos,551.0,678.0,23.0,
    10. Tráfico de drogas,399.0,444.0,11.3,
    11. Resto de criminalidad convencional,24602.0,24754.0,0.6,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),7228.0,9645.0,33.4,
    12.-Estafas informáticas,6230.0,8592.0,37.9,
    13.-Otros ciberdelitos,998.0,1053.0,5.5,
    III. TOTAL INFRACCIONES PENALES,50776.0,55080.0,8.5,
NAVARRA (COMUNIDAD FORAL DE),
    I. CRIMINALIDAD CONVENCIONAL,21351.0,21421.0,0.3,
    1. Homicidios dolosos y asesinatos consumados,3.0,3.0,0.0,
    2. Homicidios dolosos y asesinatos en grado tentativa,18.0,29.0,61.1,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,300.0,276.0,-8.0,
    4. Secuestro,2.0,0.0,-100.0,
    5. Delitos contra la libertad sexual,233.0,304.0,30.5,
    5.1.-Agresión sexual con penetración,59.0,61.0,3.4,
    5.2.-Resto de delitos contra la libertad sexual,174.0,243.0,39.7,
    6. Robos con violencia e intimidación,339.0,360.0,6.2,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,1082.0,1104.0,2.0,
    7.1.-Robos con fuerza en domicilios,699.0,758.0,8.4,
    8. Hurtos,6333.0,6851.0,8.2,
    9. Sustracciones de vehículos,101.0,111.0,9.9,
    10. Tráfico de drogas,106.0,124.0,17.0,
    11. Resto de criminalidad convencional,12834.0,12259.0,-4.5,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),3990.0,4897.0,22.7,
    12.-Estafas informáticas,3478.0,4370.0,25.6,
    13.-Otros ciberdelitos,512.0,527.0,2.9,
    III. TOTAL INFRACCIONES PENALES,25341.0,26318.0,3.9,
PAÍS VASCO,
    I. CRIMINALIDAD CONVENCIONAL,59986.0,59700.0,-0.5,
    1. Homicidios dolosos y asesinatos consumados,5.0,5.0,0.0,
    2. Homicidios dolosos y asesinatos en grado tentativa,43.0,34.0,-20.9,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,1137.0,1216.0,6.9,
    4. Secuestro,4.0,5.0,25.0,
    5. Delitos contra la libertad sexual,584.0,619.0,6.0,
    5.1.-Agresión sexual con penetración,184.0,175.0,-4.9,
    5.2.-Resto de delitos contra la libertad sexual,400.0,444.0,11.0,
    6. Robos con violencia e intimidación,1565.0,1562.0,-0.2,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,5364.0,4675.0,-12.8,
    7.1.-Robos con fuerza en domicilios,3547.0,2907.0,-18.0,
    8. Hurtos,21802.0,22531.0,3.3,
    9. Sustracciones de vehículos,527.0,550.0,4.4,
    10. Tráfico de drogas,465.0,464.0,-0.2,
    11. Resto de criminalidad convencional,28490.0,28039.0,-1.6,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),15028.0,20047.0,33.4,
    12.-Estafas informáticas,13497.0,18095.0,34.1,
    13.-Otros ciberdelitos,1531.0,1952.0,27.5,
    III. TOTAL INFRACCIONES PENALES,75014.0,79747.0,6.3,
RIOJA (LA),
    I. CRIMINALIDAD CONVENCIONAL,7009.0,7364.0,5.1,
    1. Homicidios dolosos y asesinatos consumados,1.0,3.0,200.0,
    2. Homicidios dolosos y asesinatos en grado tentativa,3.0,12.0,300.0,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,155.0,178.0,14.8,
    4. Secuestro,0.0,1.0,100.0,
    5. Delitos contra la libertad sexual,83.0,80.0,-3.6,
    5.1.-Agresión sexual con penetración,13.0,13.0,0.0,
    5.2.-Resto de delitos contra la libertad sexual,70.0,67.0,-4.3,
    6. Robos con violencia e intimidación,86.0,121.0,40.7,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,511.0,553.0,8.2,
    7.1.-Robos con fuerza en domicilios,369.0,430.0,16.5,
    8. Hurtos,2023.0,2266.0,12.0,
    9. Sustracciones de vehículos,57.0,48.0,-15.8,
    10. Tráfico de drogas,76.0,72.0,-5.3,
    11. Resto de criminalidad convencional,4014.0,4030.0,0.4,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),1772.0,1803.0,1.7,
    12.-Estafas informáticas,1562.0,1550.0,-0.8,
    13.-Otros ciberdelitos,210.0,253.0,20.5,
    III. TOTAL INFRACCIONES PENALES,8781.0,9167.0,4.4,
CIUDAD AUTÓNOMA DE CEUTA,
    I. CRIMINALIDAD CONVENCIONAL,2346.0,1965.0,-16.2,
    1. Homicidios dolosos y asesinatos consumados,2.0,5.0,150.0,
    2. Homicidios dolosos y asesinatos en grado tentativa,29.0,6.0,-79.3,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,60.0,41.0,-31.7,
    4. Secuestro,1.0,0.0,-100.0,
    5. Delitos contra la libertad sexual,25.0,26.0,4.0,
    5.1.-Agresión sexual con penetración,3.0,2.0,-33.3,
    5.2.-Resto de delitos contra la libertad sexual,22.0,24.0,9.1,
    6. Robos con violencia e intimidación,84.0,47.0,-44.0,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,39.0,38.0,-2.6,
    7.1.-Robos con fuerza en domicilios,26.0,22.0,-15.4,
    8. Hurtos,313.0,356.0,13.7,
    9. Sustracciones de vehículos,89.0,60.0,-32.6,
    10. Tráfico de drogas,81.0,65.0,-19.8,
    11. Resto de criminalidad convencional,1623.0,1321.0,-18.6,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),438.0,388.0,-11.4,
    12.-Estafas informáticas,363.0,335.0,-7.7,
    13.-Otros ciberdelitos,75.0,53.0,-29.3,
    III. TOTAL INFRACCIONES PENALES,2784.0,2353.0,-15.5,
CIUDAD AUTÓNOMA DE MELILLA,
    I. CRIMINALIDAD CONVENCIONAL,2974.0,2591.0,-12.9,
    1. Homicidios dolosos y asesinatos consumados,2.0,0.0,-100.0,
    2. Homicidios dolosos y asesinatos en grado tentativa,4.0,2.0,-50.0,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,80.0,80.0,0.0,
    4. Secuestro,0.0,0.0,0.0,
    5. Delitos contra la libertad sexual,14.0,27.0,92.9,
    5.1.-Agresión sexual con penetración,2.0,2.0,0.0,
    5.2.-Resto de delitos contra la libertad sexual,12.0,25.0,108.3,
    6. Robos con violencia e intimidación,96.0,88.0,-8.3,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,56.0,77.0,37.5,
    7.1.-Robos con fuerza en domicilios,32.0,43.0,34.4,
    8. Hurtos,534.0,531.0,-0.6,
    9. Sustracciones de vehículos,55.0,42.0,-23.6,
    10. Tráfico de drogas,49.0,38.0,-22.4,
    11. Resto de criminalidad convencional,2084.0,1706.0,-18.1,
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),278.0,313.0,12.6,
    12.-Estafas informáticas,221.0,269.0,21.7,
    13.-Otros ciberdelitos,57.0,44.0,-22.8,
    III. TOTAL INFRACCIONES PENALES,3252.0,2904.0,-10.7,
EN EL EXTRANJERO,
    I. CRIMINALIDAD CONVENCIONAL,3643.0,3845.0,5.5,
    1. Homicidios dolosos y asesinatos consumados,0.0,1.0,100.0,
    2. Homicidios dolosos y asesinatos en grado tentativa,0.0,0.0,0.0,
    3. Delitos graves y menos graves de lesiones y riña tumultuaria,4.0,4.0,0.0,
    4. Secuestro,2.0,5.0,150.0,
    5. Delitos contra la libertad sexual,68.0,57.0,-16.2,
    5.1.-Agresión sexual con penetración,20.0,25.0,25.0,
    5.2.-Resto de delitos contra la libertad sexual,48.0,32.0,-33.3,
    6. Robos con violencia e intimidación,131.0,144.0,9.9,
    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones,21.0,11.0,-47.6,
    7.1.-Robos con fuerza en domicilios,14.0,7.0,-50.0,
    8. Hurtos,1502.0,1833.0,22.0,
    9. Sustracciones de vehículos,50.0,81.0,62.0,
    10. Tráfico de drogas,18.0,31.0,72.2,
    11. Resto de criminalidad convencional,1847.0,1678.0,-9.1,
