,Enero-marzo 2022,Enero-marzo 2023,Variacion % 2023/2022
    10. Trafico de drogas,1139.0,1125.0,-1.2
    11. Resto de criminalidad convencional,44310.0,45722.0,3.2
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),13515.0,17747.0,31.3
    12.-Estafas informaticas,11590.0,15720.0,35.6
    13.-Otros ciberdelitos,1925.0,2027.0,5.3
    III. TOTAL INFRACCIONES PENALES,88284.0,97595.0,10.5
ARAGON
    I. CRIMINALIDAD CONVENCIONAL,9553.0,9194.0,-3.8
    1. Homicidios dolosos y asesinatos consumados,3.0,3.0,0.0
    2. Homicidios dolosos y asesinatos en grado tentativa,4.0,11.0,175.0
    3. Delitos graves y menos graves de lesiones y rina tumultuaria,160.0,129.0,-19.4
    4. Secuestro,0.0,0.0,0.0
    5. Delitos contra la libertad sexual,87.0,96.0,10.3
    5.1.-Agresion sexual con penetracion,23.0,24.0,4.3
    5.2.-Resto de delitos contra la libertad sexual,64.0,72.0,12.5
    6. Robos con violencia e intimidacion,343.0,235.0,-31.5
    7. Robos con fuerza en domicilios establecimientos y otras instalaciones,655.0,759.0,15.9
    7.1.-Robos con fuerza en domicilios,413.0,528.0,27.8
    8. Hurtos,2602.0,2579.0,-0.9
    9. Sustracciones de vehiculos,64.0,96.0,50.0
    10. Trafico de drogas,91.0,109.0,19.8
    11. Resto de criminalidad convencional,5544.0,5177.0,-6.6
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),2343.0,3044.0,29.9
    12.-Estafas informaticas,2098.0,2712.0,29.3
    13.-Otros ciberdelitos,245.0,332.0,35.5
    III. TOTAL INFRACCIONES PENALES,11896.0,12238.0,2.9
ASTURIAS (PRINCIPADO DE)
    I. CRIMINALIDAD CONVENCIONAL,5404.0,5871.0,8.6
    1. Homicidios dolosos y asesinatos consumados,0.0,2.0,100.0
    2. Homicidios dolosos y asesinatos en grado tentativa,0.0,2.0,100.0
    3. Delitos graves y menos graves de lesiones y rina tumultuaria,91.0,86.0,-5.5
    4. Secuestro,0.0,0.0,0.0
    5. Delitos contra la libertad sexual,41.0,68.0,65.9
    5.1.-Agresion sexual con penetracion,10.0,16.0,60.0
    5.2.-Resto de delitos contra la libertad sexual,31.0,52.0,67.7
    6. Robos con violencia e intimidacion,85.0,80.0,-5.9
    7. Robos con fuerza en domicilios establecimientos y otras instalaciones,316.0,384.0,21.5
    7.1.-Robos con fuerza en domicilios,226.0,252.0,11.5
    8. Hurtos,1508.0,1770.0,17.4
    9. Sustracciones de vehiculos,52.0,71.0,36.5
    10. Trafico de drogas,42.0,45.0,7.1
    11. Resto de criminalidad convencional,3269.0,3363.0,2.9
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),2166.0,2126.0,-1.8
    12.-Estafas informaticas,1932.0,1937.0,0.3
    13.-Otros ciberdelitos,234.0,189.0,-19.2
    III. TOTAL INFRACCIONES PENALES,7570.0,7997.0,5.6
BALEARS (ILLES)
    I. CRIMINALIDAD CONVENCIONAL,11892.0,13094.0,10.1
    1. Homicidios dolosos y asesinatos consumados,1.0,1.0,0.0
    2. Homicidios dolosos y asesinatos en grado tentativa,13.0,5.0,-61.5
    3. Delitos graves y menos graves de lesiones y rina tumultuaria,180.0,235.0,30.6
    4. Secuestro,0.0,1.0,100.0
    5. Delitos contra la libertad sexual,139.0,177.0,27.3
    5.1.-Agresion sexual con penetracion,27.0,27.0,0.0
    5.2.-Resto de delitos contra la libertad sexual,112.0,150.0,33.9
    6. Robos con violencia e intimidacion,207.0,272.0,31.4
    7. Robos con fuerza en domicilios establecimientos y otras instalaciones,608.0,620.0,2.0
    7.1.-Robos con fuerza en domicilios,412.0,445.0,8.0
    8. Hurtos,3175.0,3673.0,15.7
    9. Sustracciones de vehiculos,275.0,376.0,36.7
    10. Trafico de drogas,75.0,70.0,-6.7
    11. Resto de criminalidad convencional,7219.0,7664.0,6.2
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),2215.0,2451.0,10.7
    12.-Estafas informaticas,1879.0,2163.0,15.1
    13.-Otros ciberdelitos,336.0,288.0,-14.3
    III. TOTAL INFRACCIONES PENALES,14107.0,15545.0,10.2
CANARIAS
    I. CRIMINALIDAD CONVENCIONAL,20247.0,22021.0,8.8
    1. Homicidios dolosos y asesinatos consumados,2.0,3.0,50.0
    2. Homicidios dolosos y asesinatos en grado tentativa,15.0,12.0,-20.0
    3. Delitos graves y menos graves de lesiones y rina tumultuaria,269.0,317.0,17.8
    4. Secuestro,1.0,1.0,0.0
    5. Delitos contra la libertad sexual,226.0,251.0,11.1
    5.1.-Agresion sexual con penetracion,57.0,47.0,-17.5
    5.2.-Resto de delitos contra la libertad sexual,169.0,204.0,20.7
    6. Robos con violencia e intimidacion,426.0,515.0,20.9
    7. Robos con fuerza en domicilios establecimientos y otras instalaciones,873.0,932.0,6.8
    7.1.-Robos con fuerza en domicilios,613.0,588.0,-4.1
    8. Hurtos,6331.0,7373.0,16.5
    9. Sustracciones de vehiculos,232.0,368.0,58.6
    10. Trafico de drogas,204.0,174.0,-14.7
    11. Resto de criminalidad convencional,11668.0,12075.0,3.5
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),3358.0,3853.0,14.7
    12.-Estafas informaticas,2855.0,3325.0,16.5
    13.-Otros ciberdelitos,503.0,528.0,5.0
    III. TOTAL INFRACCIONES PENALES,23605.0,25874.0,9.6
CANTABRIA
    I. CRIMINALIDAD CONVENCIONAL,4455.0,4182.0,-6.1
    1. Homicidios dolosos y asesinatos consumados,1.0,0.0,-100.0
    2. Homicidios dolosos y asesinatos en grado tentativa,0.0,3.0,100.0
    3. Delitos graves y menos graves de lesiones y rina tumultuaria,80.0,92.0,15.0
    4. Secuestro,0.0,0.0,0.0
    5. Delitos contra la libertad sexual,34.0,37.0,8.8
    5.1.-Agresion sexual con penetracion,10.0,6.0,-40.0
    5.2.-Resto de delitos contra la libertad sexual,24.0,31.0,29.2
    6. Robos con violencia e intimidacion,52.0,61.0,17.3
    7. Robos con fuerza en domicilios establecimientos y otras instalaciones,525.0,452.0,-13.9
    7.1.-Robos con fuerza en domicilios,400.0,331.0,-17.3
    8. Hurtos,1062.0,1080.0,1.7
    9. Sustracciones de vehiculos,23.0,29.0,26.1
    10. Trafico de drogas,26.0,34.0,30.8
    11. Resto de criminalidad convencional,2652.0,2394.0,-9.7
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),1234.0,1410.0,14.3
    12.-Estafas informaticas,1093.0,1291.0,18.1
    13.-Otros ciberdelitos,141.0,119.0,-15.6
    III. TOTAL INFRACCIONES PENALES,5689.0,5592.0,-1.7
CASTILLA Y LEON
    I. CRIMINALIDAD CONVENCIONAL,15880.0,15294.0,-3.7
    1. Homicidios dolosos y asesinatos consumados,2.0,3.0,50.0
    2. Homicidios dolosos y asesinatos en grado tentativa,10.0,9.0,-10.0
    3. Delitos graves y menos graves de lesiones y rina tumultuaria,212.0,189.0,-10.8
    4. Secuestro,1.0,0.0,-100.0
    5. Delitos contra la libertad sexual,129.0,124.0,-3.9
    5.1.-Agresion sexual con penetracion,25.0,30.0,20.0
    5.2.-Resto de delitos contra la libertad sexual,104.0,94.0,-9.6
    6. Robos con violencia e intimidacion,170.0,188.0,10.6
    7. Robos con fuerza en domicilios establecimientos y otras instalaciones,1292.0,1108.0,-14.2
    7.1.-Robos con fuerza en domicilios,830.0,696.0,-16.1
    8. Hurtos,4118.0,4322.0,5.0
    9. Sustracciones de vehiculos,139.0,121.0,-12.9
    10. Trafico de drogas,109.0,105.0,-3.7
    11. Resto de criminalidad convencional,9698.0,9125.0,-5.9
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),5515.0,5941.0,7.7
    12.-Estafas informaticas,4892.0,5247.0,7.3
    13.-Otros ciberdelitos,623.0,694.0,11.4
    III. TOTAL INFRACCIONES PENALES,21395.0,21235.0,-0.7
CASTILLA - LA MANCHA
    I. CRIMINALIDAD CONVENCIONAL,15802.0,15409.0,-2.5
    1. Homicidios dolosos y asesinatos consumados,4.0,8.0,100.0
    2. Homicidios dolosos y asesinatos en grado tentativa,9.0,1.0,-88.9
    3. Delitos graves y menos graves de lesiones y rina tumultuaria,207.0,195.0,-5.8
    4. Secuestro,0.0,1.0,100.0
    5. Delitos contra la libertad sexual,101.0,139.0,37.6
    5.1.-Agresion sexual con penetracion,19.0,29.0,52.6
    5.2.-Resto de delitos contra la libertad sexual,82.0,110.0,34.1
    6. Robos con violencia e intimidacion,189.0,205.0,8.5
    7. Robos con fuerza en domicilios establecimientos y otras instalaciones,1377.0,1276.0,-7.3
    7.1.-Robos con fuerza en domicilios,957.0,917.0,-4.2
    8. Hurtos,3317.0,3489.0,5.2
    9. Sustracciones de vehiculos,155.0,140.0,-9.7
    10. Trafico de drogas,140.0,133.0,-5.0
    11. Resto de criminalidad convencional,10303.0,9822.0,-4.7
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),3612.0,4490.0,24.3
    12.-Estafas informaticas,3088.0,3939.0,27.6
    13.-Otros ciberdelitos,524.0,551.0,5.2
    III. TOTAL INFRACCIONES PENALES,19414.0,19899.0,2.5
CATALUNA
    I. CRIMINALIDAD CONVENCIONAL,92462.0,103406.0,11.8
    1. Homicidios dolosos y asesinatos consumados,10.0,17.0,70.0
    2. Homicidios dolosos y asesinatos en grado tentativa,45.0,56.0,24.4
    3. Delitos graves y menos graves de lesiones y rina tumultuaria,784.0,863.0,10.1
    4. Secuestro,1.0,2.0,100.0
    5. Delitos contra la libertad sexual,750.0,880.0,17.3
    5.1.-Agresion sexual con penetracion,291.0,328.0,12.7
    5.2.-Resto de delitos contra la libertad sexual,459.0,552.0,20.3
    6. Robos con violencia e intimidacion,5675.0,6053.0,6.7
    7. Robos con fuerza en domicilios establecimientos y otras instalaciones,6845.0,7429.0,8.5
    7.1.-Robos con fuerza en domicilios,4759.0,4945.0,3.9
    8. Hurtos,34296.0,41950.0,22.3
    9. Sustracciones de vehiculos,1649.0,2011.0,22.0
    10. Trafico de drogas,1021.0,1073.0,5.1
    11. Resto de criminalidad convencional,41386.0,43072.0,4.1
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),15821.0,17110.0,8.1
    12.-Estafas informaticas,15303.0,16537.0,8.1
    13.-Otros ciberdelitos,518.0,573.0,10.6
    III. TOTAL INFRACCIONES PENALES,108283.0,120516.0,11.3
COMUNITAT VALENCIANA
    I. CRIMINALIDAD CONVENCIONAL,52386.0,56609.0,8.1
    1. Homicidios dolosos y asesinatos consumados,15.0,8.0,-46.7
    2. Homicidios dolosos y asesinatos en grado tentativa,27.0,36.0,33.3
    3. Delitos graves y menos graves de lesiones y rina tumultuaria,658.0,707.0,7.4
    4. Secuestro,1.0,3.0,200.0
    5. Delitos contra la libertad sexual,460.0,492.0,7.0
    5.1.-Agresion sexual con penetracion,117.0,87.0,-25.6
    5.2.-Resto de delitos contra la libertad sexual,343.0,405.0,18.1
    6. Robos con violencia e intimidacion,1365.0,1463.0,7.2
    7. Robos con fuerza en domicilios establecimientos y otras instalaciones,4389.0,4848.0,10.5
    7.1.-Robos con fuerza en domicilios,3529.0,3672.0,4.1
    8. Hurtos,15601.0,18224.0,16.8
    9. Sustracciones de vehiculos,711.0,745.0,4.8
    10. Trafico de drogas,423.0,599.0,41.6
    11. Resto de criminalidad convencional,28736.0,29484.0,2.6
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),8038.0,11175.0,39.0
    12.-Estafas informaticas,6754.0,9415.0,39.4
    13.-Otros ciberdelitos,1284.0,1760.0,37.1
    III. TOTAL INFRACCIONES PENALES,60424.0,67784.0,12.2
EXTREMADURA
    I. CRIMINALIDAD CONVENCIONAL,6016.0,6454.0,7.3
    1. Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0
    2. Homicidios dolosos y asesinatos en grado tentativa,0.0,3.0,100.0
    3. Delitos graves y menos graves de lesiones y rina tumultuaria,66.0,90.0,36.4
    4. Secuestro,0.0,0.0,0.0
    5. Delitos contra la libertad sexual,68.0,56.0,-17.6
    5.1.-Agresion sexual con penetracion,10.0,13.0,30.0
    5.2.-Resto de delitos contra la libertad sexual,58.0,43.0,-25.9
    6. Robos con violencia e intimidacion,92.0,93.0,1.1
    7. Robos con fuerza en domicilios establecimientos y otras instalaciones,464.0,467.0,0.6
    7.1.-Robos con fuerza en domicilios,306.0,326.0,6.5
    8. Hurtos,1645.0,1781.0,8.3
    9. Sustracciones de vehiculos,28.0,41.0,46.4
    10. Trafico de drogas,48.0,95.0,97.9
    11. Resto de criminalidad convencional,3605.0,3828.0,6.2
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),1757.0,2168.0,23.4
    12.-Estafas informaticas,1509.0,1848.0,22.5
    13.-Otros ciberdelitos,248.0,320.0,29.0
    III. TOTAL INFRACCIONES PENALES,7773.0,8622.0,10.9
GALICIA
    I. CRIMINALIDAD CONVENCIONAL,17492.0,17506.0,0.1
    1. Homicidios dolosos y asesinatos consumados,3.0,3.0,0.0
    2. Homicidios dolosos y asesinatos en grado tentativa,17.0,13.0,-23.5
    3. Delitos graves y menos graves de lesiones y rina tumultuaria,283.0,269.0,-4.9
    4. Secuestro,0.0,2.0,100.0
    5. Delitos contra la libertad sexual,148.0,192.0,29.7
    5.1.-Agresion sexual con penetracion,39.0,43.0,10.3
    5.2.-Resto de delitos contra la libertad sexual,109.0,149.0,36.7
    6. Robos con violencia e intimidacion,218.0,258.0,18.3
    7. Robos con fuerza en domicilios establecimientos y otras instalaciones,1051.0,1222.0,16.3
    7.1.-Robos con fuerza en domicilios,675.0,651.0,-3.6
    8. Hurtos,4188.0,4892.0,16.8
    9. Sustracciones de vehiculos,128.0,134.0,4.7
    10. Trafico de drogas,94.0,120.0,27.7
    11. Resto de criminalidad convencional,11362.0,10401.0,-8.5
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),6935.0,4887.0,-29.5
    12.-Estafas informaticas,6318.0,4138.0,-34.5
    13.-Otros ciberdelitos,617.0,749.0,21.4
    III. TOTAL INFRACCIONES PENALES,24427.0,22393.0,-8.3
MADRID (COMUNIDAD DE)
    I. CRIMINALIDAD CONVENCIONAL,84460.0,85338.0,1.0
    1. Homicidios dolosos y asesinatos consumados,12.0,8.0,-33.3
    2. Homicidios dolosos y asesinatos en grado tentativa,24.0,31.0,29.2
    3. Delitos graves y menos graves de lesiones y rina tumultuaria,692.0,742.0,7.2
    4. Secuestro,3.0,9.0,200.0
    5. Delitos contra la libertad sexual,509.0,620.0,21.8
    5.1.-Agresion sexual con penetracion,131.0,143.0,9.2
    5.2.-Resto de delitos contra la libertad sexual,378.0,477.0,26.2
    6. Robos con violencia e intimidacion,3025.0,3113.0,2.9
    7. Robos con fuerza en domicilios establecimientos y otras instalaciones,3443.0,3554.0,3.2
    7.1.-Robos con fuerza en domicilios,2333.0,2271.0,-2.7
    8. Hurtos,34111.0,33852.0,-0.8
    9. Sustracciones de vehiculos,2008.0,1885.0,-6.1
    10. Trafico de drogas,718.0,803.0,11.8
    11. Resto de criminalidad convencional,39915.0,40721.0,2.0
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),17133.0,18118.0,5.7
    12.-Estafas informaticas,15602.0,16432.0,5.3
    13.-Otros ciberdelitos,1531.0,1686.0,10.1
    III. TOTAL INFRACCIONES PENALES,101593.0,103456.0,1.8
MURCIA (REGION DE)
    I. CRIMINALIDAD CONVENCIONAL,13370.0,15122.0,13.1
    1. Homicidios dolosos y asesinatos consumados,3.0,1.0,-66.7
    2. Homicidios dolosos y asesinatos en grado tentativa,12.0,15.0,25.0
    3. Delitos graves y menos graves de lesiones y rina tumultuaria,244.0,227.0,-7.0
    4. Secuestro,1.0,0.0,-100.0
    5. Delitos contra la libertad sexual,116.0,143.0,23.3
    5.1.-Agresion sexual con penetracion,23.0,17.0,-26.1
    5.2.-Resto de delitos contra la libertad sexual,93.0,126.0,35.5
    6. Robos con violencia e intimidacion,441.0,517.0,17.2
    7. Robos con fuerza en domicilios establecimientos y otras instalaciones,1331.0,1583.0,18.9
    7.1.-Robos con fuerza en domicilios,983.0,1118.0,13.7
    8. Hurtos,3308.0,4231.0,27.9
    9. Sustracciones de vehiculos,166.0,230.0,38.6
    10. Trafico de drogas,128.0,140.0,9.4
    11. Resto de criminalidad convencional,7620.0,8035.0,5.4
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),2447.0,2988.0,22.1
    12.-Estafas informaticas,2093.0,2575.0,23.0
    13.-Otros ciberdelitos,354.0,413.0,16.7
    III. TOTAL INFRACCIONES PENALES,15817.0,18110.0,14.5
NAVARRA (COMUNIDAD FORAL DE)
    I. CRIMINALIDAD CONVENCIONAL,6132.0,6333.0,3.3
    1. Homicidios dolosos y asesinatos consumados,1.0,0.0,-100.0
    2. Homicidios dolosos y asesinatos en grado tentativa,3.0,5.0,66.7
    3. Delitos graves y menos graves de lesiones y rina tumultuaria,59.0,80.0,35.6
    4. Secuestro,0.0,0.0,0.0
    5. Delitos contra la libertad sexual,60.0,88.0,46.7
    5.1.-Agresion sexual con penetracion,21.0,19.0,-9.5
    5.2.-Resto de delitos contra la libertad sexual,39.0,69.0,76.9
    6. Robos con violencia e intimidacion,92.0,97.0,5.4
    7. Robos con fuerza en domicilios establecimientos y otras instalaciones,390.0,411.0,5.4
    7.1.-Robos con fuerza en domicilios,255.0,267.0,4.7
    8. Hurtos,1376.0,1664.0,20.9
    9. Sustracciones de vehiculos,34.0,40.0,17.6
    10. Trafico de drogas,33.0,36.0,9.1
    11. Resto de criminalidad convencional,4084.0,3912.0,-4.2
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),1315.0,1673.0,27.2
    12.-Estafas informaticas,1149.0,1505.0,31.0
    13.-Otros ciberdelitos,166.0,168.0,1.2
    III. TOTAL INFRACCIONES PENALES,7447.0,8006.0,7.5
PAIS VASCO
    I. CRIMINALIDAD CONVENCIONAL,19625.0,20141.0,2.6
    1. Homicidios dolosos y asesinatos consumados,1.0,0.0,-100.0
    2. Homicidios dolosos y asesinatos en grado tentativa,8.0,8.0,0.0
    3. Delitos graves y menos graves de lesiones y rina tumultuaria,310.0,333.0,7.4
    4. Secuestro,2.0,1.0,-50.0
    5. Delitos contra la libertad sexual,173.0,160.0,-7.5
    5.1.-Agresion sexual con penetracion,52.0,54.0,3.8
    5.2.-Resto de delitos contra la libertad sexual,121.0,106.0,-12.4
    6. Robos con violencia e intimidacion,515.0,435.0,-15.5
    7. Robos con fuerza en domicilios establecimientos y otras instalaciones,1869.0,1754.0,-6.2
    7.1.-Robos con fuerza en domicilios,1164.0,1042.0,-10.5
    8. Hurtos,7317.0,7950.0,8.7
    9. Sustracciones de vehiculos,188.0,155.0,-17.6
    10. Trafico de drogas,138.0,169.0,22.5
    11. Resto de criminalidad convencional,9104.0,9176.0,0.8
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),5182.0,6255.0,20.7
    12.-Estafas informaticas,4697.0,5519.0,17.5
    13.-Otros ciberdelitos,485.0,736.0,51.8
    III. TOTAL INFRACCIONES PENALES,24807.0,26396.0,6.4
RIOJA (LA)
    I. CRIMINALIDAD CONVENCIONAL,2087.0,2351.0,12.6
    1. Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0
    2. Homicidios dolosos y asesinatos en grado tentativa,0.0,1.0,100.0
    3. Delitos graves y menos graves de lesiones y rina tumultuaria,40.0,36.0,-10.0
    4. Secuestro,0.0,1.0,100.0
    5. Delitos contra la libertad sexual,23.0,28.0,21.7
    5.1.-Agresion sexual con penetracion,4.0,5.0,25.0
    5.2.-Resto de delitos contra la libertad sexual,19.0,23.0,21.1
    6. Robos con violencia e intimidacion,18.0,28.0,55.6
    7. Robos con fuerza en domicilios establecimientos y otras instalaciones,195.0,189.0,-3.1
    7.1.-Robos con fuerza en domicilios,136.0,157.0,15.4
    8. Hurtos,552.0,742.0,34.4
    9. Sustracciones de vehiculos,15.0,13.0,-13.3
    10. Trafico de drogas,23.0,22.0,-4.3
    11. Resto de criminalidad convencional,1221.0,1291.0,5.7
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),582.0,686.0,17.9
    12.-Estafas informaticas,525.0,604.0,15.0
    13.-Otros ciberdelitos,57.0,82.0,43.9
    III. TOTAL INFRACCIONES PENALES,2669.0,3037.0,13.8
CIUDAD AUTONOMA DE CEUTA
    I. CRIMINALIDAD CONVENCIONAL,718.0,676.0,-5.8
    1. Homicidios dolosos y asesinatos consumados,1.0,5.0,400.0
    2. Homicidios dolosos y asesinatos en grado tentativa,1.0,2.0,100.0
    3. Delitos graves y menos graves de lesiones y rina tumultuaria,15.0,16.0,6.7
    4. Secuestro,0.0,0.0,0.0
    5. Delitos contra la libertad sexual,10.0,10.0,0.0
    5.1.-Agresion sexual con penetracion,0.0,0.0,0.0
    5.2.-Resto de delitos contra la libertad sexual,10.0,10.0,0.0
    6. Robos con violencia e intimidacion,33.0,13.0,-60.6
    7. Robos con fuerza en domicilios establecimientos y otras instalaciones,17.0,10.0,-41.2
    7.1.-Robos con fuerza en domicilios,12.0,5.0,-58.3
    8. Hurtos,92.0,125.0,35.9
    9. Sustracciones de vehiculos,24.0,22.0,-8.3
    10. Trafico de drogas,39.0,29.0,-25.6
    11. Resto de criminalidad convencional,486.0,444.0,-8.6
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),167.0,127.0,-24.0
    12.-Estafas informaticas,137.0,113.0,-17.5
    13.-Otros ciberdelitos,30.0,14.0,-53.3
    III. TOTAL INFRACCIONES PENALES,885.0,803.0,-9.3
CIUDAD AUTONOMA DE MELILLA
    I. CRIMINALIDAD CONVENCIONAL,870.0,885.0,1.7
    1. Homicidios dolosos y asesinatos consumados,1.0,0.0,-100.0
    2. Homicidios dolosos y asesinatos en grado tentativa,1.0,0.0,-100.0
    3. Delitos graves y menos graves de lesiones y rina tumultuaria,21.0,20.0,-4.8
    4. Secuestro,0.0,0.0,0.0
    5. Delitos contra la libertad sexual,5.0,9.0,80.0
    5.1.-Agresion sexual con penetracion,0.0,2.0,100.0
    5.2.-Resto de delitos contra la libertad sexual,5.0,7.0,40.0
    6. Robos con violencia e intimidacion,26.0,32.0,23.1
    7. Robos con fuerza en domicilios establecimientos y otras instalaciones,14.0,35.0,150.0
    7.1.-Robos con fuerza en domicilios,9.0,18.0,100.0
    8. Hurtos,139.0,190.0,36.7
    9. Sustracciones de vehiculos,12.0,11.0,-8.3
    10. Trafico de drogas,23.0,11.0,-52.2
    11. Resto de criminalidad convencional,628.0,577.0,-8.1
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),109.0,100.0,-8.3
    12.-Estafas informaticas,87.0,90.0,3.4
    13.-Otros ciberdelitos,22.0,10.0,-54.5
    III. TOTAL INFRACCIONES PENALES,979.0,985.0,0.6
EN EL EXTRANJERO
    I. CRIMINALIDAD CONVENCIONAL,904.0,1172.0,29.6
    1. Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0
    2. Homicidios dolosos y asesinatos en grado tentativa,0.0,0.0,0.0
    3. Delitos graves y menos graves de lesiones y rina tumultuaria,0.0,0.0,0.0
    4. Secuestro,0.0,1.0,100.0
    5. Delitos contra la libertad sexual,13.0,10.0,-23.1
    5.1.-Agresion sexual con penetracion,7.0,4.0,-42.9
    5.2.-Resto de delitos contra la libertad sexual,6.0,6.0,0.0
    6. Robos con violencia e intimidacion,31.0,37.0,19.4
    7. Robos con fuerza en domicilios establecimientos y otras instalaciones,6.0,5.0,-16.7
    7.1.-Robos con fuerza en domicilios,2.0,2.0,0.0
    8. Hurtos,331.0,547.0,65.3
    9. Sustracciones de vehiculos,12.0,27.0,125.0
    10. Trafico de drogas,1.0,9.0,800.0
    11. Resto de criminalidad convencional,510.0,536.0,5.1
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),1330.0,1530.0,15.0
    12.-Estafas informaticas,1288.0,1451.0,12.7
    13.-Otros ciberdelitos,42.0,79.0,88.1
    III. TOTAL INFRACCIONES PENALES,2234.0,2702.0,20.9
