,Enero-junio 2015,Enero-junio 2016,Variacion % 2016/2015,
    2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU),3.0,5.0,66.7,
    3.-ROBO CON VIOLENCIA E INTIMIDACION (EU),402.0,453.0,12.7,
    4.-ROBOS CON FUERZA EN DOMICILIOS (EU),1417.0,1419.0,0.1,
    5.-SUSTRACCION VEHICULOS A MOTOR (EU),625.0,747.0,19.5,
    6.-TRAFICO DE DROGAS (EU),187.0,209.0,11.8,
    7.-DANOS,2378.0,2326.0,-2.2,
    8.-HURTOS,10698.0,11342.0,6.0,
CANARIAS,
    1.-DELITOS Y FALTAS (EU),45425.0,44067.0,-3.0,
    2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU),10.0,10.0,0.0,
    3.-ROBO CON VIOLENCIA E INTIMIDACION (EU),767.0,761.0,-0.8,
    4.-ROBOS CON FUERZA EN DOMICILIOS (EU),1610.0,1716.0,6.6,
    5.-SUSTRACCION VEHICULOS A MOTOR (EU),829.0,816.0,-1.6,
    6.-TRAFICO DE DROGAS (EU),297.0,301.0,1.3,
    7.-DANOS,3643.0,3526.0,-3.2,
    8.-HURTOS,15584.0,15742.0,1.0,
CANTABRIA,
    1.-DELITOS Y FALTAS (EU),8054.0,8055.0,0.0,
    2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU),3.0,0.0,-100.0,
    3.-ROBO CON VIOLENCIA E INTIMIDACION (EU),123.0,101.0,-17.9,
    4.-ROBOS CON FUERZA EN DOMICILIOS (EU),335.0,468.0,39.7,
    5.-SUSTRACCION VEHICULOS A MOTOR (EU),117.0,99.0,-15.4,
    6.-TRAFICO DE DROGAS (EU),57.0,44.0,-22.8,
    7.-DANOS,807.0,937.0,16.1,
    8.-HURTOS,2399.0,2329.0,-2.9,
CASTILLA Y LEON,
    1.-DELITOS Y FALTAS (EU),37396.0,36069.0,-3.5,
    2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU),5.0,3.0,-40.0,
    3.-ROBO CON VIOLENCIA E INTIMIDACION (EU),417.0,438.0,5.0,
    4.-ROBOS CON FUERZA EN DOMICILIOS (EU),1757.0,1907.0,8.5,
    5.-SUSTRACCION VEHICULOS A MOTOR (EU),360.0,458.0,27.2,
    6.-TRAFICO DE DROGAS (EU),142.0,155.0,9.2,
    7.-DANOS,5407.0,5219.0,-3.5,
    8.-HURTOS,12080.0,11309.0,-6.4,
CASTILLA - LA MANCHA,
    1.-DELITOS Y FALTAS (EU),34336.0,31877.0,-7.2,
    2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU),4.0,6.0,50.0,
    3.-ROBO CON VIOLENCIA E INTIMIDACION (EU),490.0,523.0,6.7,
    4.-ROBOS CON FUERZA EN DOMICILIOS (EU),3160.0,3271.0,3.5,
    5.-SUSTRACCION VEHICULOS A MOTOR (EU),640.0,741.0,15.8,
    6.-TRAFICO DE DROGAS (EU),172.0,155.0,-9.9,
    7.-DANOS,4212.0,3625.0,-13.9,
    8.-HURTOS,8388.0,7824.0,-6.7,
CATALUNA,
    1.-DELITOS Y FALTAS (EU),206692.0,196198.0,-5.1,
    2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU),14.0,28.0,100.0,
    3.-ROBO CON VIOLENCIA E INTIMIDACION (EU),10824.0,9568.0,-11.6,
    4.-ROBOS CON FUERZA EN DOMICILIOS (EU),11556.0,11801.0,2.1,
    5.-SUSTRACCION VEHICULOS A MOTOR (EU),4108.0,3878.0,-5.6,
    6.-TRAFICO DE DROGAS (EU),948.0,1063.0,12.1,
    7.-DANOS,19497.0,19341.0,-0.8,
    8.-HURTOS,80689.0,77025.0,-4.5,
COMUNITAT VALENCIANA,
    1.-DELITOS Y FALTAS (EU),116964.0,113895.0,-2.6,
    2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU),22.0,18.0,-18.2,
    3.-ROBO CON VIOLENCIA E INTIMIDACION (EU),3002.0,2982.0,-0.7,
    4.-ROBOS CON FUERZA EN DOMICILIOS (EU),9927.0,10055.0,1.3,
    5.-SUSTRACCION VEHICULOS A MOTOR (EU),2120.0,2164.0,2.1,
    6.-TRAFICO DE DROGAS (EU),711.0,789.0,11.0,
    7.-DANOS,14093.0,13656.0,-3.1,
    8.-HURTOS,37995.0,37438.0,-1.5,
EXTREMADURA,
    1.-DELITOS Y FALTAS (EU),13754.0,13109.0,-4.7,
    2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU),1.0,4.0,300.0,
    3.-ROBO CON VIOLENCIA E INTIMIDACION (EU),147.0,150.0,2.0,
    4.-ROBOS CON FUERZA EN DOMICILIOS (EU),662.0,672.0,1.5,
    5.-SUSTRACCION VEHICULOS A MOTOR (EU),189.0,194.0,2.6,
    6.-TRAFICO DE DROGAS (EU),86.0,91.0,5.8,
    7.-DANOS,1614.0,1656.0,2.6,
    8.-HURTOS,4104.0,3786.0,-7.7,
GALICIA,
    1.-DELITOS Y FALTAS (EU),38498.0,36202.0,-6.0,
    2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU),5.0,7.0,40.0,
    3.-ROBO CON VIOLENCIA E INTIMIDACION (EU),556.0,548.0,-1.4,
    4.-ROBOS CON FUERZA EN DOMICILIOS (EU),1967.0,2006.0,2.0,
    5.-SUSTRACCION VEHICULOS A MOTOR (EU),478.0,505.0,5.6,
    6.-TRAFICO DE DROGAS (EU),168.0,169.0,0.6,
    7.-DANOS,4970.0,4651.0,-6.4,
    8.-HURTOS,10818.0,10155.0,-6.1,
MADRID (COMUNIDAD DE),
    1.-DELITOS Y FALTAS (EU),186128.0,191571.0,2.9,
    2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU),7.0,22.0,214.3,
    3.-ROBO CON VIOLENCIA E INTIMIDACION (EU),8509.0,8497.0,-0.1,
    4.-ROBOS CON FUERZA EN DOMICILIOS (EU),7500.0,7845.0,4.6,
    5.-SUSTRACCION VEHICULOS A MOTOR (EU),5430.0,5150.0,-5.2,
    6.-TRAFICO DE DROGAS (EU),764.0,764.0,0.0,
    7.-DANOS,22572.0,22936.0,1.6,
    8.-HURTOS,74526.0,77894.0,4.5,
MURCIA (REGION DE),
    1.-DELITOS Y FALTAS (EU),26815.0,25662.0,-4.3,
    2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU),3.0,6.0,100.0,
    3.-ROBO CON VIOLENCIA E INTIMIDACION (EU),720.0,741.0,2.9,
    4.-ROBOS CON FUERZA EN DOMICILIOS (EU),2543.0,2566.0,0.9,
    5.-SUSTRACCION VEHICULOS A MOTOR (EU),658.0,645.0,-2.0,
    6.-TRAFICO DE DROGAS (EU),124.0,156.0,25.8,
    7.-DANOS,2471.0,2351.0,-4.9,
    8.-HURTOS,8152.0,7957.0,-2.4,
NAVARRA (COMUNIDAD FORAL DE),
    1.-DELITOS Y FALTAS (EU),11612.0,11897.0,2.5,
    2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU),2.0,0.0,-100.0,
    3.-ROBO CON VIOLENCIA E INTIMIDACION (EU),137.0,188.0,37.2,
    4.-ROBOS CON FUERZA EN DOMICILIOS (EU),494.0,509.0,3.0,
    5.-SUSTRACCION VEHICULOS A MOTOR (EU),99.0,96.0,-3.0,
    6.-TRAFICO DE DROGAS (EU),71.0,102.0,43.7,
    7.-DANOS,1586.0,1566.0,-1.3,
    8.-HURTOS,3503.0,3456.0,-1.3,
PAIS VASCO,
    1.-DELITOS Y FALTAS (EU),41626.0,40641.0,-2.4,
    2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU),3.0,4.0,33.3,
    3.-ROBO CON VIOLENCIA E INTIMIDACION (EU),853.0,885.0,3.8,
    4.-ROBOS CON FUERZA EN DOMICILIOS (EU),2348.0,2138.0,-8.9,
    5.-SUSTRACCION VEHICULOS A MOTOR (EU),420.0,526.0,25.2,
    6.-TRAFICO DE DROGAS (EU),175.0,169.0,-3.4,
    7.-DANOS,3917.0,3653.0,-6.7,
    8.-HURTOS,12754.0,13668.0,7.2,
RIOJA (LA),
    1.-DELITOS Y FALTAS (EU),4222.0,3885.0,-8.0,
    2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU),0.0,0.0,0.0,
    3.-ROBO CON VIOLENCIA E INTIMIDACION (EU),61.0,58.0,-4.9,
    4.-ROBOS CON FUERZA EN DOMICILIOS (EU),347.0,230.0,-33.7,
    5.-SUSTRACCION VEHICULOS A MOTOR (EU),68.0,52.0,-23.5,
    6.-TRAFICO DE DROGAS (EU),36.0,34.0,-5.6,
    7.-DANOS,533.0,446.0,-16.3,
    8.-HURTOS,1375.0,1373.0,-0.1,
CIUDAD AUTONOMA DE CEUTA,
    1.-DELITOS Y FALTAS (EU),2411.0,2321.0,-3.7,
    2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU),0.0,1.0,100.0,
    3.-ROBO CON VIOLENCIA E INTIMIDACION (EU),79.0,82.0,3.8,
    4.-ROBOS CON FUERZA EN DOMICILIOS (EU),44.0,39.0,-11.4,
    5.-SUSTRACCION VEHICULOS A MOTOR (EU),162.0,231.0,42.6,
    6.-TRAFICO DE DROGAS (EU),236.0,145.0,-38.6,
    7.-DANOS,159.0,138.0,-13.2,
    8.-HURTOS,481.0,451.0,-6.2,
CIUDAD AUTONOMA DE MELILLA,
    1.-DELITOS Y FALTAS (EU),2395.0,2371.0,-1.0,
    2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU),1.0,0.0,-100.0,
    3.-ROBO CON VIOLENCIA E INTIMIDACION (EU),143.0,179.0,25.2,
    4.-ROBOS CON FUERZA EN DOMICILIOS (EU),43.0,72.0,67.4,
    5.-SUSTRACCION VEHICULOS A MOTOR (EU),63.0,48.0,-23.8,
    6.-TRAFICO DE DROGAS (EU),70.0,55.0,-21.4,
    7.-DANOS,175.0,194.0,10.9,
    8.-HURTOS,637.0,647.0,1.6,
EXTRANJERA,
    1.-DELITOS Y FALTAS (EU),9557.0,9273.0,-3.0,
    2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU),2.0,0.0,-100.0,
    3.-ROBO CON VIOLENCIA E INTIMIDACION (EU),88.0,103.0,17.0,
    4.-ROBOS CON FUERZA EN DOMICILIOS (EU),7.0,14.0,100.0,
    5.-SUSTRACCION VEHICULOS A MOTOR (EU),51.0,44.0,-13.7,
    6.-TRAFICO DE DROGAS (EU),9.0,4.0,-55.6,
    7.-DANOS,14.0,14.0,0.0,
    8.-HURTOS,1125.0,1236.0,9.9,
