,Enero-Diciembre 2015,Enero-Diciembre 2016,Variacion % 2016/2015
    3.-ROBO CON VIOLENCIA E INTIMIDACION (EU),1530.0,1539.0,0.6
    4.-ROBOS CON FUERZA EN DOMICILIOS (EU),3398.0,3573.0,5.2
    5.-SUSTRACCION VEHICULOS A MOTOR (EU),1677.0,1609.0,-4.1
    6.-TRAFICO DE DROGAS (EU),569.0,599.0,5.3
    7.-DANOS,7168.0,7247.0,1.1
    8.-HURTOS,30242.0,30994.0,2.5
CANTABRIA
    1.-DELITOS Y FALTAS (EU),16754.0,17042.0,1.7
    2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU),3.0,0.0,-100.0
    3.-ROBO CON VIOLENCIA E INTIMIDACION (EU),261.0,215.0,-17.6
    4.-ROBOS CON FUERZA EN DOMICILIOS (EU),733.0,984.0,34.2
    5.-SUSTRACCION VEHICULOS A MOTOR (EU),250.0,247.0,-1.2
    6.-TRAFICO DE DROGAS (EU),115.0,92.0,-20.0
    7.-DANOS,1735.0,1957.0,12.8
    8.-HURTOS,5097.0,5118.0,0.4
CASTILLA Y LEON
    1.-DELITOS Y FALTAS (EU),74503.0,72247.0,-3.0
    2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU),9.0,11.0,22.2
    3.-ROBO CON VIOLENCIA E INTIMIDACION (EU),914.0,860.0,-5.9
    4.-ROBOS CON FUERZA EN DOMICILIOS (EU),3547.0,3510.0,-1.0
    5.-SUSTRACCION VEHICULOS A MOTOR (EU),789.0,916.0,16.1
    6.-TRAFICO DE DROGAS (EU),313.0,352.0,12.5
    7.-DANOS,10672.0,10668.0,0.0
    8.-HURTOS,24474.0,22501.0,-8.1
CASTILLA - LA MANCHA
    1.-DELITOS Y FALTAS (EU),66978.0,63631.0,-5.0
    2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU),13.0,11.0,-15.4
    3.-ROBO CON VIOLENCIA E INTIMIDACION (EU),1010.0,1019.0,0.9
    4.-ROBOS CON FUERZA EN DOMICILIOS (EU),6248.0,5925.0,-5.2
    5.-SUSTRACCION VEHICULOS A MOTOR (EU),1283.0,1515.0,18.1
    6.-TRAFICO DE DROGAS (EU),352.0,359.0,2.0
    7.-DANOS,7897.0,7340.0,-7.1
    8.-HURTOS,17080.0,15762.0,-7.7
CATALUNA
    1.-DELITOS Y FALTAS (EU),415464.0,403885.0,-2.8
    2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU),42.0,52.0,23.8
    3.-ROBO CON VIOLENCIA E INTIMIDACION (EU),21514.0,20152.0,-6.3
    4.-ROBOS CON FUERZA EN DOMICILIOS (EU),24592.0,23661.0,-3.8
    5.-SUSTRACCION VEHICULOS A MOTOR (EU),8651.0,7976.0,-7.8
    6.-TRAFICO DE DROGAS (EU),1953.0,2182.0,11.7
    7.-DANOS,38961.0,38365.0,-1.5
    8.-HURTOS,165519.0,162946.0,-1.6
COMUNITAT VALENCIANA
    1.-DELITOS Y FALTAS (EU),234725.0,230363.0,-1.9
    2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU),48.0,29.0,-39.6
    3.-ROBO CON VIOLENCIA E INTIMIDACION (EU),6152.0,5973.0,-2.9
    4.-ROBOS CON FUERZA EN DOMICILIOS (EU),19712.0,19065.0,-3.3
    5.-SUSTRACCION VEHICULOS A MOTOR (EU),4358.0,4422.0,1.5
    6.-TRAFICO DE DROGAS (EU),1506.0,1654.0,9.8
    7.-DANOS,27949.0,27240.0,-2.5
    8.-HURTOS,78850.0,77214.0,-2.1
EXTREMADURA
    1.-DELITOS Y FALTAS (EU),27251.0,26327.0,-3.4
    2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU),1.0,7.0,600.0
    3.-ROBO CON VIOLENCIA E INTIMIDACION (EU),308.0,303.0,-1.6
    4.-ROBOS CON FUERZA EN DOMICILIOS (EU),1334.0,1324.0,-0.7
    5.-SUSTRACCION VEHICULOS A MOTOR (EU),382.0,415.0,8.6
    6.-TRAFICO DE DROGAS (EU),201.0,198.0,-1.5
    7.-DANOS,3196.0,3174.0,-0.7
    8.-HURTOS,8083.0,7460.0,-7.7
GALICIA
    1.-DELITOS Y FALTAS (EU),76620.0,74536.0,-2.7
    2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU),19.0,13.0,-31.6
    3.-ROBO CON VIOLENCIA E INTIMIDACION (EU),1070.0,1090.0,1.9
    4.-ROBOS CON FUERZA EN DOMICILIOS (EU),4235.0,3680.0,-13.1
    5.-SUSTRACCION VEHICULOS A MOTOR (EU),980.0,1038.0,5.9
    6.-TRAFICO DE DROGAS (EU),348.0,345.0,-0.9
    7.-DANOS,9924.0,9765.0,-1.6
    8.-HURTOS,22032.0,21370.0,-3.0
MADRID (COMUNIDAD DE)
    1.-DELITOS Y FALTAS (EU),365006.0,374184.0,2.5
    2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU),30.0,33.0,10.0
    3.-ROBO CON VIOLENCIA E INTIMIDACION (EU),17454.0,17223.0,-1.3
    4.-ROBOS CON FUERZA EN DOMICILIOS (EU),15915.0,15675.0,-1.5
    5.-SUSTRACCION VEHICULOS A MOTOR (EU),10113.0,10559.0,4.4
    6.-TRAFICO DE DROGAS (EU),1441.0,1463.0,1.5
    7.-DANOS,43823.0,44027.0,0.5
    8.-HURTOS,144569.0,150543.0,4.1
MURCIA (REGION DE)
    1.-DELITOS Y FALTAS (EU),53374.0,51318.0,-3.9
    2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU),12.0,12.0,0.0
    3.-ROBO CON VIOLENCIA E INTIMIDACION (EU),1480.0,1500.0,1.4
    4.-ROBOS CON FUERZA EN DOMICILIOS (EU),5068.0,5328.0,5.1
    5.-SUSTRACCION VEHICULOS A MOTOR (EU),1332.0,1356.0,1.8
    6.-TRAFICO DE DROGAS (EU),248.0,264.0,6.5
    7.-DANOS,4661.0,4718.0,1.2
    8.-HURTOS,16697.0,15740.0,-5.7
NAVARRA (COMUNIDAD FORAL DE)
    1.-DELITOS Y FALTAS (EU),23932.0,25723.0,7.5
    2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU),3.0,1.0,-66.7
    3.-ROBO CON VIOLENCIA E INTIMIDACION (EU),351.0,423.0,20.5
    4.-ROBOS CON FUERZA EN DOMICILIOS (EU),967.0,1029.0,6.4
    5.-SUSTRACCION VEHICULOS A MOTOR (EU),186.0,215.0,15.6
    6.-TRAFICO DE DROGAS (EU),146.0,200.0,37.0
    7.-DANOS,3158.0,3238.0,2.5
    8.-HURTOS,7845.0,8263.0,5.3
PAIS VASCO
    1.-DELITOS Y FALTAS (EU),85501.0,82809.0,-3.1
    2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU),11.0,6.0,-45.5
    3.-ROBO CON VIOLENCIA E INTIMIDACION (EU),1908.0,1993.0,4.5
    4.-ROBOS CON FUERZA EN DOMICILIOS (EU),4739.0,4116.0,-13.1
    5.-SUSTRACCION VEHICULOS A MOTOR (EU),879.0,985.0,12.1
    6.-TRAFICO DE DROGAS (EU),356.0,321.0,-9.8
    7.-DANOS,7588.0,7481.0,-1.4
    8.-HURTOS,28194.0,28945.0,2.7
RIOJA (LA)
    1.-DELITOS Y FALTAS (EU),8527.0,7999.0,-6.2
    2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU),1.0,0.0,-100.0
    3.-ROBO CON VIOLENCIA E INTIMIDACION (EU),136.0,120.0,-11.8
    4.-ROBOS CON FUERZA EN DOMICILIOS (EU),647.0,494.0,-23.6
    5.-SUSTRACCION VEHICULOS A MOTOR (EU),132.0,99.0,-25.0
    6.-TRAFICO DE DROGAS (EU),61.0,63.0,3.3
    7.-DANOS,1042.0,1004.0,-3.6
    8.-HURTOS,2877.0,2789.0,-3.1
CIUDAD AUTONOMA DE CEUTA
    1.-DELITOS Y FALTAS (EU),4961.0,4646.0,-6.3
    2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU),1.0,4.0,300.0
    3.-ROBO CON VIOLENCIA E INTIMIDACION (EU),174.0,196.0,12.6
    4.-ROBOS CON FUERZA EN DOMICILIOS (EU),88.0,66.0,-25.0
    5.-SUSTRACCION VEHICULOS A MOTOR (EU),350.0,393.0,12.3
    6.-TRAFICO DE DROGAS (EU),388.0,257.0,-33.8
    7.-DANOS,327.0,298.0,-8.9
    8.-HURTOS,1067.0,955.0,-10.5
CIUDAD AUTONOMA DE MELILLA
    1.-DELITOS Y FALTAS (EU),4896.0,4832.0,-1.3
    2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU),1.0,1.0,0.0
    3.-ROBO CON VIOLENCIA E INTIMIDACION (EU),320.0,378.0,18.1
    4.-ROBOS CON FUERZA EN DOMICILIOS (EU),97.0,158.0,62.9
    5.-SUSTRACCION VEHICULOS A MOTOR (EU),120.0,105.0,-12.5
    6.-TRAFICO DE DROGAS (EU),112.0,82.0,-26.8
    7.-DANOS,348.0,375.0,7.8
    8.-HURTOS,1328.0,1313.0,-1.1
EXTRANJERA
    1.-DELITOS Y FALTAS (EU),19614.0,18438.0,-6.0
    2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU),2.0,0.0,-100.0
    3.-ROBO CON VIOLENCIA E INTIMIDACION (EU),224.0,234.0,4.5
    4.-ROBOS CON FUERZA EN DOMICILIOS (EU),22.0,27.0,22.7
    5.-SUSTRACCION VEHICULOS A MOTOR (EU),88.0,92.0,4.5
    6.-TRAFICO DE DROGAS (EU),16.0,13.0,-18.8
    7.-DANOS,30.0,32.0,6.7
    8.-HURTOS,2655.0,2880.0,8.5
