,Enero-Septiembre 2015,Enero-Septiembre 2016,Variacion % 2016/2015
    6.-TRAFICO DE DROGAS (EU),366.0,416.0,13.7
    7.-DANOS,3790.0,3873.0,2.2
    8.-HURTOS,22906.0,22920.0,0.1
CANARIAS
    1.-DELITOS Y FALTAS (EU),67416.0,66330.0,-1.6
    2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU),12.0,14.0,16.7
    3.-ROBO CON VIOLENCIA E INTIMIDACION (EU),1123.0,1182.0,5.3
    4.-ROBOS CON FUERZA EN DOMICILIOS (EU),2497.0,2576.0,3.2
    5.-SUSTRACCION VEHICULOS A MOTOR (EU),1268.0,1209.0,-4.7
    6.-TRAFICO DE DROGAS (EU),464.0,469.0,1.1
    7.-DANOS,5367.0,5399.0,0.6
    8.-HURTOS,22636.0,23286.0,2.9
CANTABRIA
    1.-DELITOS Y FALTAS (EU),12559.0,12739.0,1.4
    2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU),3.0,0.0,-100.0
    3.-ROBO CON VIOLENCIA E INTIMIDACION (EU),208.0,161.0,-22.6
    4.-ROBOS CON FUERZA EN DOMICILIOS (EU),487.0,716.0,47.0
    5.-SUSTRACCION VEHICULOS A MOTOR (EU),182.0,175.0,-3.8
    6.-TRAFICO DE DROGAS (EU),94.0,71.0,-24.5
    7.-DANOS,1272.0,1476.0,16.0
    8.-HURTOS,3874.0,3865.0,-0.2
CASTILLA Y LEON
    1.-DELITOS Y FALTAS (EU),56151.0,54316.0,-3.3
    2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU),6.0,6.0,0.0
    3.-ROBO CON VIOLENCIA E INTIMIDACION (EU),689.0,679.0,-1.5
    4.-ROBOS CON FUERZA EN DOMICILIOS (EU),2506.0,2612.0,4.2
    5.-SUSTRACCION VEHICULOS A MOTOR (EU),555.0,672.0,21.1
    6.-TRAFICO DE DROGAS (EU),240.0,259.0,7.9
    7.-DANOS,8071.0,8103.0,0.4
    8.-HURTOS,18340.0,16932.0,-7.7
CASTILLA - LA MANCHA
    1.-DELITOS Y FALTAS (EU),50835.0,48238.0,-5.1
    2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU),11.0,10.0,-9.1
    3.-ROBO CON VIOLENCIA E INTIMIDACION (EU),780.0,791.0,1.4
    4.-ROBOS CON FUERZA EN DOMICILIOS (EU),4517.0,4400.0,-2.6
    5.-SUSTRACCION VEHICULOS A MOTOR (EU),921.0,1109.0,20.4
    6.-TRAFICO DE DROGAS (EU),272.0,271.0,-0.4
    7.-DANOS,6043.0,5404.0,-10.6
    8.-HURTOS,12917.0,12078.0,-6.5
CATALUNA
    1.-DELITOS Y FALTAS (EU),315478.0,306558.0,-2.8
    2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU),28.0,41.0,46.4
    3.-ROBO CON VIOLENCIA E INTIMIDACION (EU),16340.0,14942.0,-8.6
    4.-ROBOS CON FUERZA EN DOMICILIOS (EU),18030.0,17696.0,-1.9
    5.-SUSTRACCION VEHICULOS A MOTOR (EU),6409.0,5915.0,-7.7
    6.-TRAFICO DE DROGAS (EU),1457.0,1666.0,14.3
    7.-DANOS,29517.0,29404.0,-0.4
    8.-HURTOS,126154.0,124432.0,-1.4
COMUNITAT VALENCIANA
    1.-DELITOS Y FALTAS (EU),179591.0,176393.0,-1.8
    2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU),34.0,23.0,-32.4
    3.-ROBO CON VIOLENCIA E INTIMIDACION (EU),4695.0,4598.0,-2.1
    4.-ROBOS CON FUERZA EN DOMICILIOS (EU),14697.0,14684.0,-0.1
    5.-SUSTRACCION VEHICULOS A MOTOR (EU),3305.0,3320.0,0.5
    6.-TRAFICO DE DROGAS (EU),1177.0,1292.0,9.8
    7.-DANOS,21290.0,20862.0,-2.0
    8.-HURTOS,60521.0,59599.0,-1.5
EXTREMADURA
    1.-DELITOS Y FALTAS (EU),20400.0,19748.0,-3.2
    2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU),1.0,4.0,300.0
    3.-ROBO CON VIOLENCIA E INTIMIDACION (EU),220.0,221.0,0.5
    4.-ROBOS CON FUERZA EN DOMICILIOS (EU),999.0,962.0,-3.7
    5.-SUSTRACCION VEHICULOS A MOTOR (EU),280.0,309.0,10.4
    6.-TRAFICO DE DROGAS (EU),153.0,162.0,5.9
    7.-DANOS,2443.0,2398.0,-1.8
    8.-HURTOS,5973.0,5548.0,-7.1
GALICIA
    1.-DELITOS Y FALTAS (EU),58121.0,56411.0,-2.9
    2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU),11.0,11.0,0.0
    3.-ROBO CON VIOLENCIA E INTIMIDACION (EU),811.0,839.0,3.5
    4.-ROBOS CON FUERZA EN DOMICILIOS (EU),2880.0,2776.0,-3.6
    5.-SUSTRACCION VEHICULOS A MOTOR (EU),721.0,802.0,11.2
    6.-TRAFICO DE DROGAS (EU),262.0,253.0,-3.4
    7.-DANOS,7524.0,7326.0,-2.6
    8.-HURTOS,16996.0,16418.0,-3.4
MADRID (COMUNIDAD DE)
    1.-DELITOS Y FALTAS (EU),269965.0,277774.0,2.9
    2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU),22.0,29.0,31.8
    3.-ROBO CON VIOLENCIA E INTIMIDACION (EU),12751.0,12624.0,-1.0
    4.-ROBOS CON FUERZA EN DOMICILIOS (EU),11576.0,12084.0,4.4
    5.-SUSTRACCION VEHICULOS A MOTOR (EU),7596.0,7681.0,1.1
    6.-TRAFICO DE DROGAS (EU),1092.0,1083.0,-0.8
    7.-DANOS,32797.0,33090.0,0.9
    8.-HURTOS,106406.0,110411.0,3.8
MURCIA (REGION DE)
    1.-DELITOS Y FALTAS (EU),40284.0,38726.0,-3.9
    2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU),6.0,10.0,66.7
    3.-ROBO CON VIOLENCIA E INTIMIDACION (EU),1086.0,1115.0,2.7
    4.-ROBOS CON FUERZA EN DOMICILIOS (EU),3700.0,3863.0,4.4
    5.-SUSTRACCION VEHICULOS A MOTOR (EU),931.0,991.0,6.4
    6.-TRAFICO DE DROGAS (EU),193.0,222.0,15.0
    7.-DANOS,3481.0,3562.0,2.3
    8.-HURTOS,12639.0,12010.0,-5.0
NAVARRA (COMUNIDAD FORAL DE)
    1.-DELITOS Y FALTAS (EU),18650.0,19705.0,5.7
    2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU),3.0,0.0,-100.0
    3.-ROBO CON VIOLENCIA E INTIMIDACION (EU),289.0,346.0,19.7
    4.-ROBOS CON FUERZA EN DOMICILIOS (EU),712.0,761.0,6.9
    5.-SUSTRACCION VEHICULOS A MOTOR (EU),134.0,168.0,25.4
    6.-TRAFICO DE DROGAS (EU),120.0,166.0,38.3
    7.-DANOS,2400.0,2466.0,2.8
    8.-HURTOS,6347.0,6398.0,0.8
PAIS VASCO
    1.-DELITOS Y FALTAS (EU),64173.0,62224.0,-3.0
    2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU),10.0,6.0,-40.0
    3.-ROBO CON VIOLENCIA E INTIMIDACION (EU),1379.0,1480.0,7.3
    4.-ROBOS CON FUERZA EN DOMICILIOS (EU),3541.0,3109.0,-12.2
    5.-SUSTRACCION VEHICULOS A MOTOR (EU),669.0,763.0,14.1
    6.-TRAFICO DE DROGAS (EU),265.0,253.0,-4.5
    7.-DANOS,5781.0,5486.0,-5.1
    8.-HURTOS,20884.0,22054.0,5.6
RIOJA (LA)
    1.-DELITOS Y FALTAS (EU),6423.0,5984.0,-6.8
    2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU),0.0,0.0,0.0
    3.-ROBO CON VIOLENCIA E INTIMIDACION (EU),101.0,90.0,-10.9
    4.-ROBOS CON FUERZA EN DOMICILIOS (EU),495.0,352.0,-28.9
    5.-SUSTRACCION VEHICULOS A MOTOR (EU),90.0,77.0,-14.4
    6.-TRAFICO DE DROGAS (EU),44.0,43.0,-2.3
    7.-DANOS,806.0,728.0,-9.7
    8.-HURTOS,2138.0,2109.0,-1.4
CIUDAD AUTONOMA DE CEUTA
    1.-DELITOS Y FALTAS (EU),3673.0,3448.0,-6.1
    2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU),1.0,3.0,200.0
    3.-ROBO CON VIOLENCIA E INTIMIDACION (EU),123.0,124.0,0.8
    4.-ROBOS CON FUERZA EN DOMICILIOS (EU),64.0,51.0,-20.3
    5.-SUSTRACCION VEHICULOS A MOTOR (EU),275.0,304.0,10.5
    6.-TRAFICO DE DROGAS (EU),308.0,199.0,-35.4
    7.-DANOS,235.0,207.0,-11.9
    8.-HURTOS,796.0,713.0,-10.4
CIUDAD AUTONOMA DE MELILLA
    1.-DELITOS Y FALTAS (EU),3673.0,3644.0,-0.8
    2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU),1.0,1.0,0.0
    3.-ROBO CON VIOLENCIA E INTIMIDACION (EU),221.0,283.0,28.1
    4.-ROBOS CON FUERZA EN DOMICILIOS (EU),72.0,126.0,75.0
    5.-SUSTRACCION VEHICULOS A MOTOR (EU),88.0,79.0,-10.2
    6.-TRAFICO DE DROGAS (EU),86.0,70.0,-18.6
    7.-DANOS,254.0,272.0,7.1
    8.-HURTOS,1001.0,994.0,-0.7
EXTRANJERA
    1.-DELITOS Y FALTAS (EU),14799.0,13873.0,-6.3
    2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU),2.0,0.0,-100.0
    3.-ROBO CON VIOLENCIA E INTIMIDACION (EU),163.0,173.0,6.1
    4.-ROBOS CON FUERZA EN DOMICILIOS (EU),18.0,20.0,11.1
    5.-SUSTRACCION VEHICULOS A MOTOR (EU),71.0,71.0,0.0
    6.-TRAFICO DE DROGAS (EU),13.0,10.0,-23.1
    7.-DANOS,23.0,25.0,8.7
    8.-HURTOS,2002.0,2153.0,7.5
