,Enero-junio 2022,Enero-junio 2023,Variacion % 2023/2022
    I. CRIMINALIDAD CONVENCIONAL,11205.0,11938.0,6.5
    1. Homicidios dolosos y asesinatos consumados,2.0,3.0,50.0
    2. Homicidios dolosos y asesinatos en grado tentativa,3.0,8.0,166.7
    3. Delitos graves y menos graves de lesiones y rina tumultuaria,218.0,194.0,-11.0
    4. Secuestro,0.0,0.0,0.0
    5. Delitos contra la libertad sexual,113.0,141.0,24.8
    5.1.-Agresion sexual con penetracion,24.0,31.0,29.2
    5.2.-Resto de delitos contra la libertad sexual,89.0,110.0,23.6
    6. Robos con violencia e intimidacion,173.0,173.0,0.0
    7. Robos con fuerza en domicilios establecimientos y otras instalaciones,552.0,705.0,27.7
    7.1.-Robos con fuerza en domicilios,375.0,471.0,25.6
    8. Hurtos,3074.0,3572.0,16.2
    9. Sustracciones de vehiculos,126.0,137.0,8.7
    10. Trafico de drogas,79.0,97.0,22.8
    11. Resto de criminalidad convencional,6865.0,6908.0,0.6
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),4298.0,3980.0,-7.4
    12.-Estafas informaticas,3837.0,3616.0,-5.8
    13.-Otros ciberdelitos,461.0,364.0,-21.0
    III. TOTAL INFRACCIONES PENALES,15503.0,15918.0,2.7
BALEARS (ILLES)
    I. CRIMINALIDAD CONVENCIONAL,29337.0,30159.0,2.8
    1. Homicidios dolosos y asesinatos consumados,1.0,2.0,100.0
    2. Homicidios dolosos y asesinatos en grado tentativa,17.0,16.0,-5.9
    3. Delitos graves y menos graves de lesiones y rina tumultuaria,541.0,605.0,11.8
    4. Secuestro,2.0,3.0,50.0
    5. Delitos contra la libertad sexual,378.0,441.0,16.7
    5.1.-Agresion sexual con penetracion,71.0,66.0,-7.0
    5.2.-Resto de delitos contra la libertad sexual,307.0,375.0,22.1
    6. Robos con violencia e intimidacion,550.0,697.0,26.7
    7. Robos con fuerza en domicilios establecimientos y otras instalaciones,1327.0,1253.0,-5.6
    7.1.-Robos con fuerza en domicilios,949.0,909.0,-4.2
    8. Hurtos,9927.0,9721.0,-2.1
    9. Sustracciones de vehiculos,648.0,794.0,22.5
    10. Trafico de drogas,234.0,295.0,26.1
    11. Resto de criminalidad convencional,15712.0,16332.0,3.9
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),4250.0,5062.0,19.1
    12.-Estafas informaticas,3545.0,4525.0,27.6
    13.-Otros ciberdelitos,705.0,537.0,-23.8
    III. TOTAL INFRACCIONES PENALES,33587.0,35221.0,4.9
CANARIAS
    I. CRIMINALIDAD CONVENCIONAL,40105.0,42861.0,6.9
    1. Homicidios dolosos y asesinatos consumados,6.0,7.0,16.7
    2. Homicidios dolosos y asesinatos en grado tentativa,26.0,22.0,-15.4
    3. Delitos graves y menos graves de lesiones y rina tumultuaria,585.0,677.0,15.7
    4. Secuestro,1.0,2.0,100.0
    5. Delitos contra la libertad sexual,514.0,492.0,-4.3
    5.1.-Agresion sexual con penetracion,113.0,94.0,-16.8
    5.2.-Resto de delitos contra la libertad sexual,401.0,398.0,-0.7
    6. Robos con violencia e intimidacion,812.0,949.0,16.9
    7. Robos con fuerza en domicilios establecimientos y otras instalaciones,1796.0,1740.0,-3.1
    7.1.-Robos con fuerza en domicilios,1238.0,1081.0,-12.7
    8. Hurtos,11853.0,13183.0,11.2
    9. Sustracciones de vehiculos,541.0,732.0,35.3
    10. Trafico de drogas,419.0,415.0,-1.0
    11. Resto de criminalidad convencional,23552.0,24642.0,4.6
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),6571.0,8281.0,26.0
    12.-Estafas informaticas,5561.0,7265.0,30.6
    13.-Otros ciberdelitos,1010.0,1016.0,0.6
    III. TOTAL INFRACCIONES PENALES,46676.0,51142.0,9.6
CANTABRIA
    I. CRIMINALIDAD CONVENCIONAL,9171.0,8693.0,-5.2
    1. Homicidios dolosos y asesinatos consumados,1.0,0.0,-100.0
    2. Homicidios dolosos y asesinatos en grado tentativa,3.0,6.0,100.0
    3. Delitos graves y menos graves de lesiones y rina tumultuaria,185.0,177.0,-4.3
    4. Secuestro,0.0,0.0,0.0
    5. Delitos contra la libertad sexual,70.0,77.0,10.0
    5.1.-Agresion sexual con penetracion,19.0,15.0,-21.1
    5.2.-Resto de delitos contra la libertad sexual,51.0,62.0,21.6
    6. Robos con violencia e intimidacion,123.0,107.0,-13.0
    7. Robos con fuerza en domicilios establecimientos y otras instalaciones,867.0,838.0,-3.3
    7.1.-Robos con fuerza en domicilios,625.0,621.0,-0.6
    8. Hurtos,2296.0,2272.0,-1.0
    9. Sustracciones de vehiculos,50.0,59.0,18.0
    10. Trafico de drogas,44.0,69.0,56.8
    11. Resto de criminalidad convencional,5532.0,5088.0,-8.0
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),2434.0,2760.0,13.4
    12.-Estafas informaticas,2187.0,2528.0,15.6
    13.-Otros ciberdelitos,247.0,232.0,-6.1
    III. TOTAL INFRACCIONES PENALES,11605.0,11453.0,-1.3
CASTILLA Y LEON
    I. CRIMINALIDAD CONVENCIONAL,32469.0,31271.0,-3.7
    1. Homicidios dolosos y asesinatos consumados,7.0,5.0,-28.6
    2. Homicidios dolosos y asesinatos en grado tentativa,16.0,23.0,43.8
    3. Delitos graves y menos graves de lesiones y rina tumultuaria,497.0,438.0,-11.9
    4. Secuestro,1.0,0.0,-100.0
    5. Delitos contra la libertad sexual,277.0,269.0,-2.9
    5.1.-Agresion sexual con penetracion,50.0,63.0,26.0
    5.2.-Resto de delitos contra la libertad sexual,227.0,206.0,-9.3
    6. Robos con violencia e intimidacion,343.0,390.0,13.7
    7. Robos con fuerza en domicilios establecimientos y otras instalaciones,2158.0,2043.0,-5.3
    7.1.-Robos con fuerza en domicilios,1415.0,1338.0,-5.4
    8. Hurtos,8429.0,8688.0,3.1
    9. Sustracciones de vehiculos,287.0,228.0,-20.6
    10. Trafico de drogas,220.0,213.0,-3.2
    11. Resto de criminalidad convencional,20234.0,18974.0,-6.2
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),10574.0,12025.0,13.7
    12.-Estafas informaticas,9328.0,10574.0,13.4
    13.-Otros ciberdelitos,1246.0,1451.0,16.5
    III. TOTAL INFRACCIONES PENALES,43043.0,43296.0,0.6
CASTILLA - LA MANCHA
    I. CRIMINALIDAD CONVENCIONAL,32253.0,31236.0,-3.2
    1. Homicidios dolosos y asesinatos consumados,13.0,9.0,-30.8
    2. Homicidios dolosos y asesinatos en grado tentativa,22.0,18.0,-18.2
    3. Delitos graves y menos graves de lesiones y rina tumultuaria,445.0,431.0,-3.1
    4. Secuestro,0.0,1.0,100.0
    5. Delitos contra la libertad sexual,257.0,319.0,24.1
    5.1.-Agresion sexual con penetracion,57.0,63.0,10.5
    5.2.-Resto de delitos contra la libertad sexual,200.0,256.0,28.0
    6. Robos con violencia e intimidacion,407.0,396.0,-2.7
    7. Robos con fuerza en domicilios establecimientos y otras instalaciones,2541.0,2339.0,-7.9
    7.1.-Robos con fuerza en domicilios,1721.0,1696.0,-1.5
    8. Hurtos,6935.0,7183.0,3.6
    9. Sustracciones de vehiculos,335.0,274.0,-18.2
    10. Trafico de drogas,273.0,307.0,12.5
    11. Resto de criminalidad convencional,21025.0,19959.0,-5.1
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),7089.0,9002.0,27.0
    12.-Estafas informaticas,6042.0,7831.0,29.6
    13.-Otros ciberdelitos,1047.0,1171.0,11.8
    III. TOTAL INFRACCIONES PENALES,39342.0,40238.0,2.3
CATALUNA
    I. CRIMINALIDAD CONVENCIONAL,195271.0,209065.0,7.1
    1. Homicidios dolosos y asesinatos consumados,24.0,36.0,50.0
    2. Homicidios dolosos y asesinatos en grado tentativa,104.0,126.0,21.2
    3. Delitos graves y menos graves de lesiones y rina tumultuaria,1837.0,1868.0,1.7
    4. Secuestro,4.0,4.0,0.0
    5. Delitos contra la libertad sexual,1666.0,2000.0,20.0
    5.1.-Agresion sexual con penetracion,587.0,761.0,29.6
    5.2.-Resto de delitos contra la libertad sexual,1079.0,1239.0,14.8
    6. Robos con violencia e intimidacion,11782.0,12142.0,3.1
    7. Robos con fuerza en domicilios establecimientos y otras instalaciones,13138.0,13582.0,3.4
    7.1.-Robos con fuerza en domicilios,9239.0,9109.0,-1.4
    8. Hurtos,74475.0,83281.0,11.8
    9. Sustracciones de vehiculos,3359.0,4095.0,21.9
    10. Trafico de drogas,2025.0,2210.0,9.1
    11. Resto de criminalidad convencional,86857.0,89721.0,3.3
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),30116.0,34387.0,14.2
    12.-Estafas informaticas,28985.0,33527.0,15.7
    13.-Otros ciberdelitos,1131.0,860.0,-24.0
    III. TOTAL INFRACCIONES PENALES,225387.0,243452.0,8.0
COMUNITAT VALENCIANA
    I. CRIMINALIDAD CONVENCIONAL,109410.0,115879.0,5.9
    1. Homicidios dolosos y asesinatos consumados,23.0,16.0,-30.4
    2. Homicidios dolosos y asesinatos en grado tentativa,53.0,80.0,50.9
    3. Delitos graves y menos graves de lesiones y rina tumultuaria,1495.0,1613.0,7.9
    4. Secuestro,7.0,6.0,-14.3
    5. Delitos contra la libertad sexual,1087.0,1102.0,1.4
    5.1.-Agresion sexual con penetracion,247.0,205.0,-17.0
    5.2.-Resto de delitos contra la libertad sexual,840.0,897.0,6.8
    6. Robos con violencia e intimidacion,2703.0,2965.0,9.7
    7. Robos con fuerza en domicilios establecimientos y otras instalaciones,8647.0,9034.0,4.5
    7.1.-Robos con fuerza en domicilios,6987.0,6870.0,-1.7
    8. Hurtos,33157.0,36674.0,10.6
    9. Sustracciones de vehiculos,1496.0,1500.0,0.3
    10. Trafico de drogas,920.0,1274.0,38.5
    11. Resto de criminalidad convencional,59822.0,61615.0,3.0
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),15504.0,22459.0,44.9
    12.-Estafas informaticas,12985.0,19193.0,47.8
    13.-Otros ciberdelitos,2519.0,3266.0,29.7
    III. TOTAL INFRACCIONES PENALES,124914.0,138338.0,10.7
EXTREMADURA
    I. CRIMINALIDAD CONVENCIONAL,12269.0,12967.0,5.7
    1. Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0
    2. Homicidios dolosos y asesinatos en grado tentativa,4.0,7.0,75.0
    3. Delitos graves y menos graves de lesiones y rina tumultuaria,178.0,205.0,15.2
    4. Secuestro,0.0,0.0,0.0
    5. Delitos contra la libertad sexual,118.0,121.0,2.5
    5.1.-Agresion sexual con penetracion,18.0,20.0,11.1
    5.2.-Resto de delitos contra la libertad sexual,100.0,101.0,1.0
    6. Robos con violencia e intimidacion,153.0,162.0,5.9
    7. Robos con fuerza en domicilios establecimientos y otras instalaciones,913.0,908.0,-0.5
    7.1.-Robos con fuerza en domicilios,572.0,606.0,5.9
    8. Hurtos,3244.0,3417.0,5.3
    9. Sustracciones de vehiculos,72.0,86.0,19.4
    10. Trafico de drogas,128.0,168.0,31.3
    11. Resto de criminalidad convencional,7459.0,7893.0,5.8
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),3382.0,4129.0,22.1
    12.-Estafas informaticas,2880.0,3458.0,20.1
    13.-Otros ciberdelitos,502.0,671.0,33.7
    III. TOTAL INFRACCIONES PENALES,15651.0,17096.0,9.2
GALICIA
    I. CRIMINALIDAD CONVENCIONAL,36368.0,35910.0,-1.3
    1. Homicidios dolosos y asesinatos consumados,3.0,9.0,200.0
    2. Homicidios dolosos y asesinatos en grado tentativa,26.0,25.0,-3.8
    3. Delitos graves y menos graves de lesiones y rina tumultuaria,595.0,532.0,-10.6
    4. Secuestro,1.0,2.0,100.0
    5. Delitos contra la libertad sexual,344.0,398.0,15.7
    5.1.-Agresion sexual con penetracion,89.0,89.0,0.0
    5.2.-Resto de delitos contra la libertad sexual,255.0,309.0,21.2
    6. Robos con violencia e intimidacion,423.0,498.0,17.7
    7. Robos con fuerza en domicilios establecimientos y otras instalaciones,1926.0,2241.0,16.4
    7.1.-Robos con fuerza en domicilios,1230.0,1290.0,4.9
    8. Hurtos,9129.0,9841.0,7.8
    9. Sustracciones de vehiculos,272.0,287.0,5.5
    10. Trafico de drogas,231.0,265.0,14.7
    11. Resto de criminalidad convencional,23418.0,21812.0,-6.9
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),12949.0,10068.0,-22.2
    12.-Estafas informaticas,11727.0,8556.0,-27.0
    13.-Otros ciberdelitos,1222.0,1512.0,23.7
    III. TOTAL INFRACCIONES PENALES,49317.0,45978.0,-6.8
MADRID (COMUNIDAD DE)
    I. CRIMINALIDAD CONVENCIONAL,170007.0,168060.0,-1.1
    1. Homicidios dolosos y asesinatos consumados,20.0,20.0,0.0
    2. Homicidios dolosos y asesinatos en grado tentativa,63.0,83.0,31.7
    3. Delitos graves y menos graves de lesiones y rina tumultuaria,1574.0,1592.0,1.1
    4. Secuestro,6.0,13.0,116.7
    5. Delitos contra la libertad sexual,1207.0,1385.0,14.7
    5.1.-Agresion sexual con penetracion,288.0,310.0,7.6
    5.2.-Resto de delitos contra la libertad sexual,919.0,1075.0,17.0
    6. Robos con violencia e intimidacion,6264.0,6176.0,-1.4
    7. Robos con fuerza en domicilios establecimientos y otras instalaciones,6496.0,6877.0,5.9
    7.1.-Robos con fuerza en domicilios,4450.0,4339.0,-2.5
    8. Hurtos,68150.0,65524.0,-3.9
    9. Sustracciones de vehiculos,3889.0,3607.0,-7.3
    10. Trafico de drogas,1511.0,1687.0,11.6
    11. Resto de criminalidad convencional,80827.0,81096.0,0.3
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),31991.0,36445.0,13.9
    12.-Estafas informaticas,28893.0,33145.0,14.7
    13.-Otros ciberdelitos,3098.0,3300.0,6.5
    III. TOTAL INFRACCIONES PENALES,201998.0,204505.0,1.2
MURCIA (REGION DE)
    I. CRIMINALIDAD CONVENCIONAL,28210.0,29924.0,6.1
    1. Homicidios dolosos y asesinatos consumados,5.0,10.0,100.0
    2. Homicidios dolosos y asesinatos en grado tentativa,23.0,35.0,52.2
    3. Delitos graves y menos graves de lesiones y rina tumultuaria,547.0,534.0,-2.4
    4. Secuestro,2.0,3.0,50.0
    5. Delitos contra la libertad sexual,258.0,320.0,24.0
    5.1.-Agresion sexual con penetracion,44.0,52.0,18.2
    5.2.-Resto de delitos contra la libertad sexual,214.0,268.0,25.2
    6. Robos con violencia e intimidacion,886.0,1012.0,14.2
    7. Robos con fuerza en domicilios establecimientos y otras instalaciones,2686.0,2738.0,1.9
    7.1.-Robos con fuerza en domicilios,1988.0,1948.0,-2.0
    8. Hurtos,7189.0,8321.0,15.7
    9. Sustracciones de vehiculos,320.0,439.0,37.2
    10. Trafico de drogas,259.0,313.0,20.8
    11. Resto de criminalidad convencional,16035.0,16199.0,1.0
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),4608.0,6153.0,33.5
    12.-Estafas informaticas,3916.0,5410.0,38.2
    13.-Otros ciberdelitos,692.0,743.0,7.4
    III. TOTAL INFRACCIONES PENALES,32818.0,36077.0,9.9
NAVARRA (COMUNIDAD FORAL DE)
    I. CRIMINALIDAD CONVENCIONAL,12959.0,12687.0,-2.1
    1. Homicidios dolosos y asesinatos consumados,3.0,2.0,-33.3
    2. Homicidios dolosos y asesinatos en grado tentativa,9.0,12.0,33.3
    3. Delitos graves y menos graves de lesiones y rina tumultuaria,170.0,160.0,-5.9
    4. Secuestro,2.0,0.0,-100.0
    5. Delitos contra la libertad sexual,126.0,182.0,44.4
    5.1.-Agresion sexual con penetracion,41.0,42.0,2.4
    5.2.-Resto de delitos contra la libertad sexual,85.0,140.0,64.7
    6. Robos con violencia e intimidacion,195.0,190.0,-2.6
    7. Robos con fuerza en domicilios establecimientos y otras instalaciones,738.0,738.0,0.0
    7.1.-Robos con fuerza en domicilios,467.0,485.0,3.9
    8. Hurtos,3183.0,3326.0,4.5
    9. Sustracciones de vehiculos,69.0,74.0,7.2
    10. Trafico de drogas,65.0,74.0,13.8
    11. Resto de criminalidad convencional,8399.0,7929.0,-5.6
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),2623.0,3281.0,25.1
    12.-Estafas informaticas,2264.0,2936.0,29.7
    13.-Otros ciberdelitos,359.0,345.0,-3.9
    III. TOTAL INFRACCIONES PENALES,15582.0,15968.0,2.5
PAIS VASCO
    I. CRIMINALIDAD CONVENCIONAL,39344.0,39191.0,-0.4
    1. Homicidios dolosos y asesinatos consumados,3.0,4.0,33.3
    2. Homicidios dolosos y asesinatos en grado tentativa,24.0,18.0,-25.0
    3. Delitos graves y menos graves de lesiones y rina tumultuaria,704.0,759.0,7.8
    4. Secuestro,4.0,4.0,0.0
    5. Delitos contra la libertad sexual,357.0,398.0,11.5
    5.1.-Agresion sexual con penetracion,102.0,125.0,22.5
    5.2.-Resto de delitos contra la libertad sexual,255.0,273.0,7.1
    6. Robos con violencia e intimidacion,1012.0,922.0,-8.9
    7. Robos con fuerza en domicilios establecimientos y otras instalaciones,3470.0,3116.0,-10.2
    7.1.-Robos con fuerza en domicilios,2232.0,1851.0,-17.1
    8. Hurtos,14287.0,14753.0,3.3
    9. Sustracciones de vehiculos,352.0,345.0,-2.0
    10. Trafico de drogas,317.0,308.0,-2.8
    11. Resto de criminalidad convencional,18814.0,18564.0,-1.3
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),10192.0,13238.0,29.9
    12.-Estafas informaticas,9164.0,11859.0,29.4
    13.-Otros ciberdelitos,1028.0,1379.0,34.1
    III. TOTAL INFRACCIONES PENALES,49536.0,52429.0,5.8
RIOJA (LA)
    I. CRIMINALIDAD CONVENCIONAL,4524.0,4729.0,4.5
    1. Homicidios dolosos y asesinatos consumados,0.0,1.0,100.0
    2. Homicidios dolosos y asesinatos en grado tentativa,1.0,5.0,400.0
    3. Delitos graves y menos graves de lesiones y rina tumultuaria,106.0,91.0,-14.2
    4. Secuestro,0.0,1.0,100.0
    5. Delitos contra la libertad sexual,57.0,54.0,-5.3
    5.1.-Agresion sexual con penetracion,10.0,9.0,-10.0
    5.2.-Resto de delitos contra la libertad sexual,47.0,45.0,-4.3
    6. Robos con violencia e intimidacion,53.0,61.0,15.1
    7. Robos con fuerza en domicilios establecimientos y otras instalaciones,357.0,343.0,-3.9
    7.1.-Robos con fuerza en domicilios,254.0,265.0,4.3
    8. Hurtos,1240.0,1441.0,16.2
    9. Sustracciones de vehiculos,34.0,32.0,-5.9
    10. Trafico de drogas,50.0,48.0,-4.0
    11. Resto de criminalidad convencional,2626.0,2652.0,1.0
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),1088.0,1263.0,16.1
    12.-Estafas informaticas,961.0,1099.0,14.4
    13.-Otros ciberdelitos,127.0,164.0,29.1
    III. TOTAL INFRACCIONES PENALES,5612.0,5992.0,6.8
CIUDAD AUTONOMA DE CEUTA
    I. CRIMINALIDAD CONVENCIONAL,1505.0,1421.0,-5.6
    1. Homicidios dolosos y asesinatos consumados,2.0,5.0,150.0
    2. Homicidios dolosos y asesinatos en grado tentativa,13.0,3.0,-76.9
    3. Delitos graves y menos graves de lesiones y rina tumultuaria,43.0,35.0,-18.6
    4. Secuestro,0.0,0.0,0.0
    5. Delitos contra la libertad sexual,18.0,16.0,-11.1
    5.1.-Agresion sexual con penetracion,1.0,0.0,-100.0
    5.2.-Resto de delitos contra la libertad sexual,17.0,16.0,-5.9
    6. Robos con violencia e intimidacion,51.0,32.0,-37.3
    7. Robos con fuerza en domicilios establecimientos y otras instalaciones,28.0,21.0,-25.0
    7.1.-Robos con fuerza en domicilios,17.0,8.0,-52.9
    8. Hurtos,194.0,255.0,31.4
    9. Sustracciones de vehiculos,56.0,43.0,-23.2
    10. Trafico de drogas,65.0,54.0,-16.9
    11. Resto de criminalidad convencional,1035.0,957.0,-7.5
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),307.0,278.0,-9.4
    12.-Estafas informaticas,259.0,245.0,-5.4
    13.-Otros ciberdelitos,48.0,33.0,-31.3
    III. TOTAL INFRACCIONES PENALES,1812.0,1699.0,-6.2
CIUDAD AUTONOMA DE MELILLA
    I. CRIMINALIDAD CONVENCIONAL,1913.0,1859.0,-2.8
    1. Homicidios dolosos y asesinatos consumados,2.0,0.0,-100.0
    2. Homicidios dolosos y asesinatos en grado tentativa,4.0,1.0,-75.0
    3. Delitos graves y menos graves de lesiones y rina tumultuaria,43.0,61.0,41.9
    4. Secuestro,0.0,0.0,0.0
    5. Delitos contra la libertad sexual,12.0,23.0,91.7
    5.1.-Agresion sexual con penetracion,2.0,2.0,0.0
    5.2.-Resto de delitos contra la libertad sexual,10.0,21.0,110.0
    6. Robos con violencia e intimidacion,51.0,65.0,27.5
    7. Robos con fuerza en domicilios establecimientos y otras instalaciones,34.0,55.0,61.8
    7.1.-Robos con fuerza en domicilios,21.0,34.0,61.9
    8. Hurtos,346.0,379.0,9.5
    9. Sustracciones de vehiculos,35.0,31.0,-11.4
    10. Trafico de drogas,32.0,23.0,-28.1
    11. Resto de criminalidad convencional,1354.0,1221.0,-9.8
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),191.0,218.0,14.1
    12.-Estafas informaticas,151.0,182.0,20.5
    13.-Otros ciberdelitos,40.0,36.0,-10.0
    III. TOTAL INFRACCIONES PENALES,2104.0,2077.0,-1.3
EN EL EXTRANJERO
    I. CRIMINALIDAD CONVENCIONAL,2141.0,2377.0,11.0
    1. Homicidios dolosos y asesinatos consumados,0.0,0.0,0.0
    2. Homicidios dolosos y asesinatos en grado tentativa,0.0,0.0,0.0
    3. Delitos graves y menos graves de lesiones y rina tumultuaria,2.0,2.0,0.0
    4. Secuestro,0.0,4.0,100.0
    5. Delitos contra la libertad sexual,39.0,30.0,-23.1
    5.1.-Agresion sexual con penetracion,12.0,13.0,8.3
    5.2.-Resto de delitos contra la libertad sexual,27.0,17.0,-37.0
    6. Robos con violencia e intimidacion,87.0,87.0,0.0
    7. Robos con fuerza en domicilios establecimientos y otras instalaciones,13.0,6.0,-53.8
    7.1.-Robos con fuerza en domicilios,7.0,3.0,-57.1
    8. Hurtos,850.0,1116.0,31.3
    9. Sustracciones de vehiculos,25.0,55.0,120.0
    10. Trafico de drogas,10.0,17.0,70.0
    11. Resto de criminalidad convencional,1115.0,1060.0,-4.9
    II. CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),2596.0,2896.0,11.6
    12.-Estafas informaticas,2503.0,2743.0,9.6
    13.-Otros ciberdelitos,93.0,153.0,64.5
    III. TOTAL INFRACCIONES PENALES,4737.0,5273.0,11.3
