Comunidad,Año,Trimestre,Delito,Subdelito,Cantidad
CATALUNA,2015,1,DELITOS,-,98168.0
CATALUNA,2015,1,HOMICIDIOS,DOLOSOS Y ASESINATOS CONSUMADOS,8.0
CATALUNA,2015,1,ROBOS,VIOLENCIA E INTIMIDACION,5503.0
CATALUNA,2015,1,ROBOS,FUERZA,5799.0
CATALUNA,2015,1,SUSTRACCION,VEHICULOS,1967.0
CATALUNA,2015,1,TRAFICO,DROGAS,440.0
CATALUNA,2015,1,DANOS,-,9309.0
CATALUNA,2015,1,HURTOS,-,36842.0
COMUNITAT VALENCIANA,2015,1,DELITOS,-,56958.0
COMUNITAT VALENCIANA,2015,1,HOMICIDIOS,DOLOSOS Y ASESINATOS CONSUMADOS,15.0
COMUNITAT VALENCIANA,2015,1,ROBOS,VIOLENCIA E INTIMIDACION,1502.0
COMUNITAT VALENCIANA,2015,1,ROBOS,FUERZA,5177.0
COMUNITAT VALENCIANA,2015,1,SUSTRACCION,VEHICULOS,1057.0
COMUNITAT VALENCIANA,2015,1,TRAFICO,DROGAS,366.0
COMUNITAT VALENCIANA,2015,1,DANOS,-,6845.0
COMUNITAT VALENCIANA,2015,1,HURTOS,-,18063.0
EXTREMADURA,2015,1,DELITOS,-,6902.0
EXTREMADURA,2015,1,HOMICIDIOS,DOLOSOS Y ASESINATOS CONSUMADOS,1.0
EXTREMADURA,2015,1,ROBOS,VIOLENCIA E INTIMIDACION,81.0
EXTREMADURA,2015,1,ROBOS,FUERZA,372.0
EXTREMADURA,2015,1,SUSTRACCION,VEHICULOS,95.0
EXTREMADURA,2015,1,TRAFICO,DROGAS,37.0
EXTREMADURA,2015,1,DANOS,-,835.0
EXTREMADURA,2015,1,HURTOS,-,2102.0
GALICIA,2015,1,DELITOS,-,18603.0
GALICIA,2015,1,HOMICIDIOS,DOLOSOS Y ASESINATOS CONSUMADOS,1.0
GALICIA,2015,1,ROBOS,VIOLENCIA E INTIMIDACION,275.0
GALICIA,2015,1,ROBOS,FUERZA,1067.0
GALICIA,2015,1,SUSTRACCION,VEHICULOS,222.0
GALICIA,2015,1,TRAFICO,DROGAS,76.0
GALICIA,2015,1,DANOS,-,2386.0
GALICIA,2015,1,HURTOS,-,5231.0
MADRID (COMUNIDAD DE),2015,1,DELITOS,-,92195.0
MADRID (COMUNIDAD DE),2015,1,HOMICIDIOS,DOLOSOS Y ASESINATOS CONSUMADOS,4.0
MADRID (COMUNIDAD DE),2015,1,ROBOS,VIOLENCIA E INTIMIDACION,4105.0
MADRID (COMUNIDAD DE),2015,1,ROBOS,FUERZA,3689.0
MADRID (COMUNIDAD DE),2015,1,SUSTRACCION,VEHICULOS,2734.0
MADRID (COMUNIDAD DE),2015,1,TRAFICO,DROGAS,370.0
MADRID (COMUNIDAD DE),2015,1,DANOS,-,11260.0
MADRID (COMUNIDAD DE),2015,1,HURTOS,-,37413.0
MURCIA (REGION DE),2015,1,DELITOS,-,13168.0
MURCIA (REGION DE),2015,1,HOMICIDIOS,DOLOSOS Y ASESINATOS CONSUMADOS,1.0
MURCIA (REGION DE),2015,1,ROBOS,VIOLENCIA E INTIMIDACION,382.0
MURCIA (REGION DE),2015,1,ROBOS,FUERZA,1368.0
MURCIA (REGION DE),2015,1,SUSTRACCION,VEHICULOS,306.0
MURCIA (REGION DE),2015,1,TRAFICO,DROGAS,56.0
MURCIA (REGION DE),2015,1,DANOS,-,1256.0
MURCIA (REGION DE),2015,1,HURTOS,-,3974.0
NAVARRA (COMUNIDAD FORAL DE),2015,1,DELITOS,-,5702.0
NAVARRA (COMUNIDAD FORAL DE),2015,1,HOMICIDIOS,DOLOSOS Y ASESINATOS CONSUMADOS,1.0
NAVARRA (COMUNIDAD FORAL DE),2015,1,ROBOS,VIOLENCIA E INTIMIDACION,72.0
NAVARRA (COMUNIDAD FORAL DE),2015,1,ROBOS,FUERZA,276.0
NAVARRA (COMUNIDAD FORAL DE),2015,1,SUSTRACCION,VEHICULOS,47.0
NAVARRA (COMUNIDAD FORAL DE),2015,1,TRAFICO,DROGAS,24.0
NAVARRA (COMUNIDAD FORAL DE),2015,1,DANOS,-,740.0
NAVARRA (COMUNIDAD FORAL DE),2015,1,HURTOS,-,1738.0
PAIS VASCO,2015,1,DELITOS,-,20404.0
PAIS VASCO,2015,1,HOMICIDIOS,DOLOSOS Y ASESINATOS CONSUMADOS,2.0
PAIS VASCO,2015,1,ROBOS,VIOLENCIA E INTIMIDACION,419.0
PAIS VASCO,2015,1,ROBOS,FUERZA,1052.0
PAIS VASCO,2015,1,SUSTRACCION,VEHICULOS,187.0
PAIS VASCO,2015,1,TRAFICO,DROGAS,87.0
PAIS VASCO,2015,1,DANOS,-,1881.0
PAIS VASCO,2015,1,HURTOS,-,6440.0
RIOJA (LA),2015,1,DELITOS,-,2060.0
RIOJA (LA),2015,1,HOMICIDIOS,DOLOSOS Y ASESINATOS CONSUMADOS,0.0
RIOJA (LA),2015,1,ROBOS,VIOLENCIA E INTIMIDACION,35.0
RIOJA (LA),2015,1,ROBOS,FUERZA,151.0
RIOJA (LA),2015,1,SUSTRACCION,VEHICULOS,25.0
RIOJA (LA),2015,1,TRAFICO,DROGAS,12.0
RIOJA (LA),2015,1,DANOS,-,275.0
RIOJA (LA),2015,1,HURTOS,-,648.0
CIUDAD AUTONOMA DE CEUTA,2015,1,DELITOS,-,1271.0
CIUDAD AUTONOMA DE CEUTA,2015,1,HOMICIDIOS,DOLOSOS Y ASESINATOS CONSUMADOS,0.0
CIUDAD AUTONOMA DE CEUTA,2015,1,ROBOS,VIOLENCIA E INTIMIDACION,46.0
CIUDAD AUTONOMA DE CEUTA,2015,1,ROBOS,FUERZA,16.0
CIUDAD AUTONOMA DE CEUTA,2015,1,SUSTRACCION,VEHICULOS,108.0
CIUDAD AUTONOMA DE CEUTA,2015,1,TRAFICO,DROGAS,126.0
CIUDAD AUTONOMA DE CEUTA,2015,1,DANOS,-,100.0
CIUDAD AUTONOMA DE CEUTA,2015,1,HURTOS,-,245.0
CIUDAD AUTONOMA DE MELILLA,2015,1,DELITOS,-,1215.0
CIUDAD AUTONOMA DE MELILLA,2015,1,HOMICIDIOS,DOLOSOS Y ASESINATOS CONSUMADOS,1.0
CIUDAD AUTONOMA DE MELILLA,2015,1,ROBOS,VIOLENCIA E INTIMIDACION,70.0
CIUDAD AUTONOMA DE MELILLA,2015,1,ROBOS,FUERZA,22.0
CIUDAD AUTONOMA DE MELILLA,2015,1,SUSTRACCION,VEHICULOS,31.0
CIUDAD AUTONOMA DE MELILLA,2015,1,TRAFICO,DROGAS,35.0
CIUDAD AUTONOMA DE MELILLA,2015,1,DANOS,-,96.0
CIUDAD AUTONOMA DE MELILLA,2015,1,HURTOS,-,295.0
EXTRANJERA,2015,1,DELITOS,-,4733.0
EXTRANJERA,2015,1,HOMICIDIOS,DOLOSOS Y ASESINATOS CONSUMADOS,2.0
EXTRANJERA,2015,1,ROBOS,VIOLENCIA E INTIMIDACION,46.0
EXTRANJERA,2015,1,ROBOS,FUERZA,3.0
EXTRANJERA,2015,1,SUSTRACCION,VEHICULOS,28.0
EXTRANJERA,2015,1,TRAFICO,DROGAS,1.0
EXTRANJERA,2015,1,DANOS,-,5.0
EXTRANJERA,2015,1,HURTOS,-,508.0
TOTAL NACIONAL,2015,2,DELITOS,-,1019410.0
TOTAL NACIONAL,2015,2,HOMICIDIOS,DOLOSOS Y ASESINATOS CONSUMADOS,125.0
TOTAL NACIONAL,2015,2,ROBOS,VIOLENCIA E INTIMIDACION,31564.0
TOTAL NACIONAL,2015,2,ROBOS,FUERZA,56243.0
TOTAL NACIONAL,2015,2,SUSTRACCION,VEHICULOS,21087.0
TOTAL NACIONAL,2015,2,TRAFICO,DROGAS,6100.0
TOTAL NACIONAL,2015,2,DANOS,-,109633.0
TOTAL NACIONAL,2015,2,HURTOS,-,351151.0
ANDALUCIA,2015,2,DELITOS,-,172783.0
ANDALUCIA,2015,2,HOMICIDIOS,DOLOSOS Y ASESINATOS CONSUMADOS,34.0
ANDALUCIA,2015,2,ROBOS,VIOLENCIA E INTIMIDACION,3561.0
ANDALUCIA,2015,2,ROBOS,FUERZA,9223.0
ANDALUCIA,2015,2,SUSTRACCION,VEHICULOS,4320.0
ANDALUCIA,2015,2,TRAFICO,DROGAS,1639.0
ANDALUCIA,2015,2,DANOS,-,17299.0
ANDALUCIA,2015,2,HURTOS,-,55892.0
ARAGON,2015,2,DELITOS,-,19016.0
ARAGON,2015,2,HOMICIDIOS,DOLOSOS Y ASESINATOS CONSUMADOS,6.0
ARAGON,2015,2,ROBOS,VIOLENCIA E INTIMIDACION,371.0
ARAGON,2015,2,ROBOS,FUERZA,887.0
ARAGON,2015,2,SUSTRACCION,VEHICULOS,163.0
ARAGON,2015,2,TRAFICO,DROGAS,135.0
ARAGON,2015,2,DANOS,-,2675.0
ARAGON,2015,2,HURTOS,-,6032.0
ASTURIAS (PRINCIPADO DE),2015,2,DELITOS,-,13319.0
ASTURIAS (PRINCIPADO DE),2015,2,HOMICIDIOS,DOLOSOS Y ASESINATOS CONSUMADOS,0.0
ASTURIAS (PRINCIPADO DE),2015,2,ROBOS,VIOLENCIA E INTIMIDACION,314.0
ASTURIAS (PRINCIPADO DE),2015,2,ROBOS,FUERZA,416.0
ASTURIAS (PRINCIPADO DE),2015,2,SUSTRACCION,VEHICULOS,187.0
ASTURIAS (PRINCIPADO DE),2015,2,TRAFICO,DROGAS,73.0
ASTURIAS (PRINCIPADO DE),2015,2,DANOS,-,1611.0
ASTURIAS (PRINCIPADO DE),2015,2,HURTOS,-,3919.0
BALEARS (ILLES),2015,2,DELITOS,-,28407.0
BALEARS (ILLES),2015,2,HOMICIDIOS,DOLOSOS Y ASESINATOS CONSUMADOS,3.0
BALEARS (ILLES),2015,2,ROBOS,VIOLENCIA E INTIMIDACION,402.0
BALEARS (ILLES),2015,2,ROBOS,FUERZA,1417.0
BALEARS (ILLES),2015,2,SUSTRACCION,VEHICULOS,625.0
BALEARS (ILLES),2015,2,TRAFICO,DROGAS,187.0
BALEARS (ILLES),2015,2,DANOS,-,2378.0
BALEARS (ILLES),2015,2,HURTOS,-,10698.0
CANARIAS,2015,2,DELITOS,-,45425.0
CANARIAS,2015,2,HOMICIDIOS,DOLOSOS Y ASESINATOS CONSUMADOS,10.0
CANARIAS,2015,2,ROBOS,VIOLENCIA E INTIMIDACION,767.0
CANARIAS,2015,2,ROBOS,FUERZA,1610.0
CANARIAS,2015,2,SUSTRACCION,VEHICULOS,829.0
CANARIAS,2015,2,TRAFICO,DROGAS,297.0
CANARIAS,2015,2,DANOS,-,3643.0
CANARIAS,2015,2,HURTOS,-,15584.0
CANTABRIA,2015,2,DELITOS,-,8054.0
CANTABRIA,2015,2,HOMICIDIOS,DOLOSOS Y ASESINATOS CONSUMADOS,3.0
CANTABRIA,2015,2,ROBOS,VIOLENCIA E INTIMIDACION,123.0
CANTABRIA,2015,2,ROBOS,FUERZA,335.0
CANTABRIA,2015,2,SUSTRACCION,VEHICULOS,117.0
CANTABRIA,2015,2,TRAFICO,DROGAS,57.0
CANTABRIA,2015,2,DANOS,-,807.0
CANTABRIA,2015,2,HURTOS,-,2399.0
CASTILLA Y LEON,2015,2,DELITOS,-,37396.0
CASTILLA Y LEON,2015,2,HOMICIDIOS,DOLOSOS Y ASESINATOS CONSUMADOS,5.0
CASTILLA Y LEON,2015,2,ROBOS,VIOLENCIA E INTIMIDACION,417.0
CASTILLA Y LEON,2015,2,ROBOS,FUERZA,1757.0
CASTILLA Y LEON,2015,2,SUSTRACCION,VEHICULOS,360.0
CASTILLA Y LEON,2015,2,TRAFICO,DROGAS,142.0
CASTILLA Y LEON,2015,2,DANOS,-,5407.0
CASTILLA Y LEON,2015,2,HURTOS,-,12080.0
CASTILLA - LA MANCHA,2015,2,DELITOS,-,34336.0
CASTILLA - LA MANCHA,2015,2,HOMICIDIOS,DOLOSOS Y ASESINATOS CONSUMADOS,4.0
CASTILLA - LA MANCHA,2015,2,ROBOS,VIOLENCIA E INTIMIDACION,490.0
CASTILLA - LA MANCHA,2015,2,ROBOS,FUERZA,3160.0
CASTILLA - LA MANCHA,2015,2,SUSTRACCION,VEHICULOS,640.0
CASTILLA - LA MANCHA,2015,2,TRAFICO,DROGAS,172.0
CASTILLA - LA MANCHA,2015,2,DANOS,-,4212.0
CASTILLA - LA MANCHA,2015,2,HURTOS,-,8388.0
CATALUNA,2015,2,DELITOS,-,206692.0
CATALUNA,2015,2,HOMICIDIOS,DOLOSOS Y ASESINATOS CONSUMADOS,14.0
CATALUNA,2015,2,ROBOS,VIOLENCIA E INTIMIDACION,10824.0
CATALUNA,2015,2,ROBOS,FUERZA,11556.0
CATALUNA,2015,2,SUSTRACCION,VEHICULOS,4108.0
CATALUNA,2015,2,TRAFICO,DROGAS,948.0
CATALUNA,2015,2,DANOS,-,19497.0
CATALUNA,2015,2,HURTOS,-,80689.0
COMUNITAT VALENCIANA,2015,2,DELITOS,-,116964.0
COMUNITAT VALENCIANA,2015,2,HOMICIDIOS,DOLOSOS Y ASESINATOS CONSUMADOS,22.0
COMUNITAT VALENCIANA,2015,2,ROBOS,VIOLENCIA E INTIMIDACION,3002.0
COMUNITAT VALENCIANA,2015,2,ROBOS,FUERZA,9927.0
COMUNITAT VALENCIANA,2015,2,SUSTRACCION,VEHICULOS,2120.0
COMUNITAT VALENCIANA,2015,2,TRAFICO,DROGAS,711.0
COMUNITAT VALENCIANA,2015,2,DANOS,-,14093.0
COMUNITAT VALENCIANA,2015,2,HURTOS,-,37995.0
EXTREMADURA,2015,2,DELITOS,-,13754.0
EXTREMADURA,2015,2,HOMICIDIOS,DOLOSOS Y ASESINATOS CONSUMADOS,1.0
EXTREMADURA,2015,2,ROBOS,VIOLENCIA E INTIMIDACION,147.0
EXTREMADURA,2015,2,ROBOS,FUERZA,662.0
EXTREMADURA,2015,2,SUSTRACCION,VEHICULOS,189.0
EXTREMADURA,2015,2,TRAFICO,DROGAS,86.0
EXTREMADURA,2015,2,DANOS,-,1614.0
EXTREMADURA,2015,2,HURTOS,-,4104.0
GALICIA,2015,2,DELITOS,-,38498.0
GALICIA,2015,2,HOMICIDIOS,DOLOSOS Y ASESINATOS CONSUMADOS,5.0
GALICIA,2015,2,ROBOS,VIOLENCIA E INTIMIDACION,556.0
GALICIA,2015,2,ROBOS,FUERZA,1967.0
GALICIA,2015,2,SUSTRACCION,VEHICULOS,478.0
GALICIA,2015,2,TRAFICO,DROGAS,168.0
GALICIA,2015,2,DANOS,-,4970.0
GALICIA,2015,2,HURTOS,-,10818.0
MADRID (COMUNIDAD DE),2015,2,DELITOS,-,186128.0
MADRID (COMUNIDAD DE),2015,2,HOMICIDIOS,DOLOSOS Y ASESINATOS CONSUMADOS,7.0
MADRID (COMUNIDAD DE),2015,2,ROBOS,VIOLENCIA E INTIMIDACION,8509.0
MADRID (COMUNIDAD DE),2015,2,ROBOS,FUERZA,7500.0
MADRID (COMUNIDAD DE),2015,2,SUSTRACCION,VEHICULOS,5430.0
MADRID (COMUNIDAD DE),2015,2,TRAFICO,DROGAS,764.0
MADRID (COMUNIDAD DE),2015,2,DANOS,-,22572.0
MADRID (COMUNIDAD DE),2015,2,HURTOS,-,74526.0
MURCIA (REGION DE),2015,2,DELITOS,-,26815.0
MURCIA (REGION DE),2015,2,HOMICIDIOS,DOLOSOS Y ASESINATOS CONSUMADOS,3.0
MURCIA (REGION DE),2015,2,ROBOS,VIOLENCIA E INTIMIDACION,720.0
MURCIA (REGION DE),2015,2,ROBOS,FUERZA,2543.0
MURCIA (REGION DE),2015,2,SUSTRACCION,VEHICULOS,658.0
MURCIA (REGION DE),2015,2,TRAFICO,DROGAS,124.0
MURCIA (REGION DE),2015,2,DANOS,-,2471.0
MURCIA (REGION DE),2015,2,HURTOS,-,8152.0
NAVARRA (COMUNIDAD FORAL DE),2015,2,DELITOS,-,11612.0
NAVARRA (COMUNIDAD FORAL DE),2015,2,HOMICIDIOS,DOLOSOS Y ASESINATOS CONSUMADOS,2.0
NAVARRA (COMUNIDAD FORAL DE),2015,2,ROBOS,VIOLENCIA E INTIMIDACION,137.0
NAVARRA (COMUNIDAD FORAL DE),2015,2,ROBOS,FUERZA,494.0
NAVARRA (COMUNIDAD FORAL DE),2015,2,SUSTRACCION,VEHICULOS,99.0
NAVARRA (COMUNIDAD FORAL DE),2015,2,TRAFICO,DROGAS,71.0
NAVARRA (COMUNIDAD FORAL DE),2015,2,DANOS,-,1586.0
NAVARRA (COMUNIDAD FORAL DE),2015,2,HURTOS,-,3503.0
PAIS VASCO,2015,2,DELITOS,-,41626.0
PAIS VASCO,2015,2,HOMICIDIOS,DOLOSOS Y ASESINATOS CONSUMADOS,3.0
PAIS VASCO,2015,2,ROBOS,VIOLENCIA E INTIMIDACION,853.0
PAIS VASCO,2015,2,ROBOS,FUERZA,2348.0
PAIS VASCO,2015,2,SUSTRACCION,VEHICULOS,420.0
PAIS VASCO,2015,2,TRAFICO,DROGAS,175.0
PAIS VASCO,2015,2,DANOS,-,3917.0
PAIS VASCO,2015,2,HURTOS,-,12754.0
RIOJA (LA),2015,2,DELITOS,-,4222.0
RIOJA (LA),2015,2,HOMICIDIOS,DOLOSOS Y ASESINATOS CONSUMADOS,0.0
RIOJA (LA),2015,2,ROBOS,VIOLENCIA E INTIMIDACION,61.0
RIOJA (LA),2015,2,ROBOS,FUERZA,347.0
RIOJA (LA),2015,2,SUSTRACCION,VEHICULOS,68.0
RIOJA (LA),2015,2,TRAFICO,DROGAS,36.0
RIOJA (LA),2015,2,DANOS,-,533.0
RIOJA (LA),2015,2,HURTOS,-,1375.0
CIUDAD AUTONOMA DE CEUTA,2015,2,DELITOS,-,2411.0
CIUDAD AUTONOMA DE CEUTA,2015,2,HOMICIDIOS,DOLOSOS Y ASESINATOS CONSUMADOS,0.0
CIUDAD AUTONOMA DE CEUTA,2015,2,ROBOS,VIOLENCIA E INTIMIDACION,79.0
CIUDAD AUTONOMA DE CEUTA,2015,2,ROBOS,FUERZA,44.0
CIUDAD AUTONOMA DE CEUTA,2015,2,SUSTRACCION,VEHICULOS,162.0
CIUDAD AUTONOMA DE CEUTA,2015,2,TRAFICO,DROGAS,236.0
CIUDAD AUTONOMA DE CEUTA,2015,2,DANOS,-,159.0
CIUDAD AUTONOMA DE CEUTA,2015,2,HURTOS,-,481.0
CIUDAD AUTONOMA DE MELILLA,2015,2,DELITOS,-,2395.0
CIUDAD AUTONOMA DE MELILLA,2015,2,HOMICIDIOS,DOLOSOS Y ASESINATOS CONSUMADOS,1.0
CIUDAD AUTONOMA DE MELILLA,2015,2,ROBOS,VIOLENCIA E INTIMIDACION,143.0
CIUDAD AUTONOMA DE MELILLA,2015,2,ROBOS,FUERZA,43.0
CIUDAD AUTONOMA DE MELILLA,2015,2,SUSTRACCION,VEHICULOS,63.0
CIUDAD AUTONOMA DE MELILLA,2015,2,TRAFICO,DROGAS,70.0
CIUDAD AUTONOMA DE MELILLA,2015,2,DANOS,-,175.0
CIUDAD AUTONOMA DE MELILLA,2015,2,HURTOS,-,637.0
EXTRANJERA,2015,2,DELITOS,-,9557.0
EXTRANJERA,2015,2,HOMICIDIOS,DOLOSOS Y ASESINATOS CONSUMADOS,2.0
EXTRANJERA,2015,2,ROBOS,VIOLENCIA E INTIMIDACION,88.0
EXTRANJERA,2015,2,ROBOS,FUERZA,7.0
EXTRANJERA,2015,2,SUSTRACCION,VEHICULOS,51.0
EXTRANJERA,2015,2,TRAFICO,DROGAS,9.0
EXTRANJERA,2015,2,DANOS,-,14.0
EXTRANJERA,2015,2,HURTOS,-,1125.0
TOTAL NACIONAL,2015,3,DELITOS,-,1542066.0
TOTAL NACIONAL,2015,3,HOMICIDIOS,DOLOSOS Y ASESINATOS CONSUMADOS,214.0
TOTAL NACIONAL,2015,3,ROBOS,VIOLENCIA E INTIMIDACION,48287.0
TOTAL NACIONAL,2015,3,ROBOS,FUERZA,84934.0
TOTAL NACIONAL,2015,3,SUSTRACCION,VEHICULOS,32040.0
TOTAL NACIONAL,2015,3,TRAFICO,DROGAS,9415.0
TOTAL NACIONAL,2015,3,DANOS,-,162943.0
TOTAL NACIONAL,2015,3,HURTOS,-,542134.0
ANDALUCIA,2015,3,DELITOS,-,258032.0
ANDALUCIA,2015,3,HOMICIDIOS,DOLOSOS Y ASESINATOS CONSUMADOS,48.0
ANDALUCIA,2015,3,ROBOS,VIOLENCIA E INTIMIDACION,5423.0
ANDALUCIA,2015,3,ROBOS,FUERZA,13571.0
ANDALUCIA,2015,3,SUSTRACCION,VEHICULOS,6669.0
ANDALUCIA,2015,3,TRAFICO,DROGAS,2469.0
ANDALUCIA,2015,3,DANOS,-,25514.0
ANDALUCIA,2015,3,HURTOS,-,84504.0
ARAGON,2015,3,DELITOS,-,28441.0
ARAGON,2015,3,HOMICIDIOS,DOLOSOS Y ASESINATOS CONSUMADOS,7.0
ARAGON,2015,3,ROBOS,VIOLENCIA E INTIMIDACION,543.0
ARAGON,2015,3,ROBOS,FUERZA,1299.0
ARAGON,2015,3,SUSTRACCION,VEHICULOS,263.0
ARAGON,2015,3,TRAFICO,DROGAS,215.0
ARAGON,2015,3,DANOS,-,3983.0
ARAGON,2015,3,HURTOS,-,8938.0
ASTURIAS (PRINCIPADO DE),2015,3,DELITOS,-,20194.0
ASTURIAS (PRINCIPADO DE),2015,3,HOMICIDIOS,DOLOSOS Y ASESINATOS CONSUMADOS,3.0
ASTURIAS (PRINCIPADO DE),2015,3,ROBOS,VIOLENCIA E INTIMIDACION,463.0
ASTURIAS (PRINCIPADO DE),2015,3,ROBOS,FUERZA,669.0
ASTURIAS (PRINCIPADO DE),2015,3,SUSTRACCION,VEHICULOS,321.0
ASTURIAS (PRINCIPADO DE),2015,3,TRAFICO,DROGAS,125.0
ASTURIAS (PRINCIPADO DE),2015,3,DANOS,-,2352.0
ASTURIAS (PRINCIPADO DE),2015,3,HURTOS,-,6162.0
BALEARS (ILLES),2015,3,DELITOS,-,53208.0
BALEARS (ILLES),2015,3,HOMICIDIOS,DOLOSOS Y ASESINATOS CONSUMADOS,5.0
BALEARS (ILLES),2015,3,ROBOS,VIOLENCIA E INTIMIDACION,879.0
BALEARS (ILLES),2015,3,ROBOS,FUERZA,2604.0
BALEARS (ILLES),2015,3,SUSTRACCION,VEHICULOS,1292.0
BALEARS (ILLES),2015,3,TRAFICO,DROGAS,366.0
BALEARS (ILLES),2015,3,DANOS,-,3790.0
BALEARS (ILLES),2015,3,HURTOS,-,22906.0
